<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ABICO,20150201,15.30,15.30,15.30,15.30,null
ABICO,20150301,15.20,15.20,15.20,15.20,null
ABICO,20150401,13.30,13.30,13.30,13.30,null
ABICO,20150501,13.00,13.00,13.00,13.00,null
ABICO,20150601,15.50,15.50,15.50,15.50,null
ABICO,20150701,11.30,11.30,11.30,11.30,null
ABICO,20150801,10.10,10.10,10.10,10.10,null
ABICO,20150901,10.70,10.70,10.70,10.70,null
ABICO,20151001,10.20,10.20,10.20,10.20,null
ABICO,20151101,9.60,9.60,9.60,9.60,null
ABICO,20151201,7.60,7.60,7.60,7.60,null
ABICO,20160101,6.55,6.55,6.55,6.55,null
ABICO,20160201,7.70,7.70,7.70,7.70,null
ABICO,20160301,8.75,8.75,8.75,8.75,null
ABICO,20160401,8.35,8.35,8.35,8.35,null
ABICO,20160501,9.95,9.95,9.95,9.95,null
