<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ADAM,20061201,2.68666752,2.68666752,2.68666752,2.68666752,747024.06167396
ADAM,20070101,2.08,2.08,2.08,2.08,6037238.0952381
ADAM,20070201,2.34,2.34,2.34,2.34,7275345
ADAM,20070301,2.32,2.32,2.32,2.32,3050214.28571429
ADAM,20070401,4.16,4.16,4.16,4.16,16491644.4444444
ADAM,20070501,3.44,3.44,3.44,3.44,7180305
ADAM,20070601,3.32,3.32,3.32,3.32,1307780.95238095
ADAM,20070701,3.70,3.70,3.70,3.70,2211771.42857143
ADAM,20070801,3.42,3.42,3.42,3.42,559931.81818182
ADAM,20070901,3.58,3.58,3.58,3.58,544663.15789474
ADAM,20071001,4.44,4.44,4.44,4.44,5463013.63636364
ADAM,20071101,5.95,5.95,5.95,5.95,11281559.0909091
ADAM,20071201,7.35,7.35,7.35,7.35,3789241.17647059
ADAM,20080101,6.70,6.70,6.70,6.70,1869372.72727273
ADAM,20080201,4.70,4.70,4.70,4.70,1425660
ADAM,20080301,4.60,4.60,4.60,4.60,713042.85714286
ADAM,20080401,3.74,3.74,3.74,3.74,785294.73684211
ADAM,20080501,3.60,3.60,3.60,3.60,3020547.36842105
ADAM,20080601,3.02,3.02,3.02,3.02,498728.57142857
ADAM,20080701,2.90,2.90,2.90,2.90,1185400
ADAM,20080801,2.02,2.02,2.02,2.02,1175445
ADAM,20080901,1.78,1.78,1.78,1.78,772868.18181818
ADAM,20081001,1.54,1.54,1.54,1.54,320540.90909091
ADAM,20081101,1.58,1.58,1.58,1.58,181705
ADAM,20081201,1.47,1.47,1.47,1.47,826685
ADAM,20090101,1.58,1.58,1.58,1.58,1134230
ADAM,20090201,1.43,1.43,1.43,1.43,2419394.73684211
ADAM,20090301,1.47,1.47,1.47,1.47,205640
ADAM,20090401,1.44,1.44,1.44,1.44,320111.76470588
ADAM,20090501,1.38,1.38,1.38,1.38,327750
ADAM,20090601,1.55,1.55,1.55,1.55,6962727.27272727
ADAM,20090701,1.46,1.46,1.46,1.46,964535
