<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ADVANC,20061201,77.50,77.50,77.50,77.50,null
ADVANC,20070101,74.00,74.00,74.00,74.00,null
ADVANC,20070201,73.00,73.00,73.00,73.00,null
ADVANC,20070301,67.00,67.00,67.00,67.00,null
ADVANC,20070401,75.50,75.50,75.50,75.50,null
ADVANC,20070501,90.00,90.00,90.00,90.00,null
ADVANC,20070601,85.00,85.00,85.00,85.00,null
ADVANC,20070701,98.50,98.50,98.50,98.50,null
ADVANC,20070801,93.00,93.00,93.00,93.00,null
ADVANC,20070901,89.00,89.00,89.00,89.00,null
ADVANC,20071001,89.00,89.00,89.00,89.00,null
ADVANC,20071101,92.50,92.50,92.50,92.50,null
ADVANC,20071201,97.00,97.00,97.00,97.00,null
ADVANC,20080101,93.50,93.50,93.50,93.50,null
ADVANC,20080201,105.00,105.00,105.00,105.00,null
ADVANC,20080301,100.00,100.00,100.00,100.00,null
ADVANC,20080401,93.00,93.00,93.00,93.00,null
ADVANC,20080501,97.50,97.50,97.50,97.50,null
ADVANC,20080601,92.50,92.50,92.50,92.50,null
ADVANC,20080701,86.00,86.00,86.00,86.00,null
ADVANC,20080801,89.00,89.00,89.00,89.00,null
ADVANC,20080901,80.50,80.50,80.50,80.50,null
ADVANC,20081001,73.00,73.00,73.00,73.00,null
ADVANC,20081101,77.00,77.00,77.00,77.00,null
ADVANC,20081201,79.50,79.50,79.50,79.50,null
ADVANC,20090101,75.00,75.00,75.00,75.00,null
ADVANC,20090201,80.50,80.50,80.50,80.50,null
ADVANC,20090301,82.75,82.75,82.75,82.75,null
ADVANC,20090401,79.50,79.50,79.50,79.50,null
ADVANC,20090501,81.00,81.00,81.00,81.00,null
ADVANC,20090601,90.50,90.50,90.50,90.50,null
ADVANC,20090701,86.50,86.50,86.50,86.50,null
ADVANC,20090801,86.25,86.25,86.25,86.25,null
ADVANC,20090901,94.25,94.25,94.25,94.25,null
ADVANC,20091001,86.25,86.25,86.25,86.25,null
ADVANC,20091101,81.00,81.00,81.00,81.00,null
ADVANC,20091201,86.50,86.50,86.50,86.50,null
ADVANC,20100101,83.00,83.00,83.00,83.00,null
ADVANC,20100201,88.00,88.00,88.00,88.00,null
ADVANC,20100301,86.25,86.25,86.25,86.25,null
ADVANC,20100401,75.75,75.75,75.75,75.75,null
ADVANC,20100501,75.25,75.25,75.25,75.25,null
ADVANC,20100601,86.75,86.75,86.75,86.75,null
ADVANC,20100701,93.50,93.50,93.50,93.50,null
ADVANC,20100801,92.25,92.25,92.25,92.25,null
ADVANC,20100901,95.00,95.00,95.00,95.00,null
ADVANC,20101001,90.00,90.00,90.00,90.00,null
ADVANC,20101101,90.50,90.50,90.50,90.50,null
ADVANC,20101201,85.00,85.00,85.00,85.00,null
ADVANC,20110101,80.00,80.00,80.00,80.00,null
ADVANC,20110201,79.50,79.50,79.50,79.50,null
ADVANC,20110301,90.00,90.00,90.00,90.00,null
ADVANC,20110401,92.50,92.50,92.50,92.50,null
ADVANC,20110501,97.00,97.00,97.00,97.00,null
ADVANC,20110601,104.00,104.00,104.00,104.00,null
ADVANC,20110701,115.50,115.50,115.50,115.50,null
ADVANC,20110801,113.50,113.50,113.50,113.50,null
ADVANC,20110901,128.00,128.00,128.00,128.00,null
ADVANC,20111001,130.50,130.50,130.50,130.50,null
ADVANC,20111101,139.50,139.50,139.50,139.50,null
ADVANC,20111201,140.50,140.50,140.50,140.50,null
ADVANC,20120101,151.00,151.00,151.00,151.00,null
ADVANC,20120201,160.00,160.00,160.00,160.00,null
ADVANC,20120301,184.00,184.00,184.00,184.00,null
ADVANC,20120401,183.00,183.00,183.00,183.00,null
ADVANC,20120501,179.00,179.00,179.00,179.00,null
ADVANC,20120601,184.50,184.50,184.50,184.50,null
ADVANC,20120701,200.00,200.00,200.00,200.00,null
ADVANC,20120801,217.00,217.00,217.00,217.00,null
ADVANC,20120901,214.00,214.00,214.00,214.00,null
ADVANC,20121001,197.50,197.50,197.50,197.50,null
ADVANC,20121101,220.00,220.00,220.00,220.00,null
ADVANC,20121201,209.00,209.00,209.00,209.00,null
ADVANC,20130101,210.00,210.00,210.00,210.00,null
ADVANC,20130201,207.00,207.00,207.00,207.00,null
ADVANC,20130301,240.00,240.00,240.00,240.00,null
ADVANC,20130401,270.00,270.00,270.00,270.00,null
ADVANC,20130501,263.00,263.00,263.00,263.00,null
ADVANC,20130601,282.00,282.00,282.00,282.00,null
ADVANC,20130701,285.00,285.00,285.00,285.00,null
ADVANC,20130801,240.00,240.00,240.00,240.00,null
ADVANC,20130901,255.00,255.00,255.00,255.00,null
ADVANC,20131001,255.00,255.00,255.00,255.00,null
ADVANC,20131101,228.00,228.00,228.00,228.00,null
ADVANC,20131201,199.50,199.50,199.50,199.50,null
ADVANC,20140101,209.00,209.00,209.00,209.00,null
ADVANC,20140201,211.00,211.00,211.00,211.00,null
ADVANC,20140301,226.00,226.00,226.00,226.00,null
ADVANC,20140401,242.00,242.00,242.00,242.00,null
ADVANC,20140501,229.00,229.00,229.00,229.00,null
ADVANC,20140601,220.00,220.00,220.00,220.00,null
ADVANC,20140701,208.00,208.00,208.00,208.00,null
ADVANC,20140801,209.00,209.00,209.00,209.00,null
ADVANC,20140901,225.00,225.00,225.00,225.00,null
ADVANC,20141001,239.00,239.00,239.00,239.00,null
ADVANC,20141101,238.00,238.00,238.00,238.00,null
ADVANC,20141201,251.00,251.00,251.00,251.00,null
ADVANC,20150101,245.00,245.00,245.00,245.00,null
ADVANC,20150201,233.00,233.00,233.00,233.00,null
ADVANC,20150301,237.00,237.00,237.00,237.00,null
ADVANC,20150401,240.00,240.00,240.00,240.00,null
ADVANC,20150501,234.00,234.00,234.00,234.00,null
ADVANC,20150601,240.00,240.00,240.00,240.00,null
ADVANC,20150701,250.00,250.00,250.00,250.00,null
ADVANC,20150801,238.00,238.00,238.00,238.00,null
ADVANC,20150901,226.00,226.00,226.00,226.00,null
ADVANC,20151001,233.00,233.00,233.00,233.00,null
ADVANC,20151101,199.50,199.50,199.50,199.50,null
ADVANC,20151201,152.00,152.00,152.00,152.00,null
ADVANC,20160101,169.00,169.00,169.00,169.00,null
ADVANC,20160201,170.50,170.50,170.50,170.50,null
ADVANC,20160301,182.00,182.00,182.00,182.00,null
ADVANC,20160401,156.00,156.00,156.00,156.00,null
ADVANC,20160501,159.50,159.50,159.50,159.50,null
