<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AF,20061201,0.11751115,0.11751115,0.11751115,0.11751115,null
AF,20070101,0.09943251,0.09943251,0.09943251,0.09943251,null
AF,20070201,0.13016619,0.13016619,0.13016619,0.13016619,null
AF,20070301,0.13468585,0.13468585,0.13468585,0.13468585,null
AF,20070401,0.13016619,0.13016619,0.13016619,0.13016619,null
AF,20070501,0.14282124,0.14282124,0.14282124,0.14282124,null
AF,20070601,0.14191731,0.14191731,0.14191731,0.14191731,null
AF,20070701,0.18078638,0.18078638,0.18078638,0.18078638,null
AF,20070801,0.22236724,0.22236724,0.22236724,0.22236724,null
AF,20070901,0.22417511,0.22417511,0.22417511,0.22417511,null
AF,20071001,0.25310093,0.25310093,0.25310093,0.25310093,null
AF,20071101,0.27117957,0.27117957,0.27117957,0.27117957,null
AF,20071201,0.24406161,0.24406161,0.24406161,0.24406161,null
AF,20080101,0.22598297,0.22598297,0.22598297,0.22598297,null
AF,20080201,0.27117957,0.27117957,0.27117957,0.27117957,null
AF,20080301,0.25310093,0.25310093,0.25310093,0.25310093,null
AF,20080401,0.24586947,0.24586947,0.24586947,0.24586947,null
AF,20080501,0.25310093,0.25310093,0.25310093,0.25310093,null
AF,20080601,0.25129306,0.25129306,0.25129306,0.25129306,null
AF,20080701,0.2097122,0.2097122,0.2097122,0.2097122,null
AF,20080801,0.27117957,0.27117957,0.27117957,0.27117957,null
AF,20080901,0.25129306,0.25129306,0.25129306,0.25129306,null
AF,20081001,0.27117957,0.27117957,0.27117957,0.27117957,null
AF,20081101,0.16993919,0.16993919,0.16993919,0.16993919,null
AF,20090101,0.18078638,0.18078638,0.18078638,0.18078638,null
AF,20090201,0.19344142,0.19344142,0.19344142,0.19344142,null
AF,20090301,0.19524929,0.19524929,0.19524929,0.19524929,null
AF,20090401,0.16993919,0.16993919,0.16993919,0.16993919,null
AF,20090501,0.18078638,0.18078638,0.18078638,0.18078638,null
AF,20090601,0.17897851,0.17897851,0.17897851,0.17897851,null
AF,20090701,0.19886502,0.19886502,0.19886502,0.19886502,null
AF,20090801,0.18440211,0.18440211,0.18440211,0.18440211,null
AF,20090901,0.18620997,0.18620997,0.18620997,0.18620997,null
AF,20091001,0.18078638,0.18078638,0.18078638,0.18078638,null
AF,20091101,0.1898257,0.1898257,0.1898257,0.1898257,null
AF,20091201,0.20248074,0.20248074,0.20248074,0.20248074,null
AF,20100101,0.20790433,0.20790433,0.20790433,0.20790433,null
AF,20100201,0.22598297,0.22598297,0.22598297,0.22598297,null
AF,20100301,0.25671666,0.25671666,0.25671666,0.25671666,null
AF,20100401,0.23502229,0.23502229,0.23502229,0.23502229,null
AF,20100501,0.24406161,0.24406161,0.24406161,0.24406161,null
AF,20100601,0.25129306,0.25129306,0.25129306,0.25129306,null
AF,20100701,0.27117957,0.27117957,0.27117957,0.27117957,null
AF,20100801,0.28383461,0.28383461,0.28383461,0.28383461,null
AF,20100901,0.2892582,0.2892582,0.2892582,0.2892582,null
AF,20101001,0.2892582,0.2892582,0.2892582,0.2892582,null
AF,20101101,0.30372111,0.30372111,0.30372111,0.30372111,null
AF,20101201,0.36157276,0.36157276,0.36157276,0.36157276,null
AF,20110101,0.35976489,0.35976489,0.35976489,0.35976489,null
AF,20110201,0.42665585,0.42665585,0.42665585,0.42665585,null
AF,20110301,0.43207944,0.43207944,0.43207944,0.43207944,null
AF,20110401,0.43027158,0.43027158,0.43027158,0.43027158,null
AF,20110601,0.43388731,0.43388731,0.43388731,0.43388731,null
AF,20110701,0.43207944,0.43207944,0.43207944,0.43207944,null
AF,20110801,0.62413065,0.62413065,0.62413065,0.62413065,null
AF,20110901,0.53586975,0.53586975,0.53586975,0.53586975,null
AF,20111001,0.52010888,0.52010888,0.52010888,0.52010888,null
AF,20111101,0.53586975,0.53586975,0.53586975,0.53586975,null
AF,20111201,0.52010888,0.52010888,0.52010888,0.52010888,null
AF,20120101,0.5295654,0.5295654,0.5295654,0.5295654,null
AF,20120201,0.59891325,0.59891325,0.59891325,0.59891325,null
AF,20120301,0.57684803,0.57684803,0.57684803,0.57684803,null
AF,20120401,0.55163063,0.55163063,0.55163063,0.55163063,null
AF,20120501,0.55163063,0.55163063,0.55163063,0.55163063,null
