<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AH-JittaLine,20061201,26.962,26.962,26.962,26.962,null
AH-JittaLine,20070101,27.3216,27.3216,27.3216,27.3216,null
AH-JittaLine,20070201,27.6813,27.6813,27.6813,27.6813,null
AH-JittaLine,20070301,28.0409,28.0409,28.0409,28.0409,null
AH-JittaLine,20070401,28.4006,28.4006,28.4006,28.4006,null
AH-JittaLine,20070501,28.7602,28.7602,28.7602,28.7602,null
AH-JittaLine,20070601,29.1199,29.1199,29.1199,29.1199,null
AH-JittaLine,20070701,29.4795,29.4795,29.4795,29.4795,null
AH-JittaLine,20070801,29.8392,29.8392,29.8392,29.8392,null
AH-JittaLine,20070901,30.1988,30.1988,30.1988,30.1988,null
AH-JittaLine,20071001,30.5585,30.5585,30.5585,30.5585,null
AH-JittaLine,20071101,30.9181,30.9181,30.9181,30.9181,null
AH-JittaLine,20071201,31.2778,31.2778,31.2778,31.2778,null
AH-JittaLine,20080101,30.6746,30.6746,30.6746,30.6746,null
AH-JittaLine,20080201,30.0714,30.0714,30.0714,30.0714,null
AH-JittaLine,20080301,29.4681,29.4681,29.4681,29.4681,null
AH-JittaLine,20080401,28.8649,28.8649,28.8649,28.8649,null
AH-JittaLine,20080501,28.2617,28.2617,28.2617,28.2617,null
AH-JittaLine,20080601,27.6585,27.6585,27.6585,27.6585,null
AH-JittaLine,20080701,27.0553,27.0553,27.0553,27.0553,null
AH-JittaLine,20080801,26.4521,26.4521,26.4521,26.4521,null
AH-JittaLine,20080901,25.8489,25.8489,25.8489,25.8489,null
AH-JittaLine,20081001,25.2457,25.2457,25.2457,25.2457,null
AH-JittaLine,20081101,24.6425,24.6425,24.6425,24.6425,null
AH-JittaLine,20081201,24.0393,24.0393,24.0393,24.0393,null
AH-JittaLine,20090101,22.3168,22.3168,22.3168,22.3168,null
AH-JittaLine,20090201,20.5944,20.5944,20.5944,20.5944,null
AH-JittaLine,20090301,18.872,18.872,18.872,18.872,null
AH-JittaLine,20090401,17.1495,17.1495,17.1495,17.1495,null
AH-JittaLine,20090501,15.4271,15.4271,15.4271,15.4271,null
AH-JittaLine,20090601,13.7047,13.7047,13.7047,13.7047,null
AH-JittaLine,20090701,11.9823,11.9823,11.9823,11.9823,null
AH-JittaLine,20090801,10.2598,10.2598,10.2598,10.2598,null
AH-JittaLine,20090901,8.5374,8.5374,8.5374,8.5374,null
AH-JittaLine,20091001,6.815,6.815,6.815,6.815,null
AH-JittaLine,20091101,5.0926,5.0926,5.0926,5.0926,null
AH-JittaLine,20091201,3.3701,3.3701,3.3701,3.3701,null
AH-JittaLine,20100101,4.0543,4.0543,4.0543,4.0543,null
AH-JittaLine,20100201,4.7386,4.7386,4.7386,4.7386,null
AH-JittaLine,20100301,5.4228,5.4228,5.4228,5.4228,null
AH-JittaLine,20100401,6.107,6.107,6.107,6.107,null
AH-JittaLine,20100501,6.7912,6.7912,6.7912,6.7912,null
AH-JittaLine,20100601,7.4754,7.4754,7.4754,7.4754,null
AH-JittaLine,20100701,8.1596,8.1596,8.1596,8.1596,null
AH-JittaLine,20100801,8.8438,8.8438,8.8438,8.8438,null
AH-JittaLine,20100901,9.5281,9.5281,9.5281,9.5281,null
AH-JittaLine,20101001,10.2123,10.2123,10.2123,10.2123,null
AH-JittaLine,20101101,10.8965,10.8965,10.8965,10.8965,null
AH-JittaLine,20101201,11.5807,11.5807,11.5807,11.5807,null
AH-JittaLine,20110101,10.6403,10.6403,10.6403,10.6403,null
AH-JittaLine,20110201,9.6998,9.6998,9.6998,9.6998,null
AH-JittaLine,20110301,8.7593,8.7593,8.7593,8.7593,null
AH-JittaLine,20110401,7.8189,7.8189,7.8189,7.8189,null
AH-JittaLine,20110501,6.8784,6.8784,6.8784,6.8784,null
AH-JittaLine,20110601,5.938,5.938,5.938,5.938,null
AH-JittaLine,20110701,4.9975,4.9975,4.9975,4.9975,null
AH-JittaLine,20110801,4.0571,4.0571,4.0571,4.0571,null
AH-JittaLine,20110901,3.1166,3.1166,3.1166,3.1166,null
AH-JittaLine,20111001,2.1762,2.1762,2.1762,2.1762,null
AH-JittaLine,20111101,1.2357,1.2357,1.2357,1.2357,null
AH-JittaLine,20111201,0.2953,0.2953,0.2953,0.2953,null
AH-JittaLine,20120101,5.4257,5.4257,5.4257,5.4257,null
AH-JittaLine,20120201,10.5561,10.5561,10.5561,10.5561,null
AH-JittaLine,20120301,15.6865,15.6865,15.6865,15.6865,null
AH-JittaLine,20120401,20.8169,20.8169,20.8169,20.8169,null
AH-JittaLine,20120501,25.9473,25.9473,25.9473,25.9473,null
AH-JittaLine,20120601,31.0776,31.0776,31.0776,31.0776,null
AH-JittaLine,20120701,36.208,36.208,36.208,36.208,null
AH-JittaLine,20120801,41.3384,41.3384,41.3384,41.3384,null
AH-JittaLine,20120901,46.4688,46.4688,46.4688,46.4688,null
AH-JittaLine,20121001,51.5992,51.5992,51.5992,51.5992,null
AH-JittaLine,20121101,56.7296,56.7296,56.7296,56.7296,null
AH-JittaLine,20121201,61.86,61.86,61.86,61.86,null
AH-JittaLine,20130101,60.1905,60.1905,60.1905,60.1905,null
AH-JittaLine,20130201,58.521,58.521,58.521,58.521,null
AH-JittaLine,20130301,56.8514,56.8514,56.8514,56.8514,null
AH-JittaLine,20130401,55.1819,55.1819,55.1819,55.1819,null
AH-JittaLine,20130501,53.5124,53.5124,53.5124,53.5124,null
AH-JittaLine,20130601,51.8428,51.8428,51.8428,51.8428,null
AH-JittaLine,20130701,50.1733,50.1733,50.1733,50.1733,null
AH-JittaLine,20130801,48.5038,48.5038,48.5038,48.5038,null
AH-JittaLine,20130901,46.8343,46.8343,46.8343,46.8343,null
AH-JittaLine,20131001,45.1647,45.1647,45.1647,45.1647,null
AH-JittaLine,20131101,43.4952,43.4952,43.4952,43.4952,null
AH-JittaLine,20131201,41.8257,41.8257,41.8257,41.8257,null
AH-JittaLine,20140101,41.1618,41.1618,41.1618,41.1618,null
AH-JittaLine,20140201,40.498,40.498,40.498,40.498,null
AH-JittaLine,20140301,39.8342,39.8342,39.8342,39.8342,null
AH-JittaLine,20140401,39.1704,39.1704,39.1704,39.1704,null
AH-JittaLine,20140501,38.5066,38.5066,38.5066,38.5066,null
AH-JittaLine,20140601,37.8427,37.8427,37.8427,37.8427,null
AH-JittaLine,20140701,37.1789,37.1789,37.1789,37.1789,null
AH-JittaLine,20140801,36.5151,36.5151,36.5151,36.5151,null
AH-JittaLine,20140901,35.8513,35.8513,35.8513,35.8513,null
AH-JittaLine,20141001,35.1875,35.1875,35.1875,35.1875,null
AH-JittaLine,20141101,34.5236,34.5236,34.5236,34.5236,null
AH-JittaLine,20141201,33.8598,33.8598,33.8598,33.8598,null
AH-JittaLine,20150101,33.772,33.772,33.772,33.772,null
