<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AHC-JittaScore,20061201,5.67,5.67,5.67,5.67,null
AHC-JittaScore,20070101,4.28,4.28,4.28,4.28,null
AHC-JittaScore,20070201,4.28,4.28,4.28,4.28,null
AHC-JittaScore,20070301,4.28,4.28,4.28,4.28,null
AHC-JittaScore,20070401,3.92,3.92,3.92,3.92,null
AHC-JittaScore,20070501,3.92,3.92,3.92,3.92,null
AHC-JittaScore,20070601,3.92,3.92,3.92,3.92,null
AHC-JittaScore,20070701,3.92,3.92,3.92,3.92,null
AHC-JittaScore,20070801,3.92,3.92,3.92,3.92,null
AHC-JittaScore,20070901,3.92,3.92,3.92,3.92,null
AHC-JittaScore,20071001,3.00,3.00,3.00,3.00,null
AHC-JittaScore,20071101,3.00,3.00,3.00,3.00,null
AHC-JittaScore,20071201,3.00,3.00,3.00,3.00,null
AHC-JittaScore,20080101,3.00,3.00,3.00,3.00,null
AHC-JittaScore,20080201,3.00,3.00,3.00,3.00,null
AHC-JittaScore,20080301,3.00,3.00,3.00,3.00,null
AHC-JittaScore,20080401,3.13,3.13,3.13,3.13,null
AHC-JittaScore,20080501,3.13,3.13,3.13,3.13,null
AHC-JittaScore,20080601,3.13,3.13,3.13,3.13,null
AHC-JittaScore,20080701,3.17,3.17,3.17,3.17,null
AHC-JittaScore,20080801,3.17,3.17,3.17,3.17,null
AHC-JittaScore,20080901,3.17,3.17,3.17,3.17,null
AHC-JittaScore,20081001,3.60,3.60,3.60,3.60,null
AHC-JittaScore,20081101,3.60,3.60,3.60,3.60,null
AHC-JittaScore,20081201,3.60,3.60,3.60,3.60,null
AHC-JittaScore,20090101,3.85,3.85,3.85,3.85,null
AHC-JittaScore,20090201,3.85,3.85,3.85,3.85,null
AHC-JittaScore,20090301,3.85,3.85,3.85,3.85,null
AHC-JittaScore,20090401,3.20,3.20,3.20,3.20,null
AHC-JittaScore,20090501,3.20,3.20,3.20,3.20,null
AHC-JittaScore,20090601,3.20,3.20,3.20,3.20,null
AHC-JittaScore,20090701,3.20,3.20,3.20,3.20,null
AHC-JittaScore,20090801,3.20,3.20,3.20,3.20,null
AHC-JittaScore,20090901,3.20,3.20,3.20,3.20,null
AHC-JittaScore,20091001,2.75,2.75,2.75,2.75,null
AHC-JittaScore,20091101,2.75,2.75,2.75,2.75,null
AHC-JittaScore,20091201,2.75,2.75,2.75,2.75,null
AHC-JittaScore,20100101,2.50,2.50,2.50,2.50,null
AHC-JittaScore,20100201,2.50,2.50,2.50,2.50,null
AHC-JittaScore,20100301,2.50,2.50,2.50,2.50,null
AHC-JittaScore,20100401,2.75,2.75,2.75,2.75,null
AHC-JittaScore,20100501,2.75,2.75,2.75,2.75,null
AHC-JittaScore,20100601,2.75,2.75,2.75,2.75,null
AHC-JittaScore,20100701,2.70,2.70,2.70,2.70,null
AHC-JittaScore,20100801,2.70,2.70,2.70,2.70,null
AHC-JittaScore,20100901,2.70,2.70,2.70,2.70,null
AHC-JittaScore,20101001,3.75,3.75,3.75,3.75,null
AHC-JittaScore,20101101,3.75,3.75,3.75,3.75,null
AHC-JittaScore,20101201,3.75,3.75,3.75,3.75,null
AHC-JittaScore,20110101,4.50,4.50,4.50,4.50,null
AHC-JittaScore,20110201,4.50,4.50,4.50,4.50,null
AHC-JittaScore,20110301,4.50,4.50,4.50,4.50,null
AHC-JittaScore,20110401,4.20,4.20,4.20,4.20,null
AHC-JittaScore,20110501,4.20,4.20,4.20,4.20,null
AHC-JittaScore,20110601,4.20,4.20,4.20,4.20,null
AHC-JittaScore,20110701,4.20,4.20,4.20,4.20,null
AHC-JittaScore,20110801,4.20,4.20,4.20,4.20,null
AHC-JittaScore,20110901,4.20,4.20,4.20,4.20,null
AHC-JittaScore,20111001,5.30,5.30,5.30,5.30,null
AHC-JittaScore,20111101,5.30,5.30,5.30,5.30,null
AHC-JittaScore,20111201,5.30,5.30,5.30,5.30,null
AHC-JittaScore,20120101,5.80,5.80,5.80,5.80,null
AHC-JittaScore,20120201,5.80,5.80,5.80,5.80,null
AHC-JittaScore,20120301,5.80,5.80,5.80,5.80,null
AHC-JittaScore,20120401,6.00,6.00,6.00,6.00,null
AHC-JittaScore,20120501,6.00,6.00,6.00,6.00,null
AHC-JittaScore,20120601,6.00,6.00,6.00,6.00,null
