<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AI-JittaLine,20070101,1.998,1.998,1.998,1.998,null
AI-JittaLine,20070201,2.4273,2.4273,2.4273,2.4273,null
AI-JittaLine,20070301,2.8566,2.8566,2.8566,2.8566,null
AI-JittaLine,20070401,3.2859,3.2859,3.2859,3.2859,null
AI-JittaLine,20070501,3.7152,3.7152,3.7152,3.7152,null
AI-JittaLine,20070601,4.1444,4.1444,4.1444,4.1444,null
AI-JittaLine,20070701,4.5737,4.5737,4.5737,4.5737,null
AI-JittaLine,20070801,5.003,5.003,5.003,5.003,null
AI-JittaLine,20070901,5.4323,5.4323,5.4323,5.4323,null
AI-JittaLine,20071001,5.8616,5.8616,5.8616,5.8616,null
AI-JittaLine,20071101,6.2909,6.2909,6.2909,6.2909,null
AI-JittaLine,20071201,6.7202,6.7202,6.7202,6.7202,null
AI-JittaLine,20080101,6.773,6.773,6.773,6.773,null
AI-JittaLine,20080201,6.8258,6.8258,6.8258,6.8258,null
AI-JittaLine,20080301,6.8786,6.8786,6.8786,6.8786,null
AI-JittaLine,20080401,6.9314,6.9314,6.9314,6.9314,null
AI-JittaLine,20080501,6.9842,6.9842,6.9842,6.9842,null
AI-JittaLine,20080601,7.0371,7.0371,7.0371,7.0371,null
AI-JittaLine,20080701,7.0899,7.0899,7.0899,7.0899,null
AI-JittaLine,20080801,7.1427,7.1427,7.1427,7.1427,null
AI-JittaLine,20080901,7.1955,7.1955,7.1955,7.1955,null
AI-JittaLine,20081001,7.2483,7.2483,7.2483,7.2483,null
AI-JittaLine,20081101,7.3011,7.3011,7.3011,7.3011,null
AI-JittaLine,20081201,7.3539,7.3539,7.3539,7.3539,null
AI-JittaLine,20090101,6.8136,6.8136,6.8136,6.8136,null
AI-JittaLine,20090201,6.2734,6.2734,6.2734,6.2734,null
AI-JittaLine,20090301,5.7331,5.7331,5.7331,5.7331,null
AI-JittaLine,20090401,5.1928,5.1928,5.1928,5.1928,null
AI-JittaLine,20090501,4.6525,4.6525,4.6525,4.6525,null
AI-JittaLine,20090601,4.1122,4.1122,4.1122,4.1122,null
AI-JittaLine,20090701,3.5719,3.5719,3.5719,3.5719,null
AI-JittaLine,20090801,3.0316,3.0316,3.0316,3.0316,null
AI-JittaLine,20090901,2.4913,2.4913,2.4913,2.4913,null
AI-JittaLine,20091001,1.951,1.951,1.951,1.951,null
AI-JittaLine,20091101,1.4108,1.4108,1.4108,1.4108,null
AI-JittaLine,20091201,0.8705,0.8705,0.8705,0.8705,null
AI-JittaLine,20100101,0.9033,0.9033,0.9033,0.9033,null
AI-JittaLine,20100201,0.9361,0.9361,0.9361,0.9361,null
AI-JittaLine,20100301,0.9689,0.9689,0.9689,0.9689,null
AI-JittaLine,20100401,1.0017,1.0017,1.0017,1.0017,null
AI-JittaLine,20100501,1.0346,1.0346,1.0346,1.0346,null
AI-JittaLine,20100601,1.0674,1.0674,1.0674,1.0674,null
AI-JittaLine,20100701,1.1002,1.1002,1.1002,1.1002,null
AI-JittaLine,20100801,1.133,1.133,1.133,1.133,null
AI-JittaLine,20100901,1.1658,1.1658,1.1658,1.1658,null
AI-JittaLine,20101001,1.1986,1.1986,1.1986,1.1986,null
AI-JittaLine,20101101,1.2315,1.2315,1.2315,1.2315,null
AI-JittaLine,20101201,1.2643,1.2643,1.2643,1.2643,null
AI-JittaLine,20110101,1.2012,1.2012,1.2012,1.2012,null
AI-JittaLine,20110201,1.1382,1.1382,1.1382,1.1382,null
AI-JittaLine,20110301,1.0751,1.0751,1.0751,1.0751,null
AI-JittaLine,20110401,1.0121,1.0121,1.0121,1.0121,null
AI-JittaLine,20110501,0.9491,0.9491,0.9491,0.9491,null
AI-JittaLine,20110601,0.886,0.886,0.886,0.886,null
AI-JittaLine,20110701,0.823,0.823,0.823,0.823,null
AI-JittaLine,20110801,0.7599,0.7599,0.7599,0.7599,null
AI-JittaLine,20110901,0.6969,0.6969,0.6969,0.6969,null
AI-JittaLine,20111001,0.6339,0.6339,0.6339,0.6339,null
AI-JittaLine,20111101,0.5708,0.5708,0.5708,0.5708,null
AI-JittaLine,20111201,0.5078,0.5078,0.5078,0.5078,null
