<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIE,20140101,0.83,0.83,0.83,0.83,225631401.011868
AIE,20140201,0.935,0.935,0.935,0.935,18182743.4916669
AIE,20140301,1.01,1.01,1.01,1.01,84458907.2093919
AIE,20140401,1.045,1.045,1.045,1.045,32053400.5589414
AIE,20140501,1.05,1.05,1.05,1.05,54986051.3499456
AIE,20140601,1.115,1.115,1.115,1.115,95634111.8861324
AIE,20140701,1.065,1.065,1.065,1.065,39015331.1312704
AIE,20140801,1.03,1.03,1.03,1.03,20189358.212781
AIE,20140901,1.065,1.065,1.065,1.065,28483702.2167392
AIE,20141001,1.01,1.01,1.01,1.01,15020310.4380607
AIE,20141101,0.91,0.91,0.91,0.91,11223225.6844295
AIE,20141201,0.875,0.875,0.875,0.875,6144191.21471464
AIE,20150101,0.99,0.99,0.99,0.99,24587356.376188
AIE,20150201,0.995,0.995,0.995,0.995,110083762.825666
AIE,20150301,0.765,0.765,0.765,0.765,13622866.3293773
AIE,20150401,0.78,0.78,0.78,0.78,4170305.88235294
AIE,20150501,0.67,0.67,0.67,0.67,2743787.5
