<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIRA,20140701,1.69841314,1.69841314,1.69841314,1.69841314,249994806.00135
AIRA,20140801,2.55555622,2.55555622,2.55555622,2.55555622,49940504.8049424
AIRA,20140901,2.60317528,2.60317528,2.60317528,2.60317528,84938370.5523872
AIRA,20141001,2.90476266,2.90476266,2.90476266,2.90476266,67805221.4615515
AIRA,20141101,2.7777785,2.7777785,2.7777785,2.7777785,73189682.8706824
AIRA,20141201,2.57142924,2.57142924,2.57142924,2.57142924,12935087.3368773
AIRA,20150101,2.84127058,2.84127058,2.84127058,2.84127058,35038070.8901016
AIRA,20150201,2.8571436,2.8571436,2.8571436,2.8571436,19800233.3519393
AIRA,20150301,2.71428642,2.71428642,2.71428642,2.71428642,7096090.15501655
AIRA,20150401,2.65079434,2.65079434,2.65079434,2.65079434,1265333.67101324
AIRA,20150501,2.76190548,2.76190548,2.76190548,2.76190548,4970943.70755464
AIRA,20150601,2.58,2.58,2.58,2.58,6345000.20099995
AIRA,20150701,2.28,2.28,2.28,2.28,2101004.76190476
AIRA,20150801,2.12,2.12,2.12,2.12,4557050
AIRA,20150901,2.28,2.28,2.28,2.28,917150
AIRA,20151001,2.52,2.52,2.52,2.52,2082733.33333333
AIRA,20151101,2.50,2.50,2.50,2.50,1488380.95238095
AIRA,20151201,2.26,2.26,2.26,2.26,828410
AIRA,20160101,2.18,2.18,2.18,2.18,null
AIRA,20160201,2.22,2.22,2.22,2.22,null
AIRA,20160301,2.32,2.32,2.32,2.32,null
AIRA,20160401,2.30,2.30,2.30,2.30,null
AIRA,20160501,2.28,2.28,2.28,2.28,null
