<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIT,20061201,5.62188841,5.62188841,5.62188841,5.62188841,4652104.90170588
AIT,20070101,5.14925177,5.14925177,5.14925177,5.14925177,922571.20772032
AIT,20070201,6.06964943,6.06964943,6.06964943,6.06964943,4174510.28631574
AIT,20070301,5.5223832,5.5223832,5.5223832,5.5223832,1299162.48267917
AIT,20070401,5.4850698,5.4850698,5.4850698,5.4850698,343501.85783719
AIT,20070501,5.2611894,5.2611894,5.2611894,5.2611894,871992.36735329
AIT,20070601,5.5596966,5.5596966,5.5596966,5.5596966,1603955.88767166
AIT,20070701,6.0074574,6.0074574,6.0074574,6.0074574,2855938.13227318
AIT,20070801,5.4850698,5.4850698,5.4850698,5.4850698,908788.79973414
AIT,20070901,5.2985028,5.2985028,5.2985028,5.2985028,213515.78789389
AIT,20071001,5.0746224,5.0746224,5.0746224,5.0746224,301451.53800463
AIT,20071101,4.850742,4.850742,4.850742,4.850742,202388.90537497
AIT,20071201,4.850742,4.850742,4.850742,4.850742,179465.56969441
AIT,20080101,4.7014884,4.7014884,4.7014884,4.7014884,85954.98473129
AIT,20080201,6.2313378,6.2313378,6.2313378,6.2313378,2037083.19263321
AIT,20080301,6.343278,6.343278,6.343278,6.343278,1046502.63520803
AIT,20080401,7.2014862,7.2014862,7.2014862,7.2014862,886502.4643327
AIT,20080501,6.6417852,6.6417852,6.6417852,6.6417852,784577.74305999
AIT,20080601,6.156711,6.156711,6.156711,6.156711,422036.56186837
AIT,20080701,6.0447708,6.0447708,6.0447708,6.0447708,234142.8727124
AIT,20080801,5.783577,5.783577,5.783577,5.783577,753737.26328879
AIT,20080901,4.9253688,4.9253688,4.9253688,4.9253688,331516.29173434
AIT,20081001,3.6193998,3.6193998,3.6193998,3.6193998,456928.22027865
AIT,20081101,3.5074596,3.5074596,3.5074596,3.5074596,330002.09040184
AIT,20081201,4.2537276,4.2537276,4.2537276,4.2537276,178595.35716391
AIT,20090101,4.4029812,4.4029812,4.4029812,4.4029812,148338.13053756
AIT,20090201,5.410443,5.410443,5.410443,5.410443,302459.42405903
AIT,20090301,5.59701,5.59701,5.59701,5.59701,166562.14657469
AIT,20090401,5.6716368,5.6716368,5.6716368,5.6716368,474881.52900686
AIT,20090501,5.783577,5.783577,5.783577,5.783577,607154.53429599
AIT,20090601,6.0820842,6.0820842,6.0820842,6.0820842,725878.6387732
AIT,20090701,6.8656656,6.8656656,6.8656656,6.8656656,414770.5649981
AIT,20090801,6.902979,6.902979,6.902979,6.902979,841627.94063259
AIT,20090901,7.1641728,7.1641728,7.1641728,7.1641728,632346.55646497
AIT,20091001,7.2387996,7.2387996,7.2387996,7.2387996,549055.91174063
AIT,20091101,9.2164098,9.2164098,9.2164098,9.2164098,1555294.70199267
AIT,20091201,8.9925294,8.9925294,8.9925294,8.9925294,865479.96162237
AIT,20100101,9.514917,9.514917,9.514917,9.514917,901284.79313062
AIT,20100201,10.5410355,10.5410355,10.5410355,10.5410355,972666.65594666
AIT,20100301,11.8470045,11.8470045,11.8470045,11.8470045,1234226.35884647
AIT,20100401,11.007453,11.007453,11.007453,11.007453,1018237.11827089
AIT,20100501,10.074618,10.074618,10.074618,10.074618,853765.0013132
AIT,20100601,10.9141695,10.9141695,10.9141695,10.9141695,1057224.38490291
AIT,20100701,13.805958,13.805958,13.805958,13.805958,1803547.78712205
AIT,20100801,14.2723755,14.2723755,14.2723755,14.2723755,1413259.04366796
AIT,20100901,15.671628,15.671628,15.671628,15.671628,1029157.4511131
AIT,20101001,16.604463,16.604463,16.604463,16.604463,702870.81852632
AIT,20101101,15.9514785,15.9514785,15.9514785,15.9514785,669367.13449762
AIT,20101201,16.6977465,16.6977465,16.6977465,16.6977465,406864.55804081
AIT,20110101,15.9514785,15.9514785,15.9514785,15.9514785,401638.55344193
AIT,20110201,16.977597,16.977597,16.977597,16.977597,330091.65890171
AIT,20110301,18.470133,18.470133,18.470133,18.470133,459212.57802011
AIT,20110401,18.3768495,18.3768495,18.3768495,18.3768495,505732.20975023
AIT,20110501,17.910432,17.910432,17.910432,17.910432,631408.55563953
AIT,20110601,18.0037155,18.0037155,18.0037155,18.0037155,386797.43129083
AIT,20110701,19.216401,19.216401,19.216401,19.216401,439351.12347109
AIT,20110801,18.096999,18.096999,18.096999,18.096999,682328.60044917
AIT,20110901,16.231329,16.231329,16.231329,16.231329,333648.11179216
AIT,20111001,15.9514785,15.9514785,15.9514785,15.9514785,279631.44607567
AIT,20111101,17.723865,17.723865,17.723865,17.723865,242552.39526429
AIT,20111201,17.6305815,17.6305815,17.6305815,17.6305815,189301.96658573
AIT,20120101,19.402968,19.402968,19.402968,19.402968,375629.13055364
AIT,20120201,20.895504,20.895504,20.895504,20.895504,403034.0689557
AIT,20120301,24.25371,24.25371,24.25371,24.25371,531801.80131892
AIT,20120401,22.8544575,22.8544575,22.8544575,22.8544575,1452860.80792928
AIT,20120501,20.6156535,20.6156535,20.6156535,20.6156535,849445.89036953
AIT,20120601,20.335803,20.335803,20.335803,20.335803,272904.64015608
AIT,20120701,20.895504,20.895504,20.895504,20.895504,341712.48252517
AIT,20120801,19.402968,19.402968,19.402968,19.402968,743202.93973287
