<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AJ-JittaLine,20061201,12.6008,12.6008,12.6008,12.6008,null
AJ-JittaLine,20070101,12.526,12.526,12.526,12.526,null
AJ-JittaLine,20070201,12.4511,12.4511,12.4511,12.4511,null
AJ-JittaLine,20070301,12.3763,12.3763,12.3763,12.3763,null
AJ-JittaLine,20070401,12.3014,12.3014,12.3014,12.3014,null
AJ-JittaLine,20070501,12.2266,12.2266,12.2266,12.2266,null
AJ-JittaLine,20070601,12.1517,12.1517,12.1517,12.1517,null
AJ-JittaLine,20070701,12.0769,12.0769,12.0769,12.0769,null
AJ-JittaLine,20070801,12.002,12.002,12.002,12.002,null
AJ-JittaLine,20070901,11.9271,11.9271,11.9271,11.9271,null
AJ-JittaLine,20071001,11.8523,11.8523,11.8523,11.8523,null
AJ-JittaLine,20071101,11.7774,11.7774,11.7774,11.7774,null
AJ-JittaLine,20071201,11.7026,11.7026,11.7026,11.7026,null
AJ-JittaLine,20080101,11.1534,11.1534,11.1534,11.1534,null
AJ-JittaLine,20080201,10.6042,10.6042,10.6042,10.6042,null
AJ-JittaLine,20080301,10.055,10.055,10.055,10.055,null
AJ-JittaLine,20080401,9.5059,9.5059,9.5059,9.5059,null
AJ-JittaLine,20080501,8.9567,8.9567,8.9567,8.9567,null
AJ-JittaLine,20080601,8.4075,8.4075,8.4075,8.4075,null
AJ-JittaLine,20080701,7.8583,7.8583,7.8583,7.8583,null
AJ-JittaLine,20080801,7.3091,7.3091,7.3091,7.3091,null
AJ-JittaLine,20080901,6.76,6.76,6.76,6.76,null
AJ-JittaLine,20081001,6.2108,6.2108,6.2108,6.2108,null
AJ-JittaLine,20081101,5.6616,5.6616,5.6616,5.6616,null
AJ-JittaLine,20081201,5.1124,5.1124,5.1124,5.1124,null
AJ-JittaLine,20090101,5.9868,5.9868,5.9868,5.9868,null
AJ-JittaLine,20090201,6.8612,6.8612,6.8612,6.8612,null
AJ-JittaLine,20090301,7.7356,7.7356,7.7356,7.7356,null
AJ-JittaLine,20090401,8.6099,8.6099,8.6099,8.6099,null
AJ-JittaLine,20090501,9.4843,9.4843,9.4843,9.4843,null
AJ-JittaLine,20090601,10.3587,10.3587,10.3587,10.3587,null
AJ-JittaLine,20090701,11.2331,11.2331,11.2331,11.2331,null
AJ-JittaLine,20090801,12.1075,12.1075,12.1075,12.1075,null
AJ-JittaLine,20090901,12.9819,12.9819,12.9819,12.9819,null
AJ-JittaLine,20091001,13.8562,13.8562,13.8562,13.8562,null
AJ-JittaLine,20091101,14.7306,14.7306,14.7306,14.7306,null
AJ-JittaLine,20091201,15.605,15.605,15.605,15.605,null
AJ-JittaLine,20100101,17.8023,17.8023,17.8023,17.8023,null
AJ-JittaLine,20100201,19.9995,19.9995,19.9995,19.9995,null
AJ-JittaLine,20100301,22.1968,22.1968,22.1968,22.1968,null
AJ-JittaLine,20100401,24.394,24.394,24.394,24.394,null
AJ-JittaLine,20100501,26.5913,26.5913,26.5913,26.5913,null
AJ-JittaLine,20100601,28.7885,28.7885,28.7885,28.7885,null
AJ-JittaLine,20100701,30.9858,30.9858,30.9858,30.9858,null
AJ-JittaLine,20100801,33.183,33.183,33.183,33.183,null
AJ-JittaLine,20100901,35.3803,35.3803,35.3803,35.3803,null
AJ-JittaLine,20101001,37.5775,37.5775,37.5775,37.5775,null
AJ-JittaLine,20101101,39.7748,39.7748,39.7748,39.7748,null
AJ-JittaLine,20101201,41.972,41.972,41.972,41.972,null
AJ-JittaLine,20110101,42.0961,42.0961,42.0961,42.0961,null
AJ-JittaLine,20110201,42.2201,42.2201,42.2201,42.2201,null
AJ-JittaLine,20110301,42.3442,42.3442,42.3442,42.3442,null
AJ-JittaLine,20110401,42.4682,42.4682,42.4682,42.4682,null
AJ-JittaLine,20110501,42.5923,42.5923,42.5923,42.5923,null
AJ-JittaLine,20110601,42.7164,42.7164,42.7164,42.7164,null
AJ-JittaLine,20110701,42.8404,42.8404,42.8404,42.8404,null
AJ-JittaLine,20110801,42.9645,42.9645,42.9645,42.9645,null
AJ-JittaLine,20110901,43.0885,43.0885,43.0885,43.0885,null
AJ-JittaLine,20111001,43.2126,43.2126,43.2126,43.2126,null
AJ-JittaLine,20111101,43.3367,43.3367,43.3367,43.3367,null
AJ-JittaLine,20111201,43.4607,43.4607,43.4607,43.4607,null
AJ-JittaLine,20120101,40.7025,40.7025,40.7025,40.7025,null
AJ-JittaLine,20120201,37.9443,37.9443,37.9443,37.9443,null
AJ-JittaLine,20120301,35.1861,35.1861,35.1861,35.1861,null
AJ-JittaLine,20120401,32.4278,32.4278,32.4278,32.4278,null
AJ-JittaLine,20120501,29.6696,29.6696,29.6696,29.6696,null
AJ-JittaLine,20120601,26.9114,26.9114,26.9114,26.9114,null
AJ-JittaLine,20120701,24.1532,24.1532,24.1532,24.1532,null
AJ-JittaLine,20120801,21.395,21.395,21.395,21.395,null
AJ-JittaLine,20120901,18.6368,18.6368,18.6368,18.6368,null
AJ-JittaLine,20121001,15.8785,15.8785,15.8785,15.8785,null
AJ-JittaLine,20121101,13.1203,13.1203,13.1203,13.1203,null
AJ-JittaLine,20121201,10.3621,10.3621,10.3621,10.3621,null
AJ-JittaLine,20130101,9.7588,9.7588,9.7588,9.7588,null
AJ-JittaLine,20130201,9.1555,9.1555,9.1555,9.1555,null
AJ-JittaLine,20130301,8.5523,8.5523,8.5523,8.5523,null
AJ-JittaLine,20130401,7.949,7.949,7.949,7.949,null
AJ-JittaLine,20130501,7.3457,7.3457,7.3457,7.3457,null
AJ-JittaLine,20130601,6.7424,6.7424,6.7424,6.7424,null
AJ-JittaLine,20130701,6.1391,6.1391,6.1391,6.1391,null
AJ-JittaLine,20130801,5.5359,5.5359,5.5359,5.5359,null
AJ-JittaLine,20130901,4.9326,4.9326,4.9326,4.9326,null
AJ-JittaLine,20131001,4.3293,4.3293,4.3293,4.3293,null
AJ-JittaLine,20131101,3.726,3.726,3.726,3.726,null
AJ-JittaLine,20131201,3.1227,3.1227,3.1227,3.1227,null
AJ-JittaLine,20140101,2.8831,2.8831,2.8831,2.8831,null
AJ-JittaLine,20140201,2.6436,2.6436,2.6436,2.6436,null
AJ-JittaLine,20140301,2.404,2.404,2.404,2.404,null
AJ-JittaLine,20140401,2.1644,2.1644,2.1644,2.1644,null
AJ-JittaLine,20140501,1.9248,1.9248,1.9248,1.9248,null
AJ-JittaLine,20140601,1.6853,1.6853,1.6853,1.6853,null
AJ-JittaLine,20140701,1.4457,1.4457,1.4457,1.4457,null
AJ-JittaLine,20140801,1.2061,1.2061,1.2061,1.2061,null
