<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKR-JittaScore,20061201,3.40,3.40,3.40,3.40,null
AKR-JittaScore,20070101,2.90,2.90,2.90,2.90,null
AKR-JittaScore,20070201,2.90,2.90,2.90,2.90,null
AKR-JittaScore,20070301,2.90,2.90,2.90,2.90,null
AKR-JittaScore,20070401,3.15,3.15,3.15,3.15,null
AKR-JittaScore,20070501,3.15,3.15,3.15,3.15,null
AKR-JittaScore,20070601,3.15,3.15,3.15,3.15,null
AKR-JittaScore,20070701,3.15,3.15,3.15,3.15,null
AKR-JittaScore,20070801,3.15,3.15,3.15,3.15,null
AKR-JittaScore,20070901,3.15,3.15,3.15,3.15,null
AKR-JittaScore,20071001,3.17,3.17,3.17,3.17,null
AKR-JittaScore,20071101,3.17,3.17,3.17,3.17,null
AKR-JittaScore,20071201,3.17,3.17,3.17,3.17,null
AKR-JittaScore,20080101,1.18,1.18,1.18,1.18,null
AKR-JittaScore,20080201,1.18,1.18,1.18,1.18,null
AKR-JittaScore,20080301,1.18,1.18,1.18,1.18,null
AKR-JittaScore,20080401,0.88,0.88,0.88,0.88,null
AKR-JittaScore,20080501,0.88,0.88,0.88,0.88,null
AKR-JittaScore,20080601,0.88,0.88,0.88,0.88,null
AKR-JittaScore,20080701,0.63,0.63,0.63,0.63,null
AKR-JittaScore,20080801,0.63,0.63,0.63,0.63,null
AKR-JittaScore,20080901,0.63,0.63,0.63,0.63,null
AKR-JittaScore,20081001,0.54,0.54,0.54,0.54,null
AKR-JittaScore,20081101,0.54,0.54,0.54,0.54,null
AKR-JittaScore,20081201,0.54,0.54,0.54,0.54,null
AKR-JittaScore,20090101,1.96,1.96,1.96,1.96,null
AKR-JittaScore,20090201,1.96,1.96,1.96,1.96,null
AKR-JittaScore,20090301,1.96,1.96,1.96,1.96,null
AKR-JittaScore,20090401,1.31,1.31,1.31,1.31,null
AKR-JittaScore,20090501,1.31,1.31,1.31,1.31,null
AKR-JittaScore,20090601,1.31,1.31,1.31,1.31,null
AKR-JittaScore,20090701,1.31,1.31,1.31,1.31,null
AKR-JittaScore,20090801,1.31,1.31,1.31,1.31,null
AKR-JittaScore,20090901,1.31,1.31,1.31,1.31,null
