<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
APCS-JittaLine,20090101,2.6776,2.6776,2.6776,2.6776,null
APCS-JittaLine,20090201,2.6461,2.6461,2.6461,2.6461,null
APCS-JittaLine,20090301,2.6145,2.6145,2.6145,2.6145,null
APCS-JittaLine,20090401,2.583,2.583,2.583,2.583,null
APCS-JittaLine,20090501,2.5514,2.5514,2.5514,2.5514,null
APCS-JittaLine,20090601,2.5199,2.5199,2.5199,2.5199,null
APCS-JittaLine,20090701,2.4883,2.4883,2.4883,2.4883,null
APCS-JittaLine,20090801,2.4568,2.4568,2.4568,2.4568,null
APCS-JittaLine,20090901,2.4252,2.4252,2.4252,2.4252,null
APCS-JittaLine,20091001,2.3937,2.3937,2.3937,2.3937,null
APCS-JittaLine,20091101,2.3621,2.3621,2.3621,2.3621,null
APCS-JittaLine,20091201,2.3305,2.3305,2.3305,2.3305,null
APCS-JittaLine,20100101,2.4503,2.4503,2.4503,2.4503,null
APCS-JittaLine,20100201,2.57,2.57,2.57,2.57,null
APCS-JittaLine,20100301,2.6898,2.6898,2.6898,2.6898,null
APCS-JittaLine,20100401,2.8095,2.8095,2.8095,2.8095,null
APCS-JittaLine,20100501,2.9293,2.9293,2.9293,2.9293,null
APCS-JittaLine,20100601,3.049,3.049,3.049,3.049,null
APCS-JittaLine,20100701,3.1688,3.1688,3.1688,3.1688,null
APCS-JittaLine,20100801,3.2885,3.2885,3.2885,3.2885,null
APCS-JittaLine,20100901,3.4083,3.4083,3.4083,3.4083,null
APCS-JittaLine,20101001,3.528,3.528,3.528,3.528,null
APCS-JittaLine,20101101,3.6478,3.6478,3.6478,3.6478,null
APCS-JittaLine,20101201,3.7675,3.7675,3.7675,3.7675,null
APCS-JittaLine,20110101,3.7151,3.7151,3.7151,3.7151,null
APCS-JittaLine,20110201,3.6626,3.6626,3.6626,3.6626,null
APCS-JittaLine,20110301,3.6101,3.6101,3.6101,3.6101,null
APCS-JittaLine,20110401,3.5577,3.5577,3.5577,3.5577,null
APCS-JittaLine,20110501,3.5052,3.5052,3.5052,3.5052,null
APCS-JittaLine,20110601,3.4528,3.4528,3.4528,3.4528,null
APCS-JittaLine,20110701,3.4003,3.4003,3.4003,3.4003,null
APCS-JittaLine,20110801,3.3478,3.3478,3.3478,3.3478,null
APCS-JittaLine,20110901,3.2954,3.2954,3.2954,3.2954,null
APCS-JittaLine,20111001,3.2429,3.2429,3.2429,3.2429,null
APCS-JittaLine,20111101,3.1904,3.1904,3.1904,3.1904,null
APCS-JittaLine,20111201,3.138,3.138,3.138,3.138,null
APCS-JittaLine,20120101,3.1526,3.1526,3.1526,3.1526,null
APCS-JittaLine,20120201,3.1672,3.1672,3.1672,3.1672,null
APCS-JittaLine,20120301,3.1819,3.1819,3.1819,3.1819,null
APCS-JittaLine,20120401,3.1965,3.1965,3.1965,3.1965,null
APCS-JittaLine,20120501,3.2111,3.2111,3.2111,3.2111,null
APCS-JittaLine,20120601,3.2258,3.2258,3.2258,3.2258,null
APCS-JittaLine,20120701,3.2404,3.2404,3.2404,3.2404,null
APCS-JittaLine,20120801,3.255,3.255,3.255,3.255,null
APCS-JittaLine,20120901,3.2697,3.2697,3.2697,3.2697,null
APCS-JittaLine,20121001,3.2843,3.2843,3.2843,3.2843,null
APCS-JittaLine,20121101,3.2989,3.2989,3.2989,3.2989,null
APCS-JittaLine,20121201,3.3136,3.3136,3.3136,3.3136,null
APCS-JittaLine,20130101,3.0987,3.0987,3.0987,3.0987,null
APCS-JittaLine,20130201,2.8839,2.8839,2.8839,2.8839,null
APCS-JittaLine,20130301,2.669,2.669,2.669,2.669,null
APCS-JittaLine,20130401,2.4541,2.4541,2.4541,2.4541,null
APCS-JittaLine,20130501,2.2393,2.2393,2.2393,2.2393,null
