<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AQUA-JittaScore,20061201,0.85,0.85,0.85,0.85,null
AQUA-JittaScore,20070101,1.20,1.20,1.20,1.20,null
AQUA-JittaScore,20070201,1.20,1.20,1.20,1.20,null
AQUA-JittaScore,20070301,1.20,1.20,1.20,1.20,null
AQUA-JittaScore,20070401,0.65,0.65,0.65,0.65,null
AQUA-JittaScore,20070501,0.65,0.65,0.65,0.65,null
AQUA-JittaScore,20070601,0.65,0.65,0.65,0.65,null
AQUA-JittaScore,20070701,0.65,0.65,0.65,0.65,null
AQUA-JittaScore,20070801,0.65,0.65,0.65,0.65,null
AQUA-JittaScore,20070901,0.65,0.65,0.65,0.65,null
AQUA-JittaScore,20071001,1.05,1.05,1.05,1.05,null
AQUA-JittaScore,20071101,1.05,1.05,1.05,1.05,null
AQUA-JittaScore,20071201,1.05,1.05,1.05,1.05,null
AQUA-JittaScore,20080101,0.50,0.50,0.50,0.50,null
AQUA-JittaScore,20080201,0.50,0.50,0.50,0.50,null
AQUA-JittaScore,20080301,0.50,0.50,0.50,0.50,null
AQUA-JittaScore,20080401,0.38,0.38,0.38,0.38,null
AQUA-JittaScore,20080501,0.38,0.38,0.38,0.38,null
AQUA-JittaScore,20080601,0.38,0.38,0.38,0.38,null
AQUA-JittaScore,20080701,0.38,0.38,0.38,0.38,null
AQUA-JittaScore,20080801,0.38,0.38,0.38,0.38,null
AQUA-JittaScore,20080901,0.38,0.38,0.38,0.38,null
AQUA-JittaScore,20081001,0.50,0.50,0.50,0.50,null
AQUA-JittaScore,20081101,0.50,0.50,0.50,0.50,null
AQUA-JittaScore,20081201,0.50,0.50,0.50,0.50,null
AQUA-JittaScore,20090101,0.75,0.75,0.75,0.75,null
AQUA-JittaScore,20090201,0.75,0.75,0.75,0.75,null
AQUA-JittaScore,20090301,0.75,0.75,0.75,0.75,null
AQUA-JittaScore,20090401,1.00,1.00,1.00,1.00,null
AQUA-JittaScore,20090501,1.00,1.00,1.00,1.00,null
AQUA-JittaScore,20090601,1.00,1.00,1.00,1.00,null
AQUA-JittaScore,20090701,1.00,1.00,1.00,1.00,null
