<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AQUA,20061201,0.37,0.37,0.37,0.37,null
AQUA,20070101,0.42,0.42,0.42,0.42,null
AQUA,20070201,0.375,0.375,0.375,0.375,null
AQUA,20070301,0.355,0.355,0.355,0.355,null
AQUA,20070401,0.37,0.37,0.37,0.37,null
AQUA,20070501,0.355,0.355,0.355,0.355,null
AQUA,20070601,0.375,0.375,0.375,0.375,null
AQUA,20070701,0.39,0.39,0.39,0.39,null
AQUA,20070801,0.36,0.36,0.36,0.36,null
AQUA,20070901,0.365,0.365,0.365,0.365,null
AQUA,20071001,0.355,0.355,0.355,0.355,null
AQUA,20071101,0.39,0.39,0.39,0.39,null
AQUA,20071201,0.53,0.53,0.53,0.53,null
AQUA,20080101,0.515,0.515,0.515,0.515,null
AQUA,20080201,0.51,0.51,0.51,0.51,null
AQUA,20080301,0.895,0.895,0.895,0.895,null
AQUA,20080401,1.51,1.51,1.51,1.51,null
AQUA,20080501,1.38,1.38,1.38,1.38,null
AQUA,20080601,1.55,1.55,1.55,1.55,null
AQUA,20080701,1.15,1.15,1.15,1.15,null
AQUA,20080801,0.90,0.90,0.90,0.90,null
AQUA,20080901,0.90,0.90,0.90,0.90,null
AQUA,20081001,0.85,0.85,0.85,0.85,null
AQUA,20081101,0.75,0.75,0.75,0.75,null
AQUA,20081201,0.80,0.80,0.80,0.80,null
AQUA,20090101,0.85,0.85,0.85,0.85,null
AQUA,20090201,0.80,0.80,0.80,0.80,null
AQUA,20090301,0.70,0.70,0.70,0.70,null
AQUA,20090401,0.65,0.65,0.65,0.65,null
AQUA,20090501,0.80,0.80,0.80,0.80,null
AQUA,20090601,0.72,0.72,0.72,0.72,null
AQUA,20090701,0.675,0.675,0.675,0.675,null
AQUA,20090801,0.655,0.655,0.655,0.655,null
AQUA,20090901,0.655,0.655,0.655,0.655,null
AQUA,20091001,0.685,0.685,0.685,0.685,null
AQUA,20091101,0.655,0.655,0.655,0.655,null
AQUA,20091201,0.61,0.61,0.61,0.61,null
AQUA,20100101,0.505,0.505,0.505,0.505,null
AQUA,20100201,0.425,0.425,0.425,0.425,null
AQUA,20100301,0.395,0.395,0.395,0.395,null
AQUA,20100401,0.385,0.385,0.385,0.385,null
AQUA,20100501,0.365,0.365,0.365,0.365,null
AQUA,20100601,0.37,0.37,0.37,0.37,null
AQUA,20100701,0.33,0.33,0.33,0.33,null
AQUA,20100801,0.30,0.30,0.30,0.30,null
AQUA,20100901,0.285,0.285,0.285,0.285,null
AQUA,20101001,0.26,0.26,0.26,0.26,null
AQUA,20101101,0.24,0.24,0.24,0.24,null
AQUA,20101201,0.24,0.24,0.24,0.24,null
AQUA,20110101,0.48,0.48,0.48,0.48,null
AQUA,20110201,0.63,0.63,0.63,0.63,null
AQUA,20110301,0.70,0.70,0.70,0.70,null
AQUA,20110401,0.69,0.69,0.69,0.69,null
AQUA,20110501,0.68,0.68,0.68,0.68,null
AQUA,20110601,0.63,0.63,0.63,0.63,null
AQUA,20110701,0.52,0.52,0.52,0.52,null
AQUA,20110801,0.45,0.45,0.45,0.45,null
AQUA,20110901,0.42,0.42,0.42,0.42,null
AQUA,20111001,0.37,0.37,0.37,0.37,null
AQUA,20111101,0.38,0.38,0.38,0.38,null
AQUA,20111201,0.42,0.42,0.42,0.42,null
AQUA,20120101,0.39,0.39,0.39,0.39,null
AQUA,20120201,0.39,0.39,0.39,0.39,null
AQUA,20120301,0.40,0.40,0.40,0.40,null
AQUA,20120401,0.40,0.40,0.40,0.40,null
AQUA,20120501,0.37,0.37,0.37,0.37,null
AQUA,20120601,0.39,0.39,0.39,0.39,null
AQUA,20120701,0.38,0.38,0.38,0.38,null
AQUA,20120801,0.36,0.36,0.36,0.36,null
AQUA,20120901,0.35,0.35,0.35,0.35,null
AQUA,20121001,0.44,0.44,0.44,0.44,null
AQUA,20121101,0.54,0.54,0.54,0.54,null
