<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ARROW-JittaScore,20130101,4.90,4.90,4.90,4.90,null
ARROW-JittaScore,20130201,4.90,4.90,4.90,4.90,null
ARROW-JittaScore,20130301,4.90,4.90,4.90,4.90,null
ARROW-JittaScore,20130401,4.70,4.70,4.70,4.70,null
ARROW-JittaScore,20130501,4.70,4.70,4.70,4.70,null
ARROW-JittaScore,20130601,4.70,4.70,4.70,4.70,null
ARROW-JittaScore,20130701,4.67,4.67,4.67,4.67,null
ARROW-JittaScore,20130801,4.67,4.67,4.67,4.67,null
ARROW-JittaScore,20130901,4.67,4.67,4.67,4.67,null
ARROW-JittaScore,20131001,4.55,4.55,4.55,4.55,null
ARROW-JittaScore,20131101,4.55,4.55,4.55,4.55,null
ARROW-JittaScore,20131201,4.55,4.55,4.55,4.55,null
ARROW-JittaScore,20140101,5.60,5.60,5.60,5.60,null
ARROW-JittaScore,20140201,5.60,5.60,5.60,5.60,null
ARROW-JittaScore,20140301,5.60,5.60,5.60,5.60,null
ARROW-JittaScore,20140401,5.55,5.55,5.55,5.55,null
ARROW-JittaScore,20140501,5.55,5.55,5.55,5.55,null
ARROW-JittaScore,20140601,5.55,5.55,5.55,5.55,null
ARROW-JittaScore,20140701,5.47,5.47,5.47,5.47,null
ARROW-JittaScore,20140801,5.47,5.47,5.47,5.47,null
ARROW-JittaScore,20140901,5.47,5.47,5.47,5.47,null
ARROW-JittaScore,20141001,5.80,5.80,5.80,5.80,null
ARROW-JittaScore,20141101,5.80,5.80,5.80,5.80,null
ARROW-JittaScore,20141201,5.80,5.80,5.80,5.80,null
ARROW-JittaScore,20150101,6.15,6.15,6.15,6.15,null
ARROW-JittaScore,20150201,6.15,6.15,6.15,6.15,null
ARROW-JittaScore,20150301,6.15,6.15,6.15,6.15,null
ARROW-JittaScore,20150401,6.30,6.30,6.30,6.30,null
ARROW-JittaScore,20150501,6.30,6.30,6.30,6.30,null
ARROW-JittaScore,20150601,6.30,6.30,6.30,6.30,null
ARROW-JittaScore,20150701,6.30,6.30,6.30,6.30,null
ARROW-JittaScore,20150801,6.30,6.30,6.30,6.30,null
ARROW-JittaScore,20150901,6.30,6.30,6.30,6.30,null
ARROW-JittaScore,20151001,6.19,6.19,6.19,6.19,null
ARROW-JittaScore,20151101,6.19,6.19,6.19,6.19,null
ARROW-JittaScore,20151201,6.19,6.19,6.19,6.19,null
ARROW-JittaScore,20160101,6.40,6.40,6.40,6.40,null
ARROW-JittaScore,20160201,6.40,6.40,6.40,6.40,null
ARROW-JittaScore,20160301,6.40,6.40,6.40,6.40,null
ARROW-JittaScore,20160401,6.08,6.08,6.08,6.08,null
ARROW-JittaScore,20160501,6.08,6.08,6.08,6.08,null
ARROW-JittaScore,20160601,6.08,6.08,6.08,6.08,null
