<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AS-JittaLine,20061201,5.4175,5.4175,5.4175,5.4175,null
AS-JittaLine,20070101,5.9849,5.9849,5.9849,5.9849,null
AS-JittaLine,20070201,6.5524,6.5524,6.5524,6.5524,null
AS-JittaLine,20070301,7.1198,7.1198,7.1198,7.1198,null
AS-JittaLine,20070401,7.6872,7.6872,7.6872,7.6872,null
AS-JittaLine,20070501,8.2547,8.2547,8.2547,8.2547,null
AS-JittaLine,20070601,8.8221,8.8221,8.8221,8.8221,null
AS-JittaLine,20070701,9.3895,9.3895,9.3895,9.3895,null
AS-JittaLine,20070801,9.957,9.957,9.957,9.957,null
AS-JittaLine,20070901,10.5244,10.5244,10.5244,10.5244,null
AS-JittaLine,20071001,11.0918,11.0918,11.0918,11.0918,null
AS-JittaLine,20071101,11.6593,11.6593,11.6593,11.6593,null
AS-JittaLine,20071201,12.2267,12.2267,12.2267,12.2267,null
AS-JittaLine,20080101,12.0554,12.0554,12.0554,12.0554,null
AS-JittaLine,20080201,11.8841,11.8841,11.8841,11.8841,null
AS-JittaLine,20080301,11.7129,11.7129,11.7129,11.7129,null
AS-JittaLine,20080401,11.5416,11.5416,11.5416,11.5416,null
AS-JittaLine,20080501,11.3703,11.3703,11.3703,11.3703,null
AS-JittaLine,20080601,11.199,11.199,11.199,11.199,null
AS-JittaLine,20080701,11.0277,11.0277,11.0277,11.0277,null
AS-JittaLine,20080801,10.8565,10.8565,10.8565,10.8565,null
AS-JittaLine,20080901,10.6852,10.6852,10.6852,10.6852,null
AS-JittaLine,20081001,10.5139,10.5139,10.5139,10.5139,null
AS-JittaLine,20081101,10.3426,10.3426,10.3426,10.3426,null
AS-JittaLine,20081201,10.1713,10.1713,10.1713,10.1713,null
AS-JittaLine,20090101,10.1352,10.1352,10.1352,10.1352,null
AS-JittaLine,20090201,10.099,10.099,10.099,10.099,null
AS-JittaLine,20090301,10.0629,10.0629,10.0629,10.0629,null
AS-JittaLine,20090401,10.0267,10.0267,10.0267,10.0267,null
AS-JittaLine,20090501,9.9906,9.9906,9.9906,9.9906,null
AS-JittaLine,20090601,9.9545,9.9545,9.9545,9.9545,null
AS-JittaLine,20090701,9.9183,9.9183,9.9183,9.9183,null
AS-JittaLine,20090801,9.8822,9.8822,9.8822,9.8822,null
AS-JittaLine,20090901,9.846,9.846,9.846,9.846,null
AS-JittaLine,20091001,9.8099,9.8099,9.8099,9.8099,null
AS-JittaLine,20091101,9.7737,9.7737,9.7737,9.7737,null
AS-JittaLine,20091201,9.7376,9.7376,9.7376,9.7376,null
AS-JittaLine,20100101,9.954,9.954,9.954,9.954,null
AS-JittaLine,20100201,10.1705,10.1705,10.1705,10.1705,null
AS-JittaLine,20100301,10.387,10.387,10.387,10.387,null
AS-JittaLine,20100401,10.6034,10.6034,10.6034,10.6034,null
AS-JittaLine,20100501,10.8199,10.8199,10.8199,10.8199,null
AS-JittaLine,20100601,11.0364,11.0364,11.0364,11.0364,null
AS-JittaLine,20100701,11.2528,11.2528,11.2528,11.2528,null
AS-JittaLine,20100801,11.4693,11.4693,11.4693,11.4693,null
AS-JittaLine,20100901,11.6858,11.6858,11.6858,11.6858,null
AS-JittaLine,20101001,11.9022,11.9022,11.9022,11.9022,null
AS-JittaLine,20101101,12.1187,12.1187,12.1187,12.1187,null
AS-JittaLine,20101201,12.3352,12.3352,12.3352,12.3352,null
AS-JittaLine,20110101,13.0556,13.0556,13.0556,13.0556,null
AS-JittaLine,20110201,13.776,13.776,13.776,13.776,null
AS-JittaLine,20110301,14.4965,14.4965,14.4965,14.4965,null
AS-JittaLine,20110401,15.2169,15.2169,15.2169,15.2169,null
AS-JittaLine,20110501,15.9373,15.9373,15.9373,15.9373,null
AS-JittaLine,20110601,16.6578,16.6578,16.6578,16.6578,null
AS-JittaLine,20110701,17.3782,17.3782,17.3782,17.3782,null
AS-JittaLine,20110801,18.0986,18.0986,18.0986,18.0986,null
AS-JittaLine,20110901,18.8191,18.8191,18.8191,18.8191,null
AS-JittaLine,20111001,19.5395,19.5395,19.5395,19.5395,null
AS-JittaLine,20111101,20.2599,20.2599,20.2599,20.2599,null
AS-JittaLine,20111201,20.9804,20.9804,20.9804,20.9804,null
AS-JittaLine,20120101,20.7401,20.7401,20.7401,20.7401,null
AS-JittaLine,20120201,20.4999,20.4999,20.4999,20.4999,null
