<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ASIA,20070101,27.00,27.00,27.00,27.00,null
ASIA,20070201,56.00,56.00,56.00,56.00,null
ASIA,20070301,49.50,49.50,49.50,49.50,null
ASIA,20070401,51.50,51.50,51.50,51.50,null
ASIA,20070501,49.00,49.00,49.00,49.00,null
ASIA,20070601,51.00,51.00,51.00,51.00,null
ASIA,20070701,46.25,46.25,46.25,46.25,null
ASIA,20070801,43.25,43.25,43.25,43.25,null
ASIA,20070901,43.00,43.00,43.00,43.00,null
ASIA,20071001,40.00,40.00,40.00,40.00,null
ASIA,20071101,46.00,46.00,46.00,46.00,null
ASIA,20071201,46.25,46.25,46.25,46.25,null
ASIA,20080101,44.75,44.75,44.75,44.75,null
ASIA,20080201,43.25,43.25,43.25,43.25,null
ASIA,20080301,43.00,43.00,43.00,43.00,null
ASIA,20080401,44.50,44.50,44.50,44.50,null
ASIA,20080501,47.00,47.00,47.00,47.00,null
ASIA,20080601,46.50,46.50,46.50,46.50,null
ASIA,20080701,43.00,43.00,43.00,43.00,null
ASIA,20080801,43.50,43.50,43.50,43.50,null
ASIA,20080901,40.00,40.00,40.00,40.00,null
ASIA,20081001,34.75,34.75,34.75,34.75,null
ASIA,20081101,34.00,34.00,34.00,34.00,null
ASIA,20081201,40.50,40.50,40.50,40.50,null
ASIA,20090101,36.75,36.75,36.75,36.75,null
ASIA,20090201,38.25,38.25,38.25,38.25,null
ASIA,20090301,40.00,40.00,40.00,40.00,null
ASIA,20090401,38.00,38.00,38.00,38.00,null
ASIA,20090501,37.25,37.25,37.25,37.25,null
ASIA,20090601,35.00,35.00,35.00,35.00,null
ASIA,20090701,36.00,36.00,36.00,36.00,null
ASIA,20090801,35.00,35.00,35.00,35.00,null
ASIA,20090901,35.00,35.00,35.00,35.00,null
ASIA,20091001,36.75,36.75,36.75,36.75,null
ASIA,20091101,35.75,35.75,35.75,35.75,null
ASIA,20091201,34.00,34.00,34.00,34.00,null
ASIA,20100101,33.50,33.50,33.50,33.50,null
ASIA,20100201,34.00,34.00,34.00,34.00,null
ASIA,20100301,34.00,34.00,34.00,34.00,null
ASIA,20100401,33.00,33.00,33.00,33.00,null
ASIA,20100501,31.25,31.25,31.25,31.25,null
