<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ATP30-JittaScore,20150101,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20150201,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20150301,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20150401,3.90,3.90,3.90,3.90,null
ATP30-JittaScore,20150501,3.90,3.90,3.90,3.90,null
ATP30-JittaScore,20150601,3.90,3.90,3.90,3.90,null
ATP30-JittaScore,20150701,3.90,3.90,3.90,3.90,null
ATP30-JittaScore,20150801,3.90,3.90,3.90,3.90,null
ATP30-JittaScore,20150901,3.90,3.90,3.90,3.90,null
ATP30-JittaScore,20151001,3.00,3.00,3.00,3.00,null
ATP30-JittaScore,20151101,3.00,3.00,3.00,3.00,null
ATP30-JittaScore,20151201,3.00,3.00,3.00,3.00,null
ATP30-JittaScore,20160101,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20160201,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20160301,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20160401,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20160501,3.70,3.70,3.70,3.70,null
ATP30-JittaScore,20160601,3.70,3.70,3.70,3.70,null
