<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAFS-JittaScore,20061201,3.38,3.38,3.38,3.38,null
BAFS-JittaScore,20070101,4.63,4.63,4.63,4.63,null
BAFS-JittaScore,20070201,4.63,4.63,4.63,4.63,null
BAFS-JittaScore,20070301,4.63,4.63,4.63,4.63,null
BAFS-JittaScore,20070401,4.88,4.88,4.88,4.88,null
BAFS-JittaScore,20070501,4.88,4.88,4.88,4.88,null
BAFS-JittaScore,20070601,4.88,4.88,4.88,4.88,null
BAFS-JittaScore,20070701,4.88,4.88,4.88,4.88,null
BAFS-JittaScore,20070801,4.88,4.88,4.88,4.88,null
BAFS-JittaScore,20070901,4.88,4.88,4.88,4.88,null
BAFS-JittaScore,20071001,5.42,5.42,5.42,5.42,null
BAFS-JittaScore,20071101,5.42,5.42,5.42,5.42,null
BAFS-JittaScore,20071201,5.42,5.42,5.42,5.42,null
BAFS-JittaScore,20080101,4.79,4.79,4.79,4.79,null
BAFS-JittaScore,20080201,4.79,4.79,4.79,4.79,null
BAFS-JittaScore,20080301,4.79,4.79,4.79,4.79,null
BAFS-JittaScore,20080401,4.44,4.44,4.44,4.44,null
BAFS-JittaScore,20080501,4.44,4.44,4.44,4.44,null
BAFS-JittaScore,20080601,4.44,4.44,4.44,4.44,null
BAFS-JittaScore,20080701,4.44,4.44,4.44,4.44,null
BAFS-JittaScore,20080801,4.44,4.44,4.44,4.44,null
BAFS-JittaScore,20080901,4.44,4.44,4.44,4.44,null
BAFS-JittaScore,20081001,3.09,3.09,3.09,3.09,null
BAFS-JittaScore,20081101,3.09,3.09,3.09,3.09,null
BAFS-JittaScore,20081201,3.09,3.09,3.09,3.09,null
BAFS-JittaScore,20090101,2.69,2.69,2.69,2.69,null
BAFS-JittaScore,20090201,2.69,2.69,2.69,2.69,null
BAFS-JittaScore,20090301,2.69,2.69,2.69,2.69,null
BAFS-JittaScore,20090401,2.14,2.14,2.14,2.14,null
BAFS-JittaScore,20090501,2.14,2.14,2.14,2.14,null
BAFS-JittaScore,20090601,2.14,2.14,2.14,2.14,null
BAFS-JittaScore,20090701,2.14,2.14,2.14,2.14,null
BAFS-JittaScore,20090801,2.14,2.14,2.14,2.14,null
BAFS-JittaScore,20090901,2.14,2.14,2.14,2.14,null
BAFS-JittaScore,20091001,2.00,2.00,2.00,2.00,null
BAFS-JittaScore,20091101,2.00,2.00,2.00,2.00,null
BAFS-JittaScore,20091201,2.00,2.00,2.00,2.00,null
BAFS-JittaScore,20100101,2.75,2.75,2.75,2.75,null
BAFS-JittaScore,20100201,2.75,2.75,2.75,2.75,null
BAFS-JittaScore,20100301,2.75,2.75,2.75,2.75,null
BAFS-JittaScore,20100401,2.83,2.83,2.83,2.83,null
BAFS-JittaScore,20100501,2.83,2.83,2.83,2.83,null
BAFS-JittaScore,20100601,2.83,2.83,2.83,2.83,null
BAFS-JittaScore,20100701,2.83,2.83,2.83,2.83,null
BAFS-JittaScore,20100801,2.83,2.83,2.83,2.83,null
BAFS-JittaScore,20100901,2.83,2.83,2.83,2.83,null
BAFS-JittaScore,20101001,3.20,3.20,3.20,3.20,null
BAFS-JittaScore,20101101,3.20,3.20,3.20,3.20,null
BAFS-JittaScore,20101201,3.20,3.20,3.20,3.20,null
BAFS-JittaScore,20110101,3.20,3.20,3.20,3.20,null
BAFS-JittaScore,20110201,3.20,3.20,3.20,3.20,null
BAFS-JittaScore,20110301,3.20,3.20,3.20,3.20,null
BAFS-JittaScore,20110401,3.38,3.38,3.38,3.38,null
BAFS-JittaScore,20110501,3.38,3.38,3.38,3.38,null
BAFS-JittaScore,20110601,3.38,3.38,3.38,3.38,null
BAFS-JittaScore,20110701,3.33,3.33,3.33,3.33,null
BAFS-JittaScore,20110801,3.33,3.33,3.33,3.33,null
BAFS-JittaScore,20110901,3.33,3.33,3.33,3.33,null
BAFS-JittaScore,20111001,5.40,5.40,5.40,5.40,null
BAFS-JittaScore,20111101,5.40,5.40,5.40,5.40,null
BAFS-JittaScore,20111201,5.40,5.40,5.40,5.40,null
BAFS-JittaScore,20120101,4.00,4.00,4.00,4.00,null
BAFS-JittaScore,20120201,4.00,4.00,4.00,4.00,null
BAFS-JittaScore,20120301,4.00,4.00,4.00,4.00,null
BAFS-JittaScore,20120401,3.45,3.45,3.45,3.45,null
BAFS-JittaScore,20120501,3.45,3.45,3.45,3.45,null
BAFS-JittaScore,20120601,3.45,3.45,3.45,3.45,null
BAFS-JittaScore,20120701,3.45,3.45,3.45,3.45,null
BAFS-JittaScore,20120801,3.45,3.45,3.45,3.45,null
BAFS-JittaScore,20120901,3.45,3.45,3.45,3.45,null
BAFS-JittaScore,20121001,3.25,3.25,3.25,3.25,null
BAFS-JittaScore,20121101,3.25,3.25,3.25,3.25,null
BAFS-JittaScore,20121201,3.25,3.25,3.25,3.25,null
BAFS-JittaScore,20130101,6.90,6.90,6.90,6.90,null
BAFS-JittaScore,20130201,6.90,6.90,6.90,6.90,null
BAFS-JittaScore,20130301,6.90,6.90,6.90,6.90,null
BAFS-JittaScore,20130401,7.15,7.15,7.15,7.15,null
BAFS-JittaScore,20130501,7.15,7.15,7.15,7.15,null
