<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAT-3K-JittaLine,20061201,132.05,132.05,132.05,132.05,null
BAT-3K-JittaLine,20070101,138.688,138.688,138.688,138.688,null
BAT-3K-JittaLine,20070201,145.3259,145.3259,145.3259,145.3259,null
BAT-3K-JittaLine,20070301,151.9639,151.9639,151.9639,151.9639,null
BAT-3K-JittaLine,20070401,158.6018,158.6018,158.6018,158.6018,null
BAT-3K-JittaLine,20070501,165.2398,165.2398,165.2398,165.2398,null
BAT-3K-JittaLine,20070601,171.8777,171.8777,171.8777,171.8777,null
BAT-3K-JittaLine,20070701,178.5157,178.5157,178.5157,178.5157,null
BAT-3K-JittaLine,20070801,185.1537,185.1537,185.1537,185.1537,null
BAT-3K-JittaLine,20070901,191.7916,191.7916,191.7916,191.7916,null
BAT-3K-JittaLine,20071001,198.4296,198.4296,198.4296,198.4296,null
BAT-3K-JittaLine,20071101,205.0675,205.0675,205.0675,205.0675,null
BAT-3K-JittaLine,20071201,211.7055,211.7055,211.7055,211.7055,null
BAT-3K-JittaLine,20080101,193.0994,193.0994,193.0994,193.0994,null
BAT-3K-JittaLine,20080201,174.4933,174.4933,174.4933,174.4933,null
BAT-3K-JittaLine,20080301,155.8872,155.8872,155.8872,155.8872,null
BAT-3K-JittaLine,20080401,137.2811,137.2811,137.2811,137.2811,null
BAT-3K-JittaLine,20080501,118.675,118.675,118.675,118.675,null
BAT-3K-JittaLine,20080601,100.0689,100.0689,100.0689,100.0689,null
BAT-3K-JittaLine,20080701,81.4628,81.4628,81.4628,81.4628,null
BAT-3K-JittaLine,20080801,62.8567,62.8567,62.8567,62.8567,null
BAT-3K-JittaLine,20080901,44.2506,44.2506,44.2506,44.2506,null
BAT-3K-JittaLine,20081001,25.6445,25.6445,25.6445,25.6445,null
BAT-3K-JittaLine,20081101,7.0384,7.0384,7.0384,7.0384,null
BAT-3K-JittaLine,20090201,2.2377,2.2377,2.2377,2.2377,null
BAT-3K-JittaLine,20090301,9.1405,9.1405,9.1405,9.1405,null
BAT-3K-JittaLine,20090401,16.0432,16.0432,16.0432,16.0432,null
BAT-3K-JittaLine,20090501,22.9459,22.9459,22.9459,22.9459,null
BAT-3K-JittaLine,20090601,29.8486,29.8486,29.8486,29.8486,null
BAT-3K-JittaLine,20090701,36.7513,36.7513,36.7513,36.7513,null
BAT-3K-JittaLine,20090801,43.654,43.654,43.654,43.654,null
BAT-3K-JittaLine,20090901,50.5567,50.5567,50.5567,50.5567,null
BAT-3K-JittaLine,20091001,57.4595,57.4595,57.4595,57.4595,null
BAT-3K-JittaLine,20091101,64.3622,64.3622,64.3622,64.3622,null
BAT-3K-JittaLine,20091201,71.2649,71.2649,71.2649,71.2649,null
BAT-3K-JittaLine,20100101,66.5763,66.5763,66.5763,66.5763,null
BAT-3K-JittaLine,20100201,61.8876,61.8876,61.8876,61.8876,null
BAT-3K-JittaLine,20100301,57.199,57.199,57.199,57.199,null
BAT-3K-JittaLine,20100401,52.5104,52.5104,52.5104,52.5104,null
BAT-3K-JittaLine,20100501,47.8218,47.8218,47.8218,47.8218,null
BAT-3K-JittaLine,20100601,43.1331,43.1331,43.1331,43.1331,null
BAT-3K-JittaLine,20100701,38.4445,38.4445,38.4445,38.4445,null
BAT-3K-JittaLine,20100801,33.7559,33.7559,33.7559,33.7559,null
BAT-3K-JittaLine,20100901,29.0673,29.0673,29.0673,29.0673,null
BAT-3K-JittaLine,20101001,24.3786,24.3786,24.3786,24.3786,null
BAT-3K-JittaLine,20101101,19.69,19.69,19.69,19.69,null
BAT-3K-JittaLine,20101201,15.0014,15.0014,15.0014,15.0014,null
BAT-3K-JittaLine,20110101,30.7359,30.7359,30.7359,30.7359,null
BAT-3K-JittaLine,20110201,46.4704,46.4704,46.4704,46.4704,null
BAT-3K-JittaLine,20110301,62.2049,62.2049,62.2049,62.2049,null
BAT-3K-JittaLine,20110401,77.9394,77.9394,77.9394,77.9394,null
BAT-3K-JittaLine,20110501,93.6739,93.6739,93.6739,93.6739,null
BAT-3K-JittaLine,20110601,109.4084,109.4084,109.4084,109.4084,null
BAT-3K-JittaLine,20110701,125.1429,125.1429,125.1429,125.1429,null
BAT-3K-JittaLine,20110801,140.8774,140.8774,140.8774,140.8774,null
BAT-3K-JittaLine,20110901,156.6119,156.6119,156.6119,156.6119,null
BAT-3K-JittaLine,20111001,172.3464,172.3464,172.3464,172.3464,null
BAT-3K-JittaLine,20111101,188.0809,188.0809,188.0809,188.0809,null
BAT-3K-JittaLine,20111201,203.8154,203.8154,203.8154,203.8154,null
BAT-3K-JittaLine,20120101,185.9423,185.9423,185.9423,185.9423,null
BAT-3K-JittaLine,20120201,168.0692,168.0692,168.0692,168.0692,null
BAT-3K-JittaLine,20120301,150.1961,150.1961,150.1961,150.1961,null
BAT-3K-JittaLine,20120401,132.323,132.323,132.323,132.323,null
BAT-3K-JittaLine,20120501,114.45,114.45,114.45,114.45,null
BAT-3K-JittaLine,20120601,96.5769,96.5769,96.5769,96.5769,null
BAT-3K-JittaLine,20120701,78.7038,78.7038,78.7038,78.7038,null
BAT-3K-JittaLine,20120801,60.8307,60.8307,60.8307,60.8307,null
BAT-3K-JittaLine,20120901,42.9576,42.9576,42.9576,42.9576,null
BAT-3K-JittaLine,20121001,25.0845,25.0845,25.0845,25.0845,null
BAT-3K-JittaLine,20121101,7.2115,7.2115,7.2115,7.2115,null
BAT-3K-JittaLine,20130401,0.3299,0.3299,0.3299,0.3299,null
BAT-3K-JittaLine,20130501,3.0778,3.0778,3.0778,3.0778,null
BAT-3K-JittaLine,20130601,5.8257,5.8257,5.8257,5.8257,null
BAT-3K-JittaLine,20130701,8.5736,8.5736,8.5736,8.5736,null
BAT-3K-JittaLine,20130801,11.3215,11.3215,11.3215,11.3215,null
BAT-3K-JittaLine,20130901,14.0693,14.0693,14.0693,14.0693,null
BAT-3K-JittaLine,20131001,16.8172,16.8172,16.8172,16.8172,null
BAT-3K-JittaLine,20131101,19.5651,19.5651,19.5651,19.5651,null
BAT-3K-JittaLine,20131201,22.313,22.313,22.313,22.313,null
BAT-3K-JittaLine,20140101,21.6819,21.6819,21.6819,21.6819,null
BAT-3K-JittaLine,20140201,21.0508,21.0508,21.0508,21.0508,null
BAT-3K-JittaLine,20140301,20.4196,20.4196,20.4196,20.4196,null
BAT-3K-JittaLine,20140401,19.7885,19.7885,19.7885,19.7885,null
BAT-3K-JittaLine,20140501,19.1574,19.1574,19.1574,19.1574,null
BAT-3K-JittaLine,20140601,18.5263,18.5263,18.5263,18.5263,null
BAT-3K-JittaLine,20140701,17.8952,17.8952,17.8952,17.8952,null
BAT-3K-JittaLine,20140801,17.2641,17.2641,17.2641,17.2641,null
BAT-3K-JittaLine,20140901,16.6329,16.6329,16.6329,16.6329,null
BAT-3K-JittaLine,20141001,16.0018,16.0018,16.0018,16.0018,null
BAT-3K-JittaLine,20141101,15.3707,15.3707,15.3707,15.3707,null
BAT-3K-JittaLine,20141201,14.7396,14.7396,14.7396,14.7396,null
BAT-3K-JittaLine,20150101,31.018,31.018,31.018,31.018,null
BAT-3K-JittaLine,20150201,47.2965,47.2965,47.2965,47.2965,null
BAT-3K-JittaLine,20150301,63.5749,63.5749,63.5749,63.5749,null
BAT-3K-JittaLine,20150401,79.8533,79.8533,79.8533,79.8533,null
BAT-3K-JittaLine,20150501,96.1318,96.1318,96.1318,96.1318,null
BAT-3K-JittaLine,20150601,112.4102,112.4102,112.4102,112.4102,null
BAT-3K-JittaLine,20150701,128.6887,128.6887,128.6887,128.6887,null
BAT-3K-JittaLine,20150801,144.9671,144.9671,144.9671,144.9671,null
BAT-3K-JittaLine,20150901,161.2455,161.2455,161.2455,161.2455,null
BAT-3K-JittaLine,20151001,177.524,177.524,177.524,177.524,null
BAT-3K-JittaLine,20151101,193.8024,193.8024,193.8024,193.8024,null
BAT-3K-JittaLine,20151201,210.0808,210.0808,210.0808,210.0808,null
BAT-3K-JittaLine,20160101,215.3329,215.3329,215.3329,215.3329,null
BAT-3K-JittaLine,20160201,220.5849,220.5849,220.5849,220.5849,null
BAT-3K-JittaLine,20160301,225.8369,225.8369,225.8369,225.8369,null
BAT-3K-JittaLine,20160401,231.0889,231.0889,231.0889,231.0889,null
BAT-3K-JittaLine,20160501,236.341,236.341,236.341,236.341,null
BAT-3K-JittaLine,20160601,241.593,241.593,241.593,241.593,null
BAT-3K-JittaLine,20160701,246.845,246.845,246.845,246.845,null
BAT-3K-JittaLine,20160801,252.097,252.097,252.097,252.097,null
BAT-3K-JittaLine,20160901,257.349,257.349,257.349,257.349,null
BAT-3K-JittaLine,20161001,262.6011,262.6011,262.6011,262.6011,null
BAT-3K-JittaLine,20161101,267.8531,267.8531,267.8531,267.8531,null
BAT-3K-JittaLine,20161201,273.1051,273.1051,273.1051,273.1051,null
