<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAT-3K,20061201,49.00,49.00,49.00,49.00,null
BAT-3K,20070101,47.50,47.50,47.50,47.50,null
BAT-3K,20070201,48.00,48.00,48.00,48.00,null
BAT-3K,20070301,49.25,49.25,49.25,49.25,null
BAT-3K,20070401,46.50,46.50,46.50,46.50,null
BAT-3K,20070501,43.50,43.50,43.50,43.50,null
BAT-3K,20070601,45.00,45.00,45.00,45.00,null
BAT-3K,20070701,45.00,45.00,45.00,45.00,null
BAT-3K,20070801,54.00,54.00,54.00,54.00,null
BAT-3K,20070901,59.50,59.50,59.50,59.50,null
BAT-3K,20071001,58.00,58.00,58.00,58.00,null
BAT-3K,20071101,70.00,70.00,70.00,70.00,null
BAT-3K,20071201,68.00,68.00,68.00,68.00,null
BAT-3K,20080101,64.50,64.50,64.50,64.50,null
BAT-3K,20080201,78.00,78.00,78.00,78.00,null
BAT-3K,20080301,73.00,73.00,73.00,73.00,null
BAT-3K,20080401,71.00,71.00,71.00,71.00,null
BAT-3K,20080501,66.00,66.00,66.00,66.00,null
BAT-3K,20080601,59.50,59.50,59.50,59.50,null
BAT-3K,20080701,47.75,47.75,47.75,47.75,null
BAT-3K,20080801,40.25,40.25,40.25,40.25,null
BAT-3K,20080901,37.50,37.50,37.50,37.50,null
BAT-3K,20081001,31.50,31.50,31.50,31.50,null
BAT-3K,20081101,29.00,29.00,29.00,29.00,null
BAT-3K,20081201,30.00,30.00,30.00,30.00,null
BAT-3K,20090101,29.00,29.00,29.00,29.00,null
BAT-3K,20090201,29.00,29.00,29.00,29.00,null
BAT-3K,20090301,29.00,29.00,29.00,29.00,null
BAT-3K,20090401,32.00,32.00,32.00,32.00,null
BAT-3K,20090501,43.50,43.50,43.50,43.50,null
BAT-3K,20090601,46.50,46.50,46.50,46.50,null
BAT-3K,20090701,52.00,52.00,52.00,52.00,null
BAT-3K,20090801,61.00,61.00,61.00,61.00,null
BAT-3K,20090901,60.50,60.50,60.50,60.50,null
BAT-3K,20091001,61.00,61.00,61.00,61.00,null
BAT-3K,20091101,64.50,64.50,64.50,64.50,null
BAT-3K,20091201,64.00,64.00,64.00,64.00,null
BAT-3K,20100101,65.00,65.00,65.00,65.00,null
BAT-3K,20100201,70.25,70.25,70.25,70.25,null
BAT-3K,20100301,64.75,64.75,64.75,64.75,null
BAT-3K,20100401,63.00,63.00,63.00,63.00,null
BAT-3K,20100501,58.75,58.75,58.75,58.75,null
BAT-3K,20100601,59.50,59.50,59.50,59.50,null
BAT-3K,20100701,60.50,60.50,60.50,60.50,null
BAT-3K,20100801,59.50,59.50,59.50,59.50,null
BAT-3K,20100901,58.00,58.00,58.00,58.00,null
BAT-3K,20101001,57.25,57.25,57.25,57.25,null
BAT-3K,20101101,58.00,58.00,58.00,58.00,null
BAT-3K,20101201,61.75,61.75,61.75,61.75,null
BAT-3K,20110101,61.00,61.00,61.00,61.00,null
BAT-3K,20110201,64.00,64.00,64.00,64.00,null
BAT-3K,20110301,61.50,61.50,61.50,61.50,null
BAT-3K,20110401,63.75,63.75,63.75,63.75,null
BAT-3K,20110501,87.00,87.00,87.00,87.00,null
BAT-3K,20110601,82.00,82.00,82.00,82.00,null
BAT-3K,20110701,87.00,87.00,87.00,87.00,null
BAT-3K,20110801,91.00,91.00,91.00,91.00,null
BAT-3K,20110901,81.00,81.00,81.00,81.00,null
BAT-3K,20111001,83.75,83.75,83.75,83.75,null
BAT-3K,20111101,79.50,79.50,79.50,79.50,null
BAT-3K,20111201,77.75,77.75,77.75,77.75,null
BAT-3K,20120101,81.50,81.50,81.50,81.50,null
BAT-3K,20120201,82.25,82.25,82.25,82.25,null
BAT-3K,20120301,79.75,79.75,79.75,79.75,null
BAT-3K,20120401,85.25,85.25,85.25,85.25,null
BAT-3K,20120501,74.75,74.75,74.75,74.75,null
BAT-3K,20120601,74.00,74.00,74.00,74.00,null
BAT-3K,20120701,74.00,74.00,74.00,74.00,null
BAT-3K,20120801,71.50,71.50,71.50,71.50,null
BAT-3K,20120901,71.00,71.00,71.00,71.00,null
BAT-3K,20121001,72.75,72.75,72.75,72.75,null
BAT-3K,20121101,64.75,64.75,64.75,64.75,null
BAT-3K,20121201,64.75,64.75,64.75,64.75,null
BAT-3K,20130101,72.50,72.50,72.50,72.50,null
BAT-3K,20130201,72.00,72.00,72.00,72.00,null
