<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BBL-JittaScore,20061201,3.45,3.45,3.45,3.45,null
BBL-JittaScore,20070101,5.20,5.20,5.20,5.20,null
BBL-JittaScore,20070201,5.20,5.20,5.20,5.20,null
BBL-JittaScore,20070301,5.20,5.20,5.20,5.20,null
BBL-JittaScore,20070401,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20070501,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20070601,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20070701,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20070801,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20070901,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20071001,4.15,4.15,4.15,4.15,null
BBL-JittaScore,20071101,4.15,4.15,4.15,4.15,null
BBL-JittaScore,20071201,4.15,4.15,4.15,4.15,null
BBL-JittaScore,20080101,5.20,5.20,5.20,5.20,null
BBL-JittaScore,20080201,5.20,5.20,5.20,5.20,null
BBL-JittaScore,20080301,5.20,5.20,5.20,5.20,null
BBL-JittaScore,20080401,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20080501,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20080601,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20080701,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20080801,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20080901,4.90,4.90,4.90,4.90,null
BBL-JittaScore,20081001,4.50,4.50,4.50,4.50,null
BBL-JittaScore,20081101,4.50,4.50,4.50,4.50,null
BBL-JittaScore,20081201,4.50,4.50,4.50,4.50,null
BBL-JittaScore,20090101,5.00,5.00,5.00,5.00,null
BBL-JittaScore,20090201,5.00,5.00,5.00,5.00,null
BBL-JittaScore,20090301,5.00,5.00,5.00,5.00,null
BBL-JittaScore,20090401,4.70,4.70,4.70,4.70,null
BBL-JittaScore,20090501,4.70,4.70,4.70,4.70,null
BBL-JittaScore,20090601,4.70,4.70,4.70,4.70,null
BBL-JittaScore,20090701,5.00,5.00,5.00,5.00,null
BBL-JittaScore,20090801,5.00,5.00,5.00,5.00,null
BBL-JittaScore,20090901,5.00,5.00,5.00,5.00,null
BBL-JittaScore,20091001,4.60,4.60,4.60,4.60,null
BBL-JittaScore,20091101,4.60,4.60,4.60,4.60,null
BBL-JittaScore,20091201,4.60,4.60,4.60,4.60,null
BBL-JittaScore,20100101,6.65,6.65,6.65,6.65,null
BBL-JittaScore,20100201,6.65,6.65,6.65,6.65,null
BBL-JittaScore,20100301,6.65,6.65,6.65,6.65,null
BBL-JittaScore,20100401,6.75,6.75,6.75,6.75,null
BBL-JittaScore,20100501,6.75,6.75,6.75,6.75,null
BBL-JittaScore,20100601,6.75,6.75,6.75,6.75,null
BBL-JittaScore,20100701,6.78,6.78,6.78,6.78,null
BBL-JittaScore,20100801,6.78,6.78,6.78,6.78,null
BBL-JittaScore,20100901,6.78,6.78,6.78,6.78,null
BBL-JittaScore,20101001,7.45,7.45,7.45,7.45,null
BBL-JittaScore,20101101,7.45,7.45,7.45,7.45,null
BBL-JittaScore,20101201,7.45,7.45,7.45,7.45,null
BBL-JittaScore,20110101,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110201,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110301,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110401,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110501,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110601,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110701,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110801,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20110901,6.90,6.90,6.90,6.90,null
BBL-JittaScore,20111001,7.65,7.65,7.65,7.65,null
BBL-JittaScore,20111101,7.65,7.65,7.65,7.65,null
BBL-JittaScore,20111201,7.65,7.65,7.65,7.65,null
BBL-JittaScore,20120101,7.65,7.65,7.65,7.65,null
BBL-JittaScore,20120201,7.65,7.65,7.65,7.65,null
BBL-JittaScore,20120301,7.65,7.65,7.65,7.65,null
BBL-JittaScore,20120401,7.78,7.78,7.78,7.78,null
BBL-JittaScore,20120501,7.78,7.78,7.78,7.78,null
BBL-JittaScore,20120601,7.78,7.78,7.78,7.78,null
BBL-JittaScore,20120701,7.75,7.75,7.75,7.75,null
BBL-JittaScore,20120801,7.75,7.75,7.75,7.75,null
BBL-JittaScore,20120901,7.75,7.75,7.75,7.75,null
BBL-JittaScore,20121001,7.50,7.50,7.50,7.50,null
BBL-JittaScore,20121101,7.50,7.50,7.50,7.50,null
BBL-JittaScore,20121201,7.50,7.50,7.50,7.50,null
BBL-JittaScore,20130101,7.95,7.95,7.95,7.95,null
BBL-JittaScore,20130201,7.95,7.95,7.95,7.95,null
BBL-JittaScore,20130301,7.95,7.95,7.95,7.95,null
BBL-JittaScore,20130401,7.90,7.90,7.90,7.90,null
BBL-JittaScore,20130501,7.90,7.90,7.90,7.90,null
BBL-JittaScore,20130601,7.90,7.90,7.90,7.90,null
BBL-JittaScore,20130701,7.95,7.95,7.95,7.95,null
BBL-JittaScore,20130801,7.95,7.95,7.95,7.95,null
BBL-JittaScore,20130901,7.95,7.95,7.95,7.95,null
BBL-JittaScore,20131001,7.55,7.55,7.55,7.55,null
BBL-JittaScore,20131101,7.55,7.55,7.55,7.55,null
BBL-JittaScore,20131201,7.55,7.55,7.55,7.55,null
BBL-JittaScore,20140101,7.70,7.70,7.70,7.70,null
BBL-JittaScore,20140201,7.70,7.70,7.70,7.70,null
BBL-JittaScore,20140301,7.70,7.70,7.70,7.70,null
BBL-JittaScore,20140401,7.40,7.40,7.40,7.40,null
BBL-JittaScore,20140501,7.40,7.40,7.40,7.40,null
