<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BGT,20071201,0.83555566,0.83555566,0.83555566,0.83555566,null
BGT,20080101,0.70222231,0.70222231,0.70222231,0.70222231,null
BGT,20080201,0.78666677,0.78666677,0.78666677,0.78666677,null
BGT,20080301,0.92000012,0.92000012,0.92000012,0.92000012,null
BGT,20080401,1.1555557,1.1555557,1.1555557,1.1555557,null
BGT,20080501,1.05777791,1.05777791,1.05777791,1.05777791,null
BGT,20080601,1.07111125,1.07111125,1.07111125,1.07111125,null
BGT,20080701,1.07555569,1.07555569,1.07555569,1.07555569,null
BGT,20080801,1.05777791,1.05777791,1.05777791,1.05777791,null
BGT,20080901,0.95555568,0.95555568,0.95555568,0.95555568,null
BGT,20081001,0.81333344,0.81333344,0.81333344,0.81333344,null
BGT,20081101,0.98222235,0.98222235,0.98222235,0.98222235,null
BGT,20081201,0.92444456,0.92444456,0.92444456,0.92444456,null
BGT,20090101,0.83111122,0.83111122,0.83111122,0.83111122,null
BGT,20090201,0.78222232,0.78222232,0.78222232,0.78222232,null
BGT,20090301,0.82222233,0.82222233,0.82222233,0.82222233,null
BGT,20090401,0.86666678,0.86666678,0.86666678,0.86666678,null
BGT,20090501,0.89777789,0.89777789,0.89777789,0.89777789,null
BGT,20090601,0.75555565,0.75555565,0.75555565,0.75555565,null
BGT,20090701,0.74666676,0.74666676,0.74666676,0.74666676,null
BGT,20090801,0.79555566,0.79555566,0.79555566,0.79555566,null
BGT,20090901,0.81777788,0.81777788,0.81777788,0.81777788,null
BGT,20091001,0.78222232,0.78222232,0.78222232,0.78222232,null
BGT,20091101,0.8000001,0.8000001,0.8000001,0.8000001,null
BGT,20091201,0.88000011,0.88000011,0.88000011,0.88000011,null
BGT,20100101,0.90666678,0.90666678,0.90666678,0.90666678,null
BGT,20100201,0.87555567,0.87555567,0.87555567,0.87555567,null
BGT,20100301,1.11111125,1.11111125,1.11111125,1.11111125,null
BGT,20100401,1.20888904,1.20888904,1.20888904,1.20888904,null
BGT,20100501,1.18222237,1.18222237,1.18222237,1.18222237,null
BGT,20100601,1.20000015,1.20000015,1.20000015,1.20000015,null
BGT,20100701,1.28888905,1.28888905,1.28888905,1.28888905,null
BGT,20100801,1.45777796,1.45777796,1.45777796,1.45777796,null
BGT,20100901,1.56444464,1.56444464,1.56444464,1.56444464,null
BGT,20101001,1.57333353,1.57333353,1.57333353,1.57333353,null
BGT,20101101,1.54666686,1.54666686,1.54666686,1.54666686,null
BGT,20101201,1.54666686,1.54666686,1.54666686,1.54666686,null
BGT,20110101,1.5111113,1.5111113,1.5111113,1.5111113,null
BGT,20110201,1.47555574,1.47555574,1.47555574,1.47555574,null
BGT,20110301,1.46666685,1.46666685,1.46666685,1.46666685,null
BGT,20110401,1.53777797,1.53777797,1.53777797,1.53777797,null
BGT,20110501,1.5111113,1.5111113,1.5111113,1.5111113,null
BGT,20110601,1.50222241,1.50222241,1.50222241,1.50222241,null
BGT,20110701,1.64444465,1.64444465,1.64444465,1.64444465,null
BGT,20110801,1.93777802,1.93777802,1.93777802,1.93777802,null
BGT,20110901,1.68000021,1.68000021,1.68000021,1.68000021,null
BGT,20111001,1.59111131,1.59111131,1.59111131,1.59111131,null
BGT,20111101,1.68000021,1.68000021,1.68000021,1.68000021,null
BGT,20111201,1.65333354,1.65333354,1.65333354,1.65333354,null
BGT,20120101,1.69777799,1.69777799,1.69777799,1.69777799,null
BGT,20120201,1.66222243,1.66222243,1.66222243,1.66222243,null
BGT,20120301,1.79555578,1.79555578,1.79555578,1.79555578,null
BGT,20120401,1.89,1.89,1.89,1.89,null
BGT,20120501,1.58,1.58,1.58,1.58,null
BGT,20120601,1.59,1.59,1.59,1.59,null
BGT,20120701,1.73,1.73,1.73,1.73,null
BGT,20120801,1.64,1.64,1.64,1.64,null
BGT,20120901,1.72,1.72,1.72,1.72,null
BGT,20121001,1.70,1.70,1.70,1.70,null
BGT,20121101,1.49,1.49,1.49,1.49,null
BGT,20121201,1.23,1.23,1.23,1.23,null
BGT,20130101,1.34,1.34,1.34,1.34,null
BGT,20130201,1.27,1.27,1.27,1.27,null
BGT,20130301,1.30,1.30,1.30,1.30,null
BGT,20130401,1.59,1.59,1.59,1.59,null
