<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BKI-JittaLine,20061201,77.9648,77.9648,77.9648,77.9648,null
BKI-JittaLine,20070101,80.7774,80.7774,80.7774,80.7774,null
BKI-JittaLine,20070201,83.59,83.59,83.59,83.59,null
BKI-JittaLine,20070301,86.4026,86.4026,86.4026,86.4026,null
BKI-JittaLine,20070401,89.2152,89.2152,89.2152,89.2152,null
BKI-JittaLine,20070501,92.0278,92.0278,92.0278,92.0278,null
BKI-JittaLine,20070601,94.8404,94.8404,94.8404,94.8404,null
BKI-JittaLine,20070701,97.653,97.653,97.653,97.653,null
BKI-JittaLine,20070801,100.4656,100.4656,100.4656,100.4656,null
BKI-JittaLine,20070901,103.2782,103.2782,103.2782,103.2782,null
BKI-JittaLine,20071001,106.0908,106.0908,106.0908,106.0908,null
BKI-JittaLine,20071101,108.9034,108.9034,108.9034,108.9034,null
BKI-JittaLine,20071201,111.716,111.716,111.716,111.716,null
BKI-JittaLine,20080101,113.9862,113.9862,113.9862,113.9862,null
BKI-JittaLine,20080201,116.2565,116.2565,116.2565,116.2565,null
BKI-JittaLine,20080301,118.5268,118.5268,118.5268,118.5268,null
BKI-JittaLine,20080401,120.797,120.797,120.797,120.797,null
BKI-JittaLine,20080501,123.0673,123.0673,123.0673,123.0673,null
BKI-JittaLine,20080601,125.3375,125.3375,125.3375,125.3375,null
BKI-JittaLine,20080701,127.6078,127.6078,127.6078,127.6078,null
BKI-JittaLine,20080801,129.878,129.878,129.878,129.878,null
BKI-JittaLine,20080901,132.1483,132.1483,132.1483,132.1483,null
BKI-JittaLine,20081001,134.4186,134.4186,134.4186,134.4186,null
BKI-JittaLine,20081101,136.6888,136.6888,136.6888,136.6888,null
BKI-JittaLine,20081201,138.9591,138.9591,138.9591,138.9591,null
BKI-JittaLine,20090101,139.7278,139.7278,139.7278,139.7278,null
BKI-JittaLine,20090201,140.4965,140.4965,140.4965,140.4965,null
BKI-JittaLine,20090301,141.2652,141.2652,141.2652,141.2652,null
BKI-JittaLine,20090401,142.0339,142.0339,142.0339,142.0339,null
BKI-JittaLine,20090501,142.8026,142.8026,142.8026,142.8026,null
BKI-JittaLine,20090601,143.5713,143.5713,143.5713,143.5713,null
BKI-JittaLine,20090701,144.34,144.34,144.34,144.34,null
BKI-JittaLine,20090801,145.1086,145.1086,145.1086,145.1086,null
BKI-JittaLine,20090901,145.8773,145.8773,145.8773,145.8773,null
BKI-JittaLine,20091001,146.646,146.646,146.646,146.646,null
BKI-JittaLine,20091101,147.4147,147.4147,147.4147,147.4147,null
BKI-JittaLine,20091201,148.1834,148.1834,148.1834,148.1834,null
BKI-JittaLine,20100101,152.0394,152.0394,152.0394,152.0394,null
BKI-JittaLine,20100201,155.8953,155.8953,155.8953,155.8953,null
BKI-JittaLine,20100301,159.7513,159.7513,159.7513,159.7513,null
BKI-JittaLine,20100401,163.6072,163.6072,163.6072,163.6072,null
BKI-JittaLine,20100501,167.4631,167.4631,167.4631,167.4631,null
BKI-JittaLine,20100601,171.3191,171.3191,171.3191,171.3191,null
BKI-JittaLine,20100701,175.175,175.175,175.175,175.175,null
BKI-JittaLine,20100801,179.031,179.031,179.031,179.031,null
BKI-JittaLine,20100901,182.8869,182.8869,182.8869,182.8869,null
BKI-JittaLine,20101001,186.7429,186.7429,186.7429,186.7429,null
BKI-JittaLine,20101101,190.5988,190.5988,190.5988,190.5988,null
BKI-JittaLine,20101201,194.4547,194.4547,194.4547,194.4547,null
BKI-JittaLine,20110101,178.9343,178.9343,178.9343,178.9343,null
BKI-JittaLine,20110201,163.4138,163.4138,163.4138,163.4138,null
BKI-JittaLine,20110301,147.8933,147.8933,147.8933,147.8933,null
BKI-JittaLine,20110401,132.3729,132.3729,132.3729,132.3729,null
BKI-JittaLine,20110501,116.8524,116.8524,116.8524,116.8524,null
BKI-JittaLine,20110601,101.3319,101.3319,101.3319,101.3319,null
BKI-JittaLine,20110701,85.8115,85.8115,85.8115,85.8115,null
BKI-JittaLine,20110801,70.291,70.291,70.291,70.291,null
BKI-JittaLine,20110901,54.7706,54.7706,54.7706,54.7706,null
BKI-JittaLine,20111001,39.2501,39.2501,39.2501,39.2501,null
BKI-JittaLine,20111101,23.7296,23.7296,23.7296,23.7296,null
BKI-JittaLine,20111201,8.2092,8.2092,8.2092,8.2092,null
BKI-JittaLine,20120101,11.6824,11.6824,11.6824,11.6824,null
