<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTNC-JittaScore,20061201,0.88,0.88,0.88,0.88,null
BTNC-JittaScore,20070101,0.88,0.88,0.88,0.88,null
BTNC-JittaScore,20070201,0.88,0.88,0.88,0.88,null
BTNC-JittaScore,20070301,0.88,0.88,0.88,0.88,null
BTNC-JittaScore,20070401,0.30,0.30,0.30,0.30,null
BTNC-JittaScore,20070501,0.30,0.30,0.30,0.30,null
BTNC-JittaScore,20070601,0.30,0.30,0.30,0.30,null
BTNC-JittaScore,20070701,0.30,0.30,0.30,0.30,null
BTNC-JittaScore,20070801,0.30,0.30,0.30,0.30,null
BTNC-JittaScore,20070901,0.30,0.30,0.30,0.30,null
BTNC-JittaScore,20071001,1.35,1.35,1.35,1.35,null
BTNC-JittaScore,20071101,1.35,1.35,1.35,1.35,null
BTNC-JittaScore,20071201,1.35,1.35,1.35,1.35,null
BTNC-JittaScore,20080101,1.35,1.35,1.35,1.35,null
BTNC-JittaScore,20080201,1.35,1.35,1.35,1.35,null
BTNC-JittaScore,20080301,1.35,1.35,1.35,1.35,null
BTNC-JittaScore,20080401,1.82,1.82,1.82,1.82,null
BTNC-JittaScore,20080501,1.82,1.82,1.82,1.82,null
BTNC-JittaScore,20080601,1.82,1.82,1.82,1.82,null
BTNC-JittaScore,20080701,1.82,1.82,1.82,1.82,null
BTNC-JittaScore,20080801,1.82,1.82,1.82,1.82,null
BTNC-JittaScore,20080901,1.82,1.82,1.82,1.82,null
BTNC-JittaScore,20081001,2.52,2.52,2.52,2.52,null
BTNC-JittaScore,20081101,2.52,2.52,2.52,2.52,null
BTNC-JittaScore,20081201,2.52,2.52,2.52,2.52,null
BTNC-JittaScore,20090101,2.52,2.52,2.52,2.52,null
BTNC-JittaScore,20090201,2.52,2.52,2.52,2.52,null
BTNC-JittaScore,20090301,2.52,2.52,2.52,2.52,null
BTNC-JittaScore,20090401,0.23,0.23,0.23,0.23,null
BTNC-JittaScore,20090501,0.23,0.23,0.23,0.23,null
BTNC-JittaScore,20090601,0.23,0.23,0.23,0.23,null
BTNC-JittaScore,20090701,0.01,0.01,0.01,0.01,null
BTNC-JittaScore,20090801,0.01,0.01,0.01,0.01,null
BTNC-JittaScore,20090901,0.01,0.01,0.01,0.01,null
BTNC-JittaScore,20091001,0.72,0.72,0.72,0.72,null
BTNC-JittaScore,20091101,0.72,0.72,0.72,0.72,null
BTNC-JittaScore,20091201,0.72,0.72,0.72,0.72,null
BTNC-JittaScore,20100101,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100201,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100301,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100401,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100501,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100601,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100701,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100801,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20100901,1.73,1.73,1.73,1.73,null
BTNC-JittaScore,20101001,3.02,3.02,3.02,3.02,null
BTNC-JittaScore,20101101,3.02,3.02,3.02,3.02,null
BTNC-JittaScore,20101201,3.02,3.02,3.02,3.02,null
BTNC-JittaScore,20110101,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110201,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110301,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110401,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110501,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110601,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110701,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110801,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20110901,3.77,3.77,3.77,3.77,null
BTNC-JittaScore,20111001,1.63,1.63,1.63,1.63,null
BTNC-JittaScore,20111101,1.63,1.63,1.63,1.63,null
BTNC-JittaScore,20111201,1.63,1.63,1.63,1.63,null
BTNC-JittaScore,20120101,4.47,4.47,4.47,4.47,null
BTNC-JittaScore,20120201,4.47,4.47,4.47,4.47,null
BTNC-JittaScore,20120301,4.47,4.47,4.47,4.47,null
BTNC-JittaScore,20120401,4.47,4.47,4.47,4.47,null
BTNC-JittaScore,20120501,4.47,4.47,4.47,4.47,null
BTNC-JittaScore,20120601,4.47,4.47,4.47,4.47,null
BTNC-JittaScore,20120701,4.30,4.30,4.30,4.30,null
BTNC-JittaScore,20120801,4.30,4.30,4.30,4.30,null
BTNC-JittaScore,20120901,4.30,4.30,4.30,4.30,null
BTNC-JittaScore,20121001,1.77,1.77,1.77,1.77,null
BTNC-JittaScore,20121101,1.77,1.77,1.77,1.77,null
BTNC-JittaScore,20121201,1.77,1.77,1.77,1.77,null
BTNC-JittaScore,20130101,3.67,3.67,3.67,3.67,null
BTNC-JittaScore,20130201,3.67,3.67,3.67,3.67,null
BTNC-JittaScore,20130301,3.67,3.67,3.67,3.67,null
BTNC-JittaScore,20130401,3.67,3.67,3.67,3.67,null
BTNC-JittaScore,20130501,3.67,3.67,3.67,3.67,null
BTNC-JittaScore,20130601,3.67,3.67,3.67,3.67,null
BTNC-JittaScore,20130701,3.83,3.83,3.83,3.83,null
BTNC-JittaScore,20130801,3.83,3.83,3.83,3.83,null
BTNC-JittaScore,20130901,3.83,3.83,3.83,3.83,null
BTNC-JittaScore,20131001,3.73,3.73,3.73,3.73,null
BTNC-JittaScore,20131101,3.73,3.73,3.73,3.73,null
BTNC-JittaScore,20131201,3.73,3.73,3.73,3.73,null
BTNC-JittaScore,20140101,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20140201,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20140301,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20140401,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20140501,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20140601,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20140701,2.75,2.75,2.75,2.75,null
BTNC-JittaScore,20140801,2.75,2.75,2.75,2.75,null
BTNC-JittaScore,20140901,2.75,2.75,2.75,2.75,null
BTNC-JittaScore,20141001,2.83,2.83,2.83,2.83,null
BTNC-JittaScore,20141101,2.83,2.83,2.83,2.83,null
BTNC-JittaScore,20141201,2.83,2.83,2.83,2.83,null
BTNC-JittaScore,20150101,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20150201,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20150301,2.67,2.67,2.67,2.67,null
BTNC-JittaScore,20150401,2.38,2.38,2.38,2.38,null
BTNC-JittaScore,20150501,2.38,2.38,2.38,2.38,null
BTNC-JittaScore,20150601,2.38,2.38,2.38,2.38,null
BTNC-JittaScore,20150701,2.13,2.13,2.13,2.13,null
BTNC-JittaScore,20150801,2.13,2.13,2.13,2.13,null
BTNC-JittaScore,20150901,2.13,2.13,2.13,2.13,null
BTNC-JittaScore,20151001,1.43,1.43,1.43,1.43,null
BTNC-JittaScore,20151101,1.43,1.43,1.43,1.43,null
BTNC-JittaScore,20151201,1.43,1.43,1.43,1.43,null
BTNC-JittaScore,20160101,1.93,1.93,1.93,1.93,null
BTNC-JittaScore,20160201,1.93,1.93,1.93,1.93,null
BTNC-JittaScore,20160301,1.93,1.93,1.93,1.93,null
BTNC-JittaScore,20160401,1.38,1.38,1.38,1.38,null
BTNC-JittaScore,20160501,1.38,1.38,1.38,1.38,null
BTNC-JittaScore,20160601,1.38,1.38,1.38,1.38,null
