<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTS-JittaLine,20121001,0.0068,0.0068,0.0068,0.0068,null
BTS-JittaLine,20121101,0.0268,0.0268,0.0268,0.0268,null
BTS-JittaLine,20121201,0.0468,0.0468,0.0468,0.0468,null
BTS-JittaLine,20130101,0.0668,0.0668,0.0668,0.0668,null
BTS-JittaLine,20130201,0.0868,0.0868,0.0868,0.0868,null
BTS-JittaLine,20130301,0.1068,0.1068,0.1068,0.1068,null
BTS-JittaLine,20130401,1.016,1.016,1.016,1.016,null
BTS-JittaLine,20130501,1.9252,1.9252,1.9252,1.9252,null
BTS-JittaLine,20130601,2.8344,2.8344,2.8344,2.8344,null
BTS-JittaLine,20130701,3.7437,3.7437,3.7437,3.7437,null
BTS-JittaLine,20130801,4.6529,4.6529,4.6529,4.6529,null
BTS-JittaLine,20130901,5.5621,5.5621,5.5621,5.5621,null
BTS-JittaLine,20131001,6.4713,6.4713,6.4713,6.4713,null
BTS-JittaLine,20131101,7.3805,7.3805,7.3805,7.3805,null
BTS-JittaLine,20131201,8.2897,8.2897,8.2897,8.2897,null
BTS-JittaLine,20140101,9.1989,9.1989,9.1989,9.1989,null
BTS-JittaLine,20140201,10.1081,10.1081,10.1081,10.1081,null
BTS-JittaLine,20140301,11.0173,11.0173,11.0173,11.0173,null
BTS-JittaLine,20140401,10.3372,10.3372,10.3372,10.3372,null
BTS-JittaLine,20140501,9.6571,9.6571,9.6571,9.6571,null
BTS-JittaLine,20140601,8.977,8.977,8.977,8.977,null
BTS-JittaLine,20140701,8.2969,8.2969,8.2969,8.2969,null
BTS-JittaLine,20140801,7.6167,7.6167,7.6167,7.6167,null
BTS-JittaLine,20140901,6.9366,6.9366,6.9366,6.9366,null
BTS-JittaLine,20141001,6.2565,6.2565,6.2565,6.2565,null
BTS-JittaLine,20141101,5.5764,5.5764,5.5764,5.5764,null
BTS-JittaLine,20141201,4.8963,4.8963,4.8963,4.8963,null
BTS-JittaLine,20150101,4.2161,4.2161,4.2161,4.2161,null
BTS-JittaLine,20150201,3.536,3.536,3.536,3.536,null
BTS-JittaLine,20150301,2.8559,2.8559,2.8559,2.8559,null
BTS-JittaLine,20150401,2.9273,2.9273,2.9273,2.9273,null
BTS-JittaLine,20150501,2.9987,2.9987,2.9987,2.9987,null
BTS-JittaLine,20150601,3.0701,3.0701,3.0701,3.0701,null
BTS-JittaLine,20150701,3.1415,3.1415,3.1415,3.1415,null
BTS-JittaLine,20150801,3.2129,3.2129,3.2129,3.2129,null
BTS-JittaLine,20150901,3.2843,3.2843,3.2843,3.2843,null
BTS-JittaLine,20151001,3.3557,3.3557,3.3557,3.3557,null
BTS-JittaLine,20151101,3.4271,3.4271,3.4271,3.4271,null
BTS-JittaLine,20151201,3.4985,3.4985,3.4985,3.4985,null
BTS-JittaLine,20160101,3.5699,3.5699,3.5699,3.5699,null
BTS-JittaLine,20160201,3.6413,3.6413,3.6413,3.6413,null
BTS-JittaLine,20160301,3.7127,3.7127,3.7127,3.7127,null
