<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTS,20110101,4.5625,4.5625,4.5625,4.5625,89353714.4
BTS,20110201,4.4375,4.4375,4.4375,4.4375,27881189.0526316
BTS,20110301,4.6875,4.6875,4.6875,4.6875,44419335.6521739
BTS,20110401,4.75,4.75,4.75,4.75,34001709.1764706
BTS,20110501,4.625,4.625,4.625,4.625,27119568
BTS,20110601,4.25,4.25,4.25,4.25,22517182.5454545
BTS,20110701,4.5625,4.5625,4.5625,4.5625,29642715.7894737
BTS,20110801,4.125,4.125,4.125,4.125,36275354.9090909
BTS,20110901,3.6875,3.6875,3.6875,3.6875,23928909.0909091
BTS,20111001,3.6875,3.6875,3.6875,3.6875,24842658.4
BTS,20111101,4.1875,4.1875,4.1875,4.1875,17127446.5454545
BTS,20111201,4.375,4.375,4.375,4.375,23564679.2
BTS,20120101,4.3125,4.3125,4.3125,4.3125,15199097.6
BTS,20120201,4.625,4.625,4.625,4.625,28491488
BTS,20120301,4.875,4.875,4.875,4.875,31295310.4761905
BTS,20120401,5.25,5.25,5.25,5.25,37193874.8235294
BTS,20120501,4.8125,4.8125,4.8125,4.8125,48359162.6666667
BTS,20120601,4.875,4.875,4.875,4.875,29777937.6
BTS,20120701,5.00,5.00,5.00,5.00,12616567.2727273
BTS,20120801,5.60,5.60,5.60,5.60,64013183.2380952
BTS,20120901,5.65,5.65,5.65,5.65,104324045
BTS,20121001,5.80,5.80,5.80,5.80,111761145.454545
BTS,20121101,6.40,6.40,6.40,6.40,169010145.454545
BTS,20121201,7.15,7.15,7.15,7.15,113596088.888889
BTS,20130101,7.80,7.80,7.80,7.80,171861581.818182
BTS,20130201,8.20,8.20,8.20,8.20,119368421.052632
BTS,20130301,9.40,9.40,9.40,9.40,188565004.761905
BTS,20130401,9.05,9.05,9.05,9.05,117338884.210526
BTS,20130501,8.15,8.15,8.15,8.15,85942260
BTS,20130601,7.65,7.65,7.65,7.65,81612280
BTS,20130701,7.95,7.95,7.95,7.95,62901647.6190476
BTS,20130801,7.65,7.65,7.65,7.65,77220066.6666667
BTS,20130901,8.75,8.75,8.75,8.75,64291200
BTS,20131001,8.80,8.80,8.80,8.80,61128663.6363636
BTS,20131101,9.35,9.35,9.35,9.35,108796019.047619
BTS,20131201,8.70,8.70,8.70,8.70,46404005.5555556
BTS,20140101,8.05,8.05,8.05,8.05,51239740.9090909
BTS,20140201,8.35,8.35,8.35,8.35,45579763.1578947
BTS,20140301,8.40,8.40,8.40,8.40,64830342.8571429
BTS,20140401,8.35,8.35,8.35,8.35,33521905.2631579
BTS,20140501,8.45,8.45,8.45,8.45,61935594.7368421
BTS,20140601,8.65,8.65,8.65,8.65,59334714.2857143
BTS,20140701,8.55,8.55,8.55,8.55,29350914.2857143
BTS,20140801,9.65,9.65,9.65,9.65,92576052.631579
BTS,20140901,10.00,10.00,10.00,10.00,52934245.4545455
BTS,20141001,10.30,10.30,10.30,10.30,49372236.3636364
BTS,20141101,10.00,10.00,10.00,10.00,39705835
BTS,20141201,9.65,9.65,9.65,9.65,48147460
BTS,20150101,9.85,9.85,9.85,9.85,35633285
BTS,20150201,9.60,9.60,9.60,9.60,41309620
BTS,20150301,9.15,9.15,9.15,9.15,30041757.1428571
BTS,20150401,9.25,9.25,9.25,9.25,21883133.3333333
BTS,20150501,9.60,9.60,9.60,9.60,40420177.7777778
BTS,20150601,10.00,10.00,10.00,10.00,45439766.6666667
BTS,20150701,9.85,9.85,9.85,9.85,41190452.3809524
BTS,20150801,9.75,9.75,9.75,9.75,30580335
BTS,20150901,9.75,9.75,9.75,9.75,21481154.5454545
BTS,20151001,9.65,9.65,9.65,9.65,20047390.4761905
BTS,20151101,9.55,9.55,9.55,9.55,21768295.2380952
BTS,20151201,9.10,9.10,9.10,9.10,23904175
BTS,20160101,8.15,8.15,8.15,8.15,null
BTS,20160201,8.30,8.30,8.30,8.30,null
BTS,20160301,8.95,8.95,8.95,8.95,null
BTS,20160401,9.20,9.20,9.20,9.20,null
BTS,20160501,9.00,9.00,9.00,9.00,null
