<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CBG,20141101,34.75,34.75,34.75,34.75,null
CBG,20141201,33.50,33.50,33.50,33.50,null
CBG,20150101,34.50,34.50,34.50,34.50,null
CBG,20150201,34.75,34.75,34.75,34.75,null
CBG,20150301,38.00,38.00,38.00,38.00,null
CBG,20150401,41.25,41.25,41.25,41.25,null
CBG,20150501,42.00,42.00,42.00,42.00,null
CBG,20150601,43.50,43.50,43.50,43.50,null
CBG,20150701,37.00,37.00,37.00,37.00,null
CBG,20150801,38.50,38.50,38.50,38.50,null
CBG,20150901,38.75,38.75,38.75,38.75,null
CBG,20151001,39.00,39.00,39.00,39.00,null
CBG,20151101,35.75,35.75,35.75,35.75,null
CBG,20151201,34.50,34.50,34.50,34.50,null
CBG,20160101,36.75,36.75,36.75,36.75,null
CBG,20160201,37.00,37.00,37.00,37.00,null
CBG,20160301,40.25,40.25,40.25,40.25,null
CBG,20160401,40.00,40.00,40.00,40.00,null
CBG,20160501,41.00,41.00,41.00,41.00,null
