<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CCET,20061201,4.06521655,4.06521655,4.06521655,4.06521655,2944105.11038292
CCET,20070101,4.02842726,4.02842726,4.02842726,4.02842726,2774259.77849196
CCET,20070201,4.34113622,4.34113622,4.34113622,4.34113622,4141449.85841015
CCET,20070301,4.23076835,4.23076835,4.23076835,4.23076835,2094284.45140434
CCET,20070401,4.13879513,4.13879513,4.13879513,4.13879513,2112758.59953368
CCET,20070501,4.82859432,4.82859432,4.82859432,4.82859432,6007851.73617369
CCET,20070601,5.88628641,5.88628641,5.88628641,5.88628641,10598964.551856
CCET,20070701,6.25417931,6.25417931,6.25417931,6.25417931,10972484.2310081
CCET,20070801,6.20819269,6.20819269,6.20819269,6.20819269,7336927.76867987
CCET,20070901,6.57608559,6.57608559,6.57608559,6.57608559,4229209.09478208
CCET,20071001,6.66805882,6.66805882,6.66805882,6.66805882,6772771.48645634
CCET,20071101,6.39213914,6.39213914,6.39213914,6.39213914,3768433.69018493
CCET,20071201,6.43812576,6.43812576,6.43812576,6.43812576,3987714.25970001
CCET,20080101,5.51839351,5.51839351,5.51839351,5.51839351,3476283.44781193
CCET,20080201,5.51839351,5.51839351,5.51839351,5.51839351,2818293.03870111
CCET,20080301,4.82859432,4.82859432,4.82859432,4.82859432,2030000.73245237
CCET,20080401,5.38043367,5.38043367,5.38043367,5.38043367,2430901.97754421
CCET,20080501,4.96655415,4.96655415,4.96655415,4.96655415,2859825.43486946
CCET,20080601,4.59866125,4.59866125,4.59866125,4.59866125,4232474.02013413
CCET,20080701,4.26755764,4.26755764,4.26755764,4.26755764,1337708.15605847
CCET,20080801,4.19397906,4.19397906,4.19397906,4.19397906,1950274.1133298
CCET,20080901,2.99832714,2.99832714,2.99832714,2.99832714,4195321.76213832
CCET,20081001,1.68311002,1.68311002,1.68311002,1.68311002,3009200.87165955
CCET,20081101,1.41638767,1.41638767,1.41638767,1.41638767,3344707.11144882
CCET,20081201,1.53595286,1.53595286,1.53595286,1.53595286,2153719.19186208
CCET,20090101,1.42558499,1.42558499,1.42558499,1.42558499,2503679.73712667
CCET,20090201,1.12207335,1.12207335,1.12207335,1.12207335,1780415.18242887
CCET,20090301,1.1864546,1.1864546,1.1864546,1.1864546,7093309.43719267
CCET,20090401,2.00501631,2.00501631,2.00501631,2.00501631,11872017.9354946
CCET,20090501,2.26254134,2.26254134,2.26254134,2.26254134,13188759.844783
CCET,20090601,2.00501631,2.00501631,2.00501631,2.00501631,7807440.19678284
CCET,20090701,2.72240746,2.72240746,2.72240746,2.72240746,12498550.517883
CCET,20090801,3.1454843,3.1454843,3.1454843,3.1454843,21500806.3292609
