<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CENTEL,20061201,6.65,6.65,6.65,6.65,253368.42105263
CENTEL,20070101,6.00,6.00,6.00,6.00,591066.66666667
CENTEL,20070201,6.15,6.15,6.15,6.15,282485
CENTEL,20070301,5.50,5.50,5.50,5.50,303390.47619048
CENTEL,20070401,5.10,5.10,5.10,5.10,588527.77777778
CENTEL,20070501,5.50,5.50,5.50,5.50,2298130
CENTEL,20070601,5.85,5.85,5.85,5.85,436361.90476191
CENTEL,20070701,6.05,6.05,6.05,6.05,744928.57142857
CENTEL,20070801,5.45,5.45,5.45,5.45,289072.72727273
CENTEL,20070901,5.70,5.70,5.70,5.70,159505
CENTEL,20071001,6.10,6.10,6.10,6.10,314463.63636364
CENTEL,20071101,5.50,5.50,5.50,5.50,117418.18181818
CENTEL,20071201,5.60,5.60,5.60,5.60,306541.17647059
CENTEL,20080101,5.55,5.55,5.55,5.55,186709.09090909
CENTEL,20080201,5.80,5.80,5.80,5.80,571980
CENTEL,20080301,5.75,5.75,5.75,5.75,180565
CENTEL,20080401,5.60,5.60,5.60,5.60,90050
CENTEL,20080501,5.70,5.70,5.70,5.70,236884.21052632
CENTEL,20080601,6.00,6.00,6.00,6.00,1185066.66666667
CENTEL,20080701,5.25,5.25,5.25,5.25,443838.0952381
CENTEL,20080801,4.82,4.82,4.82,4.82,907805
CENTEL,20080901,4.96,4.96,4.96,4.96,1204418.18181818
CENTEL,20081001,3.80,3.80,3.80,3.80,377586.36363636
CENTEL,20081101,3.20,3.20,3.20,3.20,700920
CENTEL,20081201,3.06,3.06,3.06,3.06,289155
CENTEL,20090101,3.10,3.10,3.10,3.10,400460
CENTEL,20090201,3.10,3.10,3.10,3.10,33627.77777778
CENTEL,20090301,3.08,3.08,3.08,3.08,40540.90909091
CENTEL,20090401,3.04,3.04,3.04,3.04,105883.33333333
CENTEL,20090501,2.90,2.90,2.90,2.90,1421161.11111111
CENTEL,20090601,3.08,3.08,3.08,3.08,9940300
CENTEL,20090701,3.10,3.10,3.10,3.10,807600
CENTEL,20090801,3.76,3.76,3.76,3.76,4809150
CENTEL,20090901,4.44,4.44,4.44,4.44,3398327.27272727
CENTEL,20091001,4.20,4.20,4.20,4.20,3039009.52380952
CENTEL,20091101,4.18,4.18,4.18,4.18,2208766.66666667
CENTEL,20091201,4.22,4.22,4.22,4.22,2247245
CENTEL,20100101,3.90,3.90,3.90,3.90,2449600
CENTEL,20100201,4.00,4.00,4.00,4.00,472825
CENTEL,20100301,4.12,4.12,4.12,4.12,3041327.27272727
CENTEL,20100401,3.84,3.84,3.84,3.84,3221288.88888889
CENTEL,20100501,3.82,3.82,3.82,3.82,3162793.75
CENTEL,20100601,3.96,3.96,3.96,3.96,1527163.63636364
CENTEL,20100701,5.20,5.20,5.20,5.20,3782705
CENTEL,20100801,5.70,5.70,5.70,5.70,3242400
CENTEL,20100901,5.50,5.50,5.50,5.50,3837772.72727273
CENTEL,20101001,5.05,5.05,5.05,5.05,3311805
CENTEL,20101101,4.62,4.62,4.62,4.62,1407150
CENTEL,20101201,4.96,4.96,4.96,4.96,3126190
CENTEL,20110101,4.62,4.62,4.62,4.62,3792510
CENTEL,20110201,4.62,4.62,4.62,4.62,3052821.05263158
CENTEL,20110301,5.20,5.20,5.20,5.20,3198847.82608696
CENTEL,20110401,6.05,6.05,6.05,6.05,3333347.05882353
CENTEL,20110501,8.10,8.10,8.10,8.10,4745888.88888889
CENTEL,20110601,8.35,8.35,8.35,8.35,2782781.81818182
CENTEL,20110701,10.30,10.30,10.30,10.30,5666552.63157895
CENTEL,20110801,10.70,10.70,10.70,10.70,7826159.09090909
CENTEL,20110901,8.05,8.05,8.05,8.05,4918845.45454545
CENTEL,20111001,8.20,8.20,8.20,8.20,2136035
CENTEL,20111101,9.90,9.90,9.90,9.90,2064850
CENTEL,20111201,10.00,10.00,10.00,10.00,1710240
CENTEL,20120101,11.50,11.50,11.50,11.50,2619215
CENTEL,20120201,11.60,11.60,11.60,11.60,1759466.66666667
CENTEL,20120301,12.90,12.90,12.90,12.90,5707252.38095238
CENTEL,20120401,12.70,12.70,12.70,12.70,3000541.17647059
CENTEL,20120501,12.40,12.40,12.40,12.40,4297690.47619048
CENTEL,20120601,12.50,12.50,12.50,12.50,1276920
CENTEL,20120701,15.30,15.30,15.30,15.30,3509863.63636364
CENTEL,20120801,16.40,16.40,16.40,16.40,2278538.0952381
CENTEL,20120901,17.30,17.30,17.30,17.30,2158445
CENTEL,20121001,19.50,19.50,19.50,19.50,2558218.18181818
CENTEL,20121101,25.50,25.50,25.50,25.50,4975459.09090909
CENTEL,20121201,26.00,26.00,26.00,26.00,3427677.77777778
CENTEL,20130101,29.25,29.25,29.25,29.25,2969945.45454545
CENTEL,20130201,38.50,38.50,38.50,38.50,2900805.26315789
CENTEL,20130301,38.75,38.75,38.75,38.75,2511071.42857143
CENTEL,20130401,37.25,37.25,37.25,37.25,1891536.84210526
CENTEL,20130501,35.25,35.25,35.25,35.25,1829070
CENTEL,20130601,33.25,33.25,33.25,33.25,2723555
CENTEL,20130701,30.25,30.25,30.25,30.25,2059471.42857143
CENTEL,20130801,27.50,27.50,27.50,27.50,2477871.42857143
CENTEL,20130901,38.25,38.25,38.25,38.25,2750557.14285714
CENTEL,20131001,39.25,39.25,39.25,39.25,2184977.27272727
CENTEL,20131101,36.00,36.00,36.00,36.00,1743985.71428571
CENTEL,20131201,27.50,27.50,27.50,27.50,2675227.77777778
CENTEL,20140101,27.25,27.25,27.25,27.25,5819795.45454545
CENTEL,20140201,30.25,30.25,30.25,30.25,3415989.47368421
CENTEL,20140301,30.25,30.25,30.25,30.25,3817485.71428571
CENTEL,20140401,31.00,31.00,31.00,31.00,2015205.26315789
CENTEL,20140501,32.25,32.25,32.25,32.25,2655663.15789474
CENTEL,20140601,37.00,37.00,37.00,37.00,2952066.66666667
CENTEL,20140701,38.25,38.25,38.25,38.25,1949061.9047619
CENTEL,20140801,39.50,39.50,39.50,39.50,2554663.15789474
CENTEL,20140901,40.25,40.25,40.25,40.25,1530259.09090909
CENTEL,20141001,37.75,37.75,37.75,37.75,1279936.36363636
CENTEL,20141101,35.50,35.50,35.50,35.50,3531470
CENTEL,20141201,31.00,31.00,31.00,31.00,2433070
CENTEL,20150101,34.00,34.00,34.00,34.00,1936485
CENTEL,20150201,31.25,31.25,31.25,31.25,1083275
CENTEL,20150301,32.75,32.75,32.75,32.75,2093985.71428571
CENTEL,20150401,33.50,33.50,33.50,33.50,1537994.44444444
CENTEL,20150501,36.75,36.75,36.75,36.75,2519144.44444444
CENTEL,20150601,37.25,37.25,37.25,37.25,4284438.0952381
CENTEL,20150701,37.25,37.25,37.25,37.25,1590276.19047619
CENTEL,20150801,35.25,35.25,35.25,35.25,5893495
CENTEL,20150901,37.50,37.50,37.50,37.50,2270663.63636364
CENTEL,20151001,38.00,38.00,38.00,38.00,2624900
CENTEL,20151101,45.25,45.25,45.25,45.25,3587490.47619048
CENTEL,20151201,44.00,44.00,44.00,44.00,2268790
CENTEL,20160101,39.50,39.50,39.50,39.50,null
CENTEL,20160201,39.25,39.25,39.25,39.25,null
CENTEL,20160301,42.75,42.75,42.75,42.75,null
CENTEL,20160401,38.50,38.50,38.50,38.50,null
CENTEL,20160501,38.50,38.50,38.50,38.50,null
