<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHO-JittaLine,20091001,0.0014,0.0014,0.0014,0.0014,null
CHO-JittaLine,20091101,0.0147,0.0147,0.0147,0.0147,null
CHO-JittaLine,20091201,0.0279,0.0279,0.0279,0.0279,null
CHO-JittaLine,20100101,0.0296,0.0296,0.0296,0.0296,null
CHO-JittaLine,20100201,0.0313,0.0313,0.0313,0.0313,null
CHO-JittaLine,20100301,0.0329,0.0329,0.0329,0.0329,null
CHO-JittaLine,20100401,0.0346,0.0346,0.0346,0.0346,null
CHO-JittaLine,20100501,0.0363,0.0363,0.0363,0.0363,null
CHO-JittaLine,20100601,0.038,0.038,0.038,0.038,null
CHO-JittaLine,20100701,0.0396,0.0396,0.0396,0.0396,null
CHO-JittaLine,20100801,0.0413,0.0413,0.0413,0.0413,null
CHO-JittaLine,20100901,0.043,0.043,0.043,0.043,null
CHO-JittaLine,20101001,0.0446,0.0446,0.0446,0.0446,null
CHO-JittaLine,20101101,0.0463,0.0463,0.0463,0.0463,null
CHO-JittaLine,20101201,0.048,0.048,0.048,0.048,null
CHO-JittaLine,20110101,0.0569,0.0569,0.0569,0.0569,null
CHO-JittaLine,20110201,0.0657,0.0657,0.0657,0.0657,null
CHO-JittaLine,20110301,0.0746,0.0746,0.0746,0.0746,null
CHO-JittaLine,20110401,0.0835,0.0835,0.0835,0.0835,null
CHO-JittaLine,20110501,0.0924,0.0924,0.0924,0.0924,null
CHO-JittaLine,20110601,0.1013,0.1013,0.1013,0.1013,null
CHO-JittaLine,20110701,0.1101,0.1101,0.1101,0.1101,null
CHO-JittaLine,20110801,0.119,0.119,0.119,0.119,null
CHO-JittaLine,20110901,0.1279,0.1279,0.1279,0.1279,null
CHO-JittaLine,20111001,0.1368,0.1368,0.1368,0.1368,null
CHO-JittaLine,20111101,0.1456,0.1456,0.1456,0.1456,null
CHO-JittaLine,20111201,0.1545,0.1545,0.1545,0.1545,null
CHO-JittaLine,20120101,0.1643,0.1643,0.1643,0.1643,null
CHO-JittaLine,20120201,0.1741,0.1741,0.1741,0.1741,null
CHO-JittaLine,20120301,0.1839,0.1839,0.1839,0.1839,null
CHO-JittaLine,20120401,0.1937,0.1937,0.1937,0.1937,null
CHO-JittaLine,20120501,0.2035,0.2035,0.2035,0.2035,null
CHO-JittaLine,20120601,0.2133,0.2133,0.2133,0.2133,null
CHO-JittaLine,20120701,0.2231,0.2231,0.2231,0.2231,null
CHO-JittaLine,20120801,0.2329,0.2329,0.2329,0.2329,null
CHO-JittaLine,20120901,0.2427,0.2427,0.2427,0.2427,null
CHO-JittaLine,20121001,0.2525,0.2525,0.2525,0.2525,null
CHO-JittaLine,20121101,0.2623,0.2623,0.2623,0.2623,null
CHO-JittaLine,20121201,0.2722,0.2722,0.2722,0.2722,null
CHO-JittaLine,20130101,0.325,0.325,0.325,0.325,null
CHO-JittaLine,20130201,0.3778,0.3778,0.3778,0.3778,null
CHO-JittaLine,20130301,0.4306,0.4306,0.4306,0.4306,null
CHO-JittaLine,20130401,0.4835,0.4835,0.4835,0.4835,null
CHO-JittaLine,20130501,0.5363,0.5363,0.5363,0.5363,null
CHO-JittaLine,20130601,0.5891,0.5891,0.5891,0.5891,null
CHO-JittaLine,20130701,0.6419,0.6419,0.6419,0.6419,null
CHO-JittaLine,20130801,0.6948,0.6948,0.6948,0.6948,null
CHO-JittaLine,20130901,0.7476,0.7476,0.7476,0.7476,null
CHO-JittaLine,20131001,0.8004,0.8004,0.8004,0.8004,null
CHO-JittaLine,20131101,0.8532,0.8532,0.8532,0.8532,null
CHO-JittaLine,20131201,0.9061,0.9061,0.9061,0.9061,null
CHO-JittaLine,20140101,0.9573,0.9573,0.9573,0.9573,null
CHO-JittaLine,20140201,1.0086,1.0086,1.0086,1.0086,null
CHO-JittaLine,20140301,1.0599,1.0599,1.0599,1.0599,null
CHO-JittaLine,20140401,1.1112,1.1112,1.1112,1.1112,null
CHO-JittaLine,20140501,1.1625,1.1625,1.1625,1.1625,null
CHO-JittaLine,20140601,1.2138,1.2138,1.2138,1.2138,null
CHO-JittaLine,20140701,1.2651,1.2651,1.2651,1.2651,null
CHO-JittaLine,20140801,1.3163,1.3163,1.3163,1.3163,null
CHO-JittaLine,20140901,1.3676,1.3676,1.3676,1.3676,null
CHO-JittaLine,20141001,1.4189,1.4189,1.4189,1.4189,null
CHO-JittaLine,20141101,1.4702,1.4702,1.4702,1.4702,null
CHO-JittaLine,20141201,1.5215,1.5215,1.5215,1.5215,null
CHO-JittaLine,20150101,1.461,1.461,1.461,1.461,null
CHO-JittaLine,20150201,1.4004,1.4004,1.4004,1.4004,null
CHO-JittaLine,20150301,1.3399,1.3399,1.3399,1.3399,null
CHO-JittaLine,20150401,1.2794,1.2794,1.2794,1.2794,null
CHO-JittaLine,20150501,1.2189,1.2189,1.2189,1.2189,null
CHO-JittaLine,20150601,1.1584,1.1584,1.1584,1.1584,null
CHO-JittaLine,20150701,1.0978,1.0978,1.0978,1.0978,null
CHO-JittaLine,20150801,1.0373,1.0373,1.0373,1.0373,null
CHO-JittaLine,20150901,0.9768,0.9768,0.9768,0.9768,null
CHO-JittaLine,20151001,0.9163,0.9163,0.9163,0.9163,null
CHO-JittaLine,20151101,0.8558,0.8558,0.8558,0.8558,null
CHO-JittaLine,20151201,0.7952,0.7952,0.7952,0.7952,null
