<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHUO,20061201,5.857963,5.857963,5.857963,5.857963,null
CHUO,20070101,5.857963,5.857963,5.857963,5.857963,null
CHUO,20070201,5.70514658,5.70514658,5.70514658,5.70514658,null
CHUO,20070301,5.80702419,5.80702419,5.80702419,5.80702419,null
CHUO,20070401,5.09388087,5.09388087,5.09388087,5.09388087,null
CHUO,20070501,4.17698231,4.17698231,4.17698231,4.17698231,null
CHUO,20070601,4.1005741,4.1005741,4.1005741,4.1005741,null
CHUO,20070701,4.15151291,4.15151291,4.15151291,4.15151291,null
CHUO,20070801,4.27885993,4.27885993,4.27885993,4.27885993,null
CHUO,20070901,4.53355398,4.53355398,4.53355398,4.53355398,null
CHUO,20071001,4.22792112,4.22792112,4.22792112,4.22792112,null
CHUO,20071101,4.17698231,4.17698231,4.17698231,4.17698231,null
CHUO,20071201,4.27885993,4.27885993,4.27885993,4.27885993,null
CHUO,20080101,4.55902338,4.55902338,4.55902338,4.55902338,null
CHUO,20080201,4.86465623,4.86465623,4.86465623,4.86465623,null
CHUO,20080301,5.04294206,5.04294206,5.04294206,5.04294206,null
CHUO,20080401,4.55902338,4.55902338,4.55902338,4.55902338,null
CHUO,20080501,4.0751047,4.0751047,4.0751047,4.0751047,null
CHUO,20080601,3.76947184,3.76947184,3.76947184,3.76947184,null
CHUO,20080701,3.66759423,3.66759423,3.66759423,3.66759423,null
CHUO,20080801,4.83918683,4.83918683,4.83918683,4.83918683,null
CHUO,20080901,3.5147778,3.5147778,3.5147778,3.5147778,null
CHUO,20081001,2.80163448,2.80163448,2.80163448,2.80163448,null
CHUO,20081101,2.57240984,2.57240984,2.57240984,2.57240984,null
CHUO,20081201,2.9289815,2.9289815,2.9289815,2.9289815,null
CHUO,20090101,3.05632852,3.05632852,3.05632852,3.05632852,null
CHUO,20090201,3.4893084,3.4893084,3.4893084,3.4893084,null
CHUO,20090301,3.5147778,3.5147778,3.5147778,3.5147778,null
CHUO,20090401,3.13273674,3.13273674,3.13273674,3.13273674,null
CHUO,20090501,3.20914495,3.20914495,3.20914495,3.20914495,null
CHUO,20090601,3.36196138,3.36196138,3.36196138,3.36196138,null
CHUO,20090701,3.38743078,3.38743078,3.38743078,3.38743078,null
CHUO,20090801,3.43836959,3.43836959,3.43836959,3.43836959,null
CHUO,20090901,3.59118601,3.59118601,3.59118601,3.59118601,null
CHUO,20091001,3.56571661,3.56571661,3.56571661,3.56571661,null
CHUO,20091101,4.0751047,4.0751047,4.0751047,4.0751047,null
CHUO,20091201,4.20245172,4.20245172,4.20245172,4.20245172,null
CHUO,20100101,4.58449278,4.58449278,4.58449278,4.58449278,null
CHUO,20100201,3.54024721,3.54024721,3.54024721,3.54024721,null
CHUO,20100301,3.43836959,3.43836959,3.43836959,3.43836959,null
CHUO,20100401,3.4893084,3.4893084,3.4893084,3.4893084,null
CHUO,20100501,3.76947184,3.76947184,3.76947184,3.76947184,null
CHUO,20100601,4.32979874,4.32979874,4.32979874,4.32979874,null
CHUO,20100701,5.50139134,5.50139134,5.50139134,5.50139134,null
CHUO,20100801,5.80702419,5.80702419,5.80702419,5.80702419,null
CHUO,20100901,5.65420777,5.65420777,5.65420777,5.65420777,null
CHUO,20101001,5.19575849,5.19575849,5.19575849,5.19575849,null
CHUO,20101101,3.89681887,3.89681887,3.89681887,3.89681887,null
CHUO,20101201,4.02416589,4.02416589,4.02416589,4.02416589,null
CHUO,20110101,4.04963529,4.04963529,4.04963529,4.04963529,null
CHUO,20110201,4.27885993,4.27885993,4.27885993,4.27885993,null
CHUO,20110301,8.15020939,8.15020939,8.15020939,8.15020939,null
CHUO,20110401,6.52016752,6.52016752,6.52016752,6.52016752,null
CHUO,20110501,5.29763611,5.29763611,5.29763611,5.29763611,null
CHUO,20110601,4.63543159,4.63543159,4.63543159,4.63543159,null
CHUO,20110701,4.99200325,4.99200325,4.99200325,4.99200325,null
CHUO,20110801,4.83918683,4.83918683,4.83918683,4.83918683,null
CHUO,20110901,4.63543159,4.63543159,4.63543159,4.63543159,null
CHUO,20111001,4.48261517,4.48261517,4.48261517,4.48261517,null
CHUO,20111101,4.58449278,4.58449278,4.58449278,4.58449278,null
CHUO,20111201,4.38073755,4.38073755,4.38073755,4.38073755,null
CHUO,20120101,4.89012564,4.89012564,4.89012564,4.89012564,null
CHUO,20120201,4.660901,4.660901,4.660901,4.660901,null
CHUO,20120301,4.45714576,4.45714576,4.45714576,4.45714576,null
CHUO,20120401,4.53355398,4.53355398,4.53355398,4.53355398,null
CHUO,20120501,4.48261517,4.48261517,4.48261517,4.48261517,null
CHUO,20120601,4.43167636,4.43167636,4.43167636,4.43167636,null
CHUO,20120701,9.78025127,9.78025127,9.78025127,9.78025127,null
CHUO,20120801,13.62613133,13.62613133,13.62613133,13.62613133,null
CHUO,20120901,11.715926,11.715926,11.715926,11.715926,null
CHUO,20121001,9.11804676,9.11804676,9.11804676,9.11804676,null
CHUO,20121101,7.84457654,7.84457654,7.84457654,7.84457654,null
CHUO,20121201,7.5898825,7.5898825,7.5898825,7.5898825,null
CHUO,20130101,7.18237203,7.18237203,7.18237203,7.18237203,null
CHUO,20130201,7.23331084,7.23331084,7.23331084,7.23331084,null
CHUO,20130301,6.72392275,6.72392275,6.72392275,6.72392275,null
CHUO,20130401,7.33518845,7.33518845,7.33518845,7.33518845,null
CHUO,20130501,6.21453466,6.21453466,6.21453466,6.21453466,null
CHUO,20130601,4.86465623,4.86465623,4.86465623,4.86465623,null
CHUO,20130701,7.18237203,7.18237203,7.18237203,7.18237203,null
CHUO,20130801,4.55902338,4.55902338,4.55902338,4.55902338,null
CHUO,20130901,5.09388087,5.09388087,5.09388087,5.09388087,null
CHUO,20131001,5.2466973,5.2466973,5.2466973,5.2466973,null
CHUO,20131101,5.2466973,5.2466973,5.2466973,5.2466973,null
CHUO,20131201,4.99200325,4.99200325,4.99200325,4.99200325,null
CHUO,20140101,4.22792112,4.22792112,4.22792112,4.22792112,null
CHUO,20140201,6.57110632,6.57110632,6.57110632,6.57110632,null
CHUO,20140301,7.7903175,7.7903175,7.7903175,7.7903175,null
CHUO,20140401,8.5322525,8.5322525,8.5322525,8.5322525,null
CHUO,20140501,11.129025,11.129025,11.129025,11.129025,null
CHUO,20140601,11.129025,11.129025,11.129025,11.129025,null
CHUO,20140701,9.645155,9.645155,9.645155,9.645155,null
CHUO,20140801,9.793542,9.793542,9.793542,9.793542,null
CHUO,20140901,9.7193485,9.7193485,9.7193485,9.7193485,null
CHUO,20141001,10.38709,10.38709,10.38709,10.38709,null
CHUO,20141101,8.754833,8.754833,8.754833,8.754833,null
CHUO,20141201,8.6806395,8.6806395,8.6806395,8.6806395,null
CHUO,20150101,9.2741875,9.2741875,9.2741875,9.2741875,null
CHUO,20150201,9.7193485,9.7193485,9.7193485,9.7193485,null
CHUO,20150301,10.683864,10.683864,10.683864,10.683864,null
CHUO,20150401,12.30,12.30,12.30,12.30,null
CHUO,20150501,10.70,10.70,10.70,10.70,null
CHUO,20150601,8.15,8.15,8.15,8.15,null
CHUO,20150701,8.25,8.25,8.25,8.25,null
CHUO,20150801,7.70,7.70,7.70,7.70,null
CHUO,20150901,7.30,7.30,7.30,7.30,null
CHUO,20151001,7.00,7.00,7.00,7.00,null
CHUO,20151101,5.65,5.65,5.65,5.65,null
CHUO,20151201,5.30,5.30,5.30,5.30,null
CHUO,20160101,4.92,4.92,4.92,4.92,null
CHUO,20160201,4.94,4.94,4.94,4.94,null
CHUO,20160301,4.98,4.98,4.98,4.98,null
CHUO,20160401,4.64,4.64,4.64,4.64,null
CHUO,20160501,4.42,4.42,4.42,4.42,null
