<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CI,20061201,0.69666639,0.69666639,0.69666639,0.69666639,null
CI,20070101,0.69333306,0.69333306,0.69333306,0.69333306,null
CI,20070201,0.68999972,0.68999972,0.68999972,0.68999972,null
CI,20070301,0.64999974,0.64999974,0.64999974,0.64999974,null
CI,20070401,0.6766664,0.6766664,0.6766664,0.6766664,null
CI,20070501,0.67999973,0.67999973,0.67999973,0.67999973,null
CI,20070601,0.68666639,0.68666639,0.68666639,0.68666639,null
CI,20070701,0.76666636,0.76666636,0.76666636,0.76666636,null
CI,20070801,0.68666639,0.68666639,0.68666639,0.68666639,null
CI,20070901,0.67333306,0.67333306,0.67333306,0.67333306,null
CI,20071001,0.6666664,0.6666664,0.6666664,0.6666664,null
CI,20071101,0.61666642,0.61666642,0.61666642,0.61666642,null
CI,20071201,0.61666642,0.61666642,0.61666642,0.61666642,null
CI,20080101,0.53666645,0.53666645,0.53666645,0.53666645,null
CI,20080201,0.5733331,0.5733331,0.5733331,0.5733331,null
CI,20080301,0.60333309,0.60333309,0.60333309,0.60333309,null
CI,20080401,0.6666664,0.6666664,0.6666664,0.6666664,null
CI,20080501,0.61999975,0.61999975,0.61999975,0.61999975,null
CI,20080601,0.59666643,0.59666643,0.59666643,0.59666643,null
CI,20080701,0.51999979,0.51999979,0.51999979,0.51999979,null
CI,20080801,0.50666646,0.50666646,0.50666646,0.50666646,null
CI,20080901,0.47999981,0.47999981,0.47999981,0.47999981,null
CI,20081001,0.3333332,0.3333332,0.3333332,0.3333332,null
CI,20081101,0.29666655,0.29666655,0.29666655,0.29666655,null
CI,20081201,0.29166655,0.29166655,0.29166655,0.29166655,null
CI,20090101,0.31166654,0.31166654,0.31166654,0.31166654,null
CI,20090201,0.32999987,0.32999987,0.32999987,0.32999987,null
CI,20090301,0.3433332,0.3433332,0.3433332,0.3433332,null
CI,20090401,0.34999986,0.34999986,0.34999986,0.34999986,null
CI,20090501,0.39999984,0.39999984,0.39999984,0.39999984,null
CI,20090601,0.39666651,0.39666651,0.39666651,0.39666651,null
CI,20090701,0.4166665,0.4166665,0.4166665,0.4166665,null
CI,20090801,0.53333312,0.53333312,0.53333312,0.53333312,null
CI,20090901,0.61666642,0.61666642,0.61666642,0.61666642,null
CI,20091001,0.59666643,0.59666643,0.59666643,0.59666643,null
CI,20091101,0.56666644,0.56666644,0.56666644,0.56666644,null
CI,20091201,0.63333308,0.63333308,0.63333308,0.63333308,null
CI,20100101,0.68333306,0.68333306,0.68333306,0.68333306,null
CI,20100201,0.6766664,0.6766664,0.6766664,0.6766664,null
CI,20100301,0.6666664,0.6666664,0.6666664,0.6666664,null
CI,20100401,0.65999974,0.65999974,0.65999974,0.65999974,null
CI,20100501,0.64666641,0.64666641,0.64666641,0.64666641,null
CI,20100601,0.6666664,0.6666664,0.6666664,0.6666664,null
CI,20100701,1.04166625,1.04166625,1.04166625,1.04166625,null
CI,20100801,0.85833299,0.85833299,0.85833299,0.85833299,null
CI,20100901,0.823333,0.823333,0.823333,0.823333,null
CI,20101001,0.78333302,0.78333302,0.78333302,0.78333302,null
CI,20101101,0.67999973,0.67999973,0.67999973,0.67999973,null
CI,20101201,0.67333306,0.67333306,0.67333306,0.67333306,null
CI,20110101,0.63999974,0.63999974,0.63999974,0.63999974,null
CI,20110201,0.64333308,0.64333308,0.64333308,0.64333308,null
CI,20110301,0.62666642,0.62666642,0.62666642,0.62666642,null
CI,20110401,0.6566664,0.6566664,0.6566664,0.6566664,null
CI,20110501,0.64333308,0.64333308,0.64333308,0.64333308,null
