<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CITY-JittaLine,20061201,7.0957,7.0957,7.0957,7.0957,null
CITY-JittaLine,20070101,7.0642,7.0642,7.0642,7.0642,null
CITY-JittaLine,20070201,7.0328,7.0328,7.0328,7.0328,null
CITY-JittaLine,20070301,7.0013,7.0013,7.0013,7.0013,null
CITY-JittaLine,20070401,6.9699,6.9699,6.9699,6.9699,null
CITY-JittaLine,20070501,6.9384,6.9384,6.9384,6.9384,null
CITY-JittaLine,20070601,6.907,6.907,6.907,6.907,null
CITY-JittaLine,20070701,6.8755,6.8755,6.8755,6.8755,null
CITY-JittaLine,20070801,6.8452,6.8452,6.8452,6.8452,null
CITY-JittaLine,20070901,6.8149,6.8149,6.8149,6.8149,null
CITY-JittaLine,20071001,6.7846,6.7846,6.7846,6.7846,null
CITY-JittaLine,20071101,6.7544,6.7544,6.7544,6.7544,null
CITY-JittaLine,20071201,6.7241,6.7241,6.7241,6.7241,null
CITY-JittaLine,20080101,6.6938,6.6938,6.6938,6.6938,null
CITY-JittaLine,20080201,6.6635,6.6635,6.6635,6.6635,null
CITY-JittaLine,20080301,6.6332,6.6332,6.6332,6.6332,null
CITY-JittaLine,20080401,6.6029,6.6029,6.6029,6.6029,null
CITY-JittaLine,20080501,6.5727,6.5727,6.5727,6.5727,null
CITY-JittaLine,20080601,6.5424,6.5424,6.5424,6.5424,null
CITY-JittaLine,20080701,6.5121,6.5121,6.5121,6.5121,null
CITY-JittaLine,20080801,6.4103,6.4103,6.4103,6.4103,null
CITY-JittaLine,20080901,6.3085,6.3085,6.3085,6.3085,null
CITY-JittaLine,20081001,6.2067,6.2067,6.2067,6.2067,null
CITY-JittaLine,20081101,6.105,6.105,6.105,6.105,null
CITY-JittaLine,20081201,6.0032,6.0032,6.0032,6.0032,null
CITY-JittaLine,20090101,5.9014,5.9014,5.9014,5.9014,null
CITY-JittaLine,20090201,5.7996,5.7996,5.7996,5.7996,null
CITY-JittaLine,20090301,5.6978,5.6978,5.6978,5.6978,null
CITY-JittaLine,20090401,5.5961,5.5961,5.5961,5.5961,null
CITY-JittaLine,20090501,5.4943,5.4943,5.4943,5.4943,null
CITY-JittaLine,20090601,5.3925,5.3925,5.3925,5.3925,null
CITY-JittaLine,20090701,5.2907,5.2907,5.2907,5.2907,null
CITY-JittaLine,20090801,5.1445,5.1445,5.1445,5.1445,null
CITY-JittaLine,20090901,4.9983,4.9983,4.9983,4.9983,null
CITY-JittaLine,20091001,4.852,4.852,4.852,4.852,null
CITY-JittaLine,20091101,4.7058,4.7058,4.7058,4.7058,null
CITY-JittaLine,20091201,4.5596,4.5596,4.5596,4.5596,null
CITY-JittaLine,20100101,4.4134,4.4134,4.4134,4.4134,null
CITY-JittaLine,20100201,4.2671,4.2671,4.2671,4.2671,null
CITY-JittaLine,20100301,4.1209,4.1209,4.1209,4.1209,null
CITY-JittaLine,20100401,3.9747,3.9747,3.9747,3.9747,null
CITY-JittaLine,20100501,3.8285,3.8285,3.8285,3.8285,null
CITY-JittaLine,20100601,3.6823,3.6823,3.6823,3.6823,null
CITY-JittaLine,20100701,3.536,3.536,3.536,3.536,null
CITY-JittaLine,20100801,3.5791,3.5791,3.5791,3.5791,null
CITY-JittaLine,20100901,3.6222,3.6222,3.6222,3.6222,null
CITY-JittaLine,20101001,3.6652,3.6652,3.6652,3.6652,null
CITY-JittaLine,20101101,3.7083,3.7083,3.7083,3.7083,null
CITY-JittaLine,20101201,3.7513,3.7513,3.7513,3.7513,null
CITY-JittaLine,20110101,3.7944,3.7944,3.7944,3.7944,null
CITY-JittaLine,20110201,3.8374,3.8374,3.8374,3.8374,null
CITY-JittaLine,20110301,3.8805,3.8805,3.8805,3.8805,null
CITY-JittaLine,20110401,3.9236,3.9236,3.9236,3.9236,null
CITY-JittaLine,20110501,3.9666,3.9666,3.9666,3.9666,null
CITY-JittaLine,20110601,4.0097,4.0097,4.0097,4.0097,null
CITY-JittaLine,20110701,4.0527,4.0527,4.0527,4.0527,null
CITY-JittaLine,20110801,4.2431,4.2431,4.2431,4.2431,null
CITY-JittaLine,20110901,4.4335,4.4335,4.4335,4.4335,null
CITY-JittaLine,20111001,4.6239,4.6239,4.6239,4.6239,null
CITY-JittaLine,20111101,4.8142,4.8142,4.8142,4.8142,null
CITY-JittaLine,20111201,5.0046,5.0046,5.0046,5.0046,null
CITY-JittaLine,20120101,5.195,5.195,5.195,5.195,null
CITY-JittaLine,20120201,5.3854,5.3854,5.3854,5.3854,null
CITY-JittaLine,20120301,5.5757,5.5757,5.5757,5.5757,null
CITY-JittaLine,20120401,5.7661,5.7661,5.7661,5.7661,null
CITY-JittaLine,20120501,5.9565,5.9565,5.9565,5.9565,null
CITY-JittaLine,20120601,6.1469,6.1469,6.1469,6.1469,null
CITY-JittaLine,20120701,6.3372,6.3372,6.3372,6.3372,null
CITY-JittaLine,20120801,6.2182,6.2182,6.2182,6.2182,null
CITY-JittaLine,20120901,6.0992,6.0992,6.0992,6.0992,null
CITY-JittaLine,20121001,5.9803,5.9803,5.9803,5.9803,null
CITY-JittaLine,20121101,5.8613,5.8613,5.8613,5.8613,null
CITY-JittaLine,20121201,5.7423,5.7423,5.7423,5.7423,null
CITY-JittaLine,20130101,5.6233,5.6233,5.6233,5.6233,null
CITY-JittaLine,20130201,5.5043,5.5043,5.5043,5.5043,null
CITY-JittaLine,20130301,5.3853,5.3853,5.3853,5.3853,null
CITY-JittaLine,20130401,5.2663,5.2663,5.2663,5.2663,null
CITY-JittaLine,20130501,5.1473,5.1473,5.1473,5.1473,null
CITY-JittaLine,20130601,5.0283,5.0283,5.0283,5.0283,null
CITY-JittaLine,20130701,4.9093,4.9093,4.9093,4.9093,null
CITY-JittaLine,20130801,5.0889,5.0889,5.0889,5.0889,null
CITY-JittaLine,20130901,5.2685,5.2685,5.2685,5.2685,null
CITY-JittaLine,20131001,5.4481,5.4481,5.4481,5.4481,null
CITY-JittaLine,20131101,5.6277,5.6277,5.6277,5.6277,null
CITY-JittaLine,20131201,5.8073,5.8073,5.8073,5.8073,null
CITY-JittaLine,20140101,5.9869,5.9869,5.9869,5.9869,null
CITY-JittaLine,20140201,6.1665,6.1665,6.1665,6.1665,null
CITY-JittaLine,20140301,6.3461,6.3461,6.3461,6.3461,null
CITY-JittaLine,20140401,6.5257,6.5257,6.5257,6.5257,null
CITY-JittaLine,20140501,6.7054,6.7054,6.7054,6.7054,null
CITY-JittaLine,20140601,6.885,6.885,6.885,6.885,null
CITY-JittaLine,20140701,7.0646,7.0646,7.0646,7.0646,null
CITY-JittaLine,20140801,7.1578,7.1578,7.1578,7.1578,null
CITY-JittaLine,20140901,7.251,7.251,7.251,7.251,null
CITY-JittaLine,20141001,7.3442,7.3442,7.3442,7.3442,null
CITY-JittaLine,20141101,7.4374,7.4374,7.4374,7.4374,null
CITY-JittaLine,20141201,7.5306,7.5306,7.5306,7.5306,null
CITY-JittaLine,20150101,7.6238,7.6238,7.6238,7.6238,null
CITY-JittaLine,20150201,7.717,7.717,7.717,7.717,null
CITY-JittaLine,20150301,7.8102,7.8102,7.8102,7.8102,null
CITY-JittaLine,20150401,7.9034,7.9034,7.9034,7.9034,null
CITY-JittaLine,20150501,7.9967,7.9967,7.9967,7.9967,null
CITY-JittaLine,20150601,8.0899,8.0899,8.0899,8.0899,null
CITY-JittaLine,20150701,8.1831,8.1831,8.1831,8.1831,null
CITY-JittaLine,20150801,7.9785,7.9785,7.9785,7.9785,null
CITY-JittaLine,20150901,7.7739,7.7739,7.7739,7.7739,null
CITY-JittaLine,20151001,7.5693,7.5693,7.5693,7.5693,null
CITY-JittaLine,20151101,7.3648,7.3648,7.3648,7.3648,null
CITY-JittaLine,20151201,7.1602,7.1602,7.1602,7.1602,null
CITY-JittaLine,20160101,6.9556,6.9556,6.9556,6.9556,null
CITY-JittaLine,20160201,6.751,6.751,6.751,6.751,null
CITY-JittaLine,20160301,6.5465,6.5465,6.5465,6.5465,null
CITY-JittaLine,20160401,6.3419,6.3419,6.3419,6.3419,null
CITY-JittaLine,20160501,6.1373,6.1373,6.1373,6.1373,null
CITY-JittaLine,20160601,5.9327,5.9327,5.9327,5.9327,null
CITY-JittaLine,20160701,5.7281,5.7281,5.7281,5.7281,null
