<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CKP-JittaLine,20120901,0.0058,0.0058,0.0058,0.0058,null
CKP-JittaLine,20121001,0.0139,0.0139,0.0139,0.0139,null
CKP-JittaLine,20121101,0.0221,0.0221,0.0221,0.0221,null
CKP-JittaLine,20121201,0.0302,0.0302,0.0302,0.0302,null
CKP-JittaLine,20130101,0.0527,0.0527,0.0527,0.0527,null
CKP-JittaLine,20130201,0.0752,0.0752,0.0752,0.0752,null
CKP-JittaLine,20130301,0.0977,0.0977,0.0977,0.0977,null
CKP-JittaLine,20130401,0.1201,0.1201,0.1201,0.1201,null
CKP-JittaLine,20130501,0.1426,0.1426,0.1426,0.1426,null
CKP-JittaLine,20130601,0.1651,0.1651,0.1651,0.1651,null
CKP-JittaLine,20130701,0.1876,0.1876,0.1876,0.1876,null
CKP-JittaLine,20130801,0.2101,0.2101,0.2101,0.2101,null
CKP-JittaLine,20130901,0.2326,0.2326,0.2326,0.2326,null
CKP-JittaLine,20131001,0.2551,0.2551,0.2551,0.2551,null
CKP-JittaLine,20131101,0.2776,0.2776,0.2776,0.2776,null
CKP-JittaLine,20131201,0.3001,0.3001,0.3001,0.3001,null
CKP-JittaLine,20140101,0.3338,0.3338,0.3338,0.3338,null
CKP-JittaLine,20140201,0.3675,0.3675,0.3675,0.3675,null
CKP-JittaLine,20140301,0.4013,0.4013,0.4013,0.4013,null
CKP-JittaLine,20140401,0.435,0.435,0.435,0.435,null
CKP-JittaLine,20140501,0.4687,0.4687,0.4687,0.4687,null
CKP-JittaLine,20140601,0.5025,0.5025,0.5025,0.5025,null
CKP-JittaLine,20140701,0.5362,0.5362,0.5362,0.5362,null
CKP-JittaLine,20140801,0.5699,0.5699,0.5699,0.5699,null
CKP-JittaLine,20140901,0.6037,0.6037,0.6037,0.6037,null
CKP-JittaLine,20141001,0.6374,0.6374,0.6374,0.6374,null
CKP-JittaLine,20141101,0.6712,0.6712,0.6712,0.6712,null
CKP-JittaLine,20141201,0.7049,0.7049,0.7049,0.7049,null
CKP-JittaLine,20150101,0.702,0.702,0.702,0.702,null
CKP-JittaLine,20150201,0.699,0.699,0.699,0.699,null
CKP-JittaLine,20150301,0.6961,0.6961,0.6961,0.6961,null
CKP-JittaLine,20150401,0.6932,0.6932,0.6932,0.6932,null
CKP-JittaLine,20150501,0.6903,0.6903,0.6903,0.6903,null
CKP-JittaLine,20150601,0.6874,0.6874,0.6874,0.6874,null
CKP-JittaLine,20150701,0.6844,0.6844,0.6844,0.6844,null
CKP-JittaLine,20150801,0.6815,0.6815,0.6815,0.6815,null
CKP-JittaLine,20150901,0.6786,0.6786,0.6786,0.6786,null
CKP-JittaLine,20151001,0.6757,0.6757,0.6757,0.6757,null
CKP-JittaLine,20151101,0.6728,0.6728,0.6728,0.6728,null
CKP-JittaLine,20151201,0.6698,0.6698,0.6698,0.6698,null
CKP-JittaLine,20160101,0.6531,0.6531,0.6531,0.6531,null
CKP-JittaLine,20160201,0.6364,0.6364,0.6364,0.6364,null
CKP-JittaLine,20160301,0.6196,0.6196,0.6196,0.6196,null
CKP-JittaLine,20160401,0.6029,0.6029,0.6029,0.6029,null
CKP-JittaLine,20160501,0.5861,0.5861,0.5861,0.5861,null
CKP-JittaLine,20160601,0.5694,0.5694,0.5694,0.5694,null
CKP-JittaLine,20160701,0.5526,0.5526,0.5526,0.5526,null
CKP-JittaLine,20160801,0.5359,0.5359,0.5359,0.5359,null
CKP-JittaLine,20160901,0.5191,0.5191,0.5191,0.5191,null
CKP-JittaLine,20161001,0.5024,0.5024,0.5024,0.5024,null
CKP-JittaLine,20161101,0.4856,0.4856,0.4856,0.4856,null
CKP-JittaLine,20161201,0.4689,0.4689,0.4689,0.4689,null
