<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CM-JittaLine,20061201,6.2943,6.2943,6.2943,6.2943,null
CM-JittaLine,20070101,6.1948,6.1948,6.1948,6.1948,null
CM-JittaLine,20070201,6.0953,6.0953,6.0953,6.0953,null
CM-JittaLine,20070301,5.9958,5.9958,5.9958,5.9958,null
CM-JittaLine,20070401,5.8963,5.8963,5.8963,5.8963,null
CM-JittaLine,20070501,5.7968,5.7968,5.7968,5.7968,null
CM-JittaLine,20070601,5.6974,5.6974,5.6974,5.6974,null
CM-JittaLine,20070701,5.5979,5.5979,5.5979,5.5979,null
CM-JittaLine,20070801,5.4984,5.4984,5.4984,5.4984,null
CM-JittaLine,20070901,5.3989,5.3989,5.3989,5.3989,null
CM-JittaLine,20071001,5.2994,5.2994,5.2994,5.2994,null
CM-JittaLine,20071101,5.1999,5.1999,5.1999,5.1999,null
CM-JittaLine,20071201,5.1004,5.1004,5.1004,5.1004,null
CM-JittaLine,20080101,5.142,5.142,5.142,5.142,null
CM-JittaLine,20080201,5.1836,5.1836,5.1836,5.1836,null
CM-JittaLine,20080301,5.2253,5.2253,5.2253,5.2253,null
CM-JittaLine,20080401,5.2669,5.2669,5.2669,5.2669,null
CM-JittaLine,20080501,5.3085,5.3085,5.3085,5.3085,null
CM-JittaLine,20080601,5.3501,5.3501,5.3501,5.3501,null
CM-JittaLine,20080701,5.3917,5.3917,5.3917,5.3917,null
CM-JittaLine,20080801,5.4333,5.4333,5.4333,5.4333,null
CM-JittaLine,20080901,5.4749,5.4749,5.4749,5.4749,null
CM-JittaLine,20081001,5.5166,5.5166,5.5166,5.5166,null
CM-JittaLine,20081101,5.5582,5.5582,5.5582,5.5582,null
CM-JittaLine,20081201,5.5998,5.5998,5.5998,5.5998,null
CM-JittaLine,20090101,5.7454,5.7454,5.7454,5.7454,null
CM-JittaLine,20090201,5.8911,5.8911,5.8911,5.8911,null
CM-JittaLine,20090301,6.0368,6.0368,6.0368,6.0368,null
CM-JittaLine,20090401,6.1824,6.1824,6.1824,6.1824,null
