<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CMR-JittaLine,20061201,69.4875,69.4875,69.4875,69.4875,null
CMR-JittaLine,20070101,75.5913,75.5913,75.5913,75.5913,null
CMR-JittaLine,20070201,81.6951,81.6951,81.6951,81.6951,null
CMR-JittaLine,20070301,87.7988,87.7988,87.7988,87.7988,null
CMR-JittaLine,20070401,93.9026,93.9026,93.9026,93.9026,null
CMR-JittaLine,20070501,100.0064,100.0064,100.0064,100.0064,null
CMR-JittaLine,20070601,106.1102,106.1102,106.1102,106.1102,null
CMR-JittaLine,20070701,112.214,112.214,112.214,112.214,null
CMR-JittaLine,20070801,118.3177,118.3177,118.3177,118.3177,null
CMR-JittaLine,20070901,124.4215,124.4215,124.4215,124.4215,null
CMR-JittaLine,20071001,130.5253,130.5253,130.5253,130.5253,null
CMR-JittaLine,20071101,136.6291,136.6291,136.6291,136.6291,null
CMR-JittaLine,20071201,142.7329,142.7329,142.7329,142.7329,null
CMR-JittaLine,20080101,132.6422,132.6422,132.6422,132.6422,null
CMR-JittaLine,20080201,122.5516,122.5516,122.5516,122.5516,null
CMR-JittaLine,20080301,112.4609,112.4609,112.4609,112.4609,null
CMR-JittaLine,20080401,102.3703,102.3703,102.3703,102.3703,null
CMR-JittaLine,20080501,92.2797,92.2797,92.2797,92.2797,null
CMR-JittaLine,20080601,82.189,82.189,82.189,82.189,null
CMR-JittaLine,20080701,72.0984,72.0984,72.0984,72.0984,null
CMR-JittaLine,20080801,62.0077,62.0077,62.0077,62.0077,null
CMR-JittaLine,20080901,51.9171,51.9171,51.9171,51.9171,null
CMR-JittaLine,20081001,41.8264,41.8264,41.8264,41.8264,null
CMR-JittaLine,20081101,31.7358,31.7358,31.7358,31.7358,null
CMR-JittaLine,20081201,21.6451,21.6451,21.6451,21.6451,null
CMR-JittaLine,20090101,25.2356,25.2356,25.2356,25.2356,null
CMR-JittaLine,20090201,28.8261,28.8261,28.8261,28.8261,null
CMR-JittaLine,20090301,32.4166,32.4166,32.4166,32.4166,null
CMR-JittaLine,20090401,36.0071,36.0071,36.0071,36.0071,null
CMR-JittaLine,20090501,39.5976,39.5976,39.5976,39.5976,null
CMR-JittaLine,20090601,43.1881,43.1881,43.1881,43.1881,null
