<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CPR-JittaLine,20061201,3.4606,3.4606,3.4606,3.4606,null
CPR-JittaLine,20070101,3.4111,3.4111,3.4111,3.4111,null
CPR-JittaLine,20070201,3.3617,3.3617,3.3617,3.3617,null
CPR-JittaLine,20070301,3.3122,3.3122,3.3122,3.3122,null
CPR-JittaLine,20070401,3.2628,3.2628,3.2628,3.2628,null
CPR-JittaLine,20070501,3.2134,3.2134,3.2134,3.2134,null
CPR-JittaLine,20070601,3.1639,3.1639,3.1639,3.1639,null
CPR-JittaLine,20070701,3.1145,3.1145,3.1145,3.1145,null
CPR-JittaLine,20070801,3.0651,3.0651,3.0651,3.0651,null
CPR-JittaLine,20070901,3.0156,3.0156,3.0156,3.0156,null
CPR-JittaLine,20071001,2.9662,2.9662,2.9662,2.9662,null
CPR-JittaLine,20071101,2.9168,2.9168,2.9168,2.9168,null
CPR-JittaLine,20071201,2.8673,2.8673,2.8673,2.8673,null
CPR-JittaLine,20080101,2.7134,2.7134,2.7134,2.7134,null
CPR-JittaLine,20080201,2.5595,2.5595,2.5595,2.5595,null
CPR-JittaLine,20080301,2.4056,2.4056,2.4056,2.4056,null
CPR-JittaLine,20080401,2.2516,2.2516,2.2516,2.2516,null
CPR-JittaLine,20080501,2.0977,2.0977,2.0977,2.0977,null
CPR-JittaLine,20080601,1.9438,1.9438,1.9438,1.9438,null
CPR-JittaLine,20080701,1.7899,1.7899,1.7899,1.7899,null
CPR-JittaLine,20080801,1.6359,1.6359,1.6359,1.6359,null
CPR-JittaLine,20080901,1.482,1.482,1.482,1.482,null
CPR-JittaLine,20081001,1.3281,1.3281,1.3281,1.3281,null
CPR-JittaLine,20081101,1.1742,1.1742,1.1742,1.1742,null
CPR-JittaLine,20081201,1.0202,1.0202,1.0202,1.0202,null
CPR-JittaLine,20090101,1.0043,1.0043,1.0043,1.0043,null
CPR-JittaLine,20090201,0.9884,0.9884,0.9884,0.9884,null
CPR-JittaLine,20090301,0.9726,0.9726,0.9726,0.9726,null
CPR-JittaLine,20090401,0.9567,0.9567,0.9567,0.9567,null
CPR-JittaLine,20090501,0.9408,0.9408,0.9408,0.9408,null
CPR-JittaLine,20090601,0.9249,0.9249,0.9249,0.9249,null
CPR-JittaLine,20090701,0.909,0.909,0.909,0.909,null
CPR-JittaLine,20090801,0.8931,0.8931,0.8931,0.8931,null
CPR-JittaLine,20090901,0.8772,0.8772,0.8772,0.8772,null
CPR-JittaLine,20091001,0.8613,0.8613,0.8613,0.8613,null
CPR-JittaLine,20091101,0.8454,0.8454,0.8454,0.8454,null
CPR-JittaLine,20091201,0.8295,0.8295,0.8295,0.8295,null
CPR-JittaLine,20100101,1.0839,1.0839,1.0839,1.0839,null
CPR-JittaLine,20100201,1.3383,1.3383,1.3383,1.3383,null
CPR-JittaLine,20100301,1.5927,1.5927,1.5927,1.5927,null
CPR-JittaLine,20100401,1.8472,1.8472,1.8472,1.8472,null
CPR-JittaLine,20100501,2.1016,2.1016,2.1016,2.1016,null
CPR-JittaLine,20100601,2.356,2.356,2.356,2.356,null
CPR-JittaLine,20100701,2.6104,2.6104,2.6104,2.6104,null
CPR-JittaLine,20100801,2.8648,2.8648,2.8648,2.8648,null
CPR-JittaLine,20100901,3.1192,3.1192,3.1192,3.1192,null
CPR-JittaLine,20101001,3.3736,3.3736,3.3736,3.3736,null
CPR-JittaLine,20101101,3.6281,3.6281,3.6281,3.6281,null
CPR-JittaLine,20101201,3.8825,3.8825,3.8825,3.8825,null
CPR-JittaLine,20110101,3.8396,3.8396,3.8396,3.8396,null
CPR-JittaLine,20110201,3.7968,3.7968,3.7968,3.7968,null
CPR-JittaLine,20110301,3.7539,3.7539,3.7539,3.7539,null
CPR-JittaLine,20110401,3.7111,3.7111,3.7111,3.7111,null
CPR-JittaLine,20110501,3.6682,3.6682,3.6682,3.6682,null
CPR-JittaLine,20110601,3.6254,3.6254,3.6254,3.6254,null
CPR-JittaLine,20110701,3.5825,3.5825,3.5825,3.5825,null
CPR-JittaLine,20110801,3.5396,3.5396,3.5396,3.5396,null
CPR-JittaLine,20110901,3.4968,3.4968,3.4968,3.4968,null
CPR-JittaLine,20111001,3.4539,3.4539,3.4539,3.4539,null
CPR-JittaLine,20111101,3.4111,3.4111,3.4111,3.4111,null
CPR-JittaLine,20111201,3.3682,3.3682,3.3682,3.3682,null
CPR-JittaLine,20120101,3.5409,3.5409,3.5409,3.5409,null
CPR-JittaLine,20120201,3.7136,3.7136,3.7136,3.7136,null
CPR-JittaLine,20120301,3.8863,3.8863,3.8863,3.8863,null
CPR-JittaLine,20120401,4.059,4.059,4.059,4.059,null
CPR-JittaLine,20120501,4.2317,4.2317,4.2317,4.2317,null
CPR-JittaLine,20120601,4.4044,4.4044,4.4044,4.4044,null
CPR-JittaLine,20120701,4.5771,4.5771,4.5771,4.5771,null
CPR-JittaLine,20120801,4.7498,4.7498,4.7498,4.7498,null
CPR-JittaLine,20120901,4.9225,4.9225,4.9225,4.9225,null
CPR-JittaLine,20121001,5.0952,5.0952,5.0952,5.0952,null
CPR-JittaLine,20121101,5.2679,5.2679,5.2679,5.2679,null
CPR-JittaLine,20121201,5.4405,5.4405,5.4405,5.4405,null
CPR-JittaLine,20130101,5.4471,5.4471,5.4471,5.4471,null
CPR-JittaLine,20130201,5.4537,5.4537,5.4537,5.4537,null
CPR-JittaLine,20130301,5.4603,5.4603,5.4603,5.4603,null
CPR-JittaLine,20130401,5.4669,5.4669,5.4669,5.4669,null
CPR-JittaLine,20130501,5.4735,5.4735,5.4735,5.4735,null
CPR-JittaLine,20130601,5.4801,5.4801,5.4801,5.4801,null
CPR-JittaLine,20130701,5.4867,5.4867,5.4867,5.4867,null
CPR-JittaLine,20130801,5.4933,5.4933,5.4933,5.4933,null
CPR-JittaLine,20130901,5.4999,5.4999,5.4999,5.4999,null
CPR-JittaLine,20131001,5.5065,5.5065,5.5065,5.5065,null
CPR-JittaLine,20131101,5.5131,5.5131,5.5131,5.5131,null
CPR-JittaLine,20131201,5.5197,5.5197,5.5197,5.5197,null
CPR-JittaLine,20140101,5.5289,5.5289,5.5289,5.5289,null
CPR-JittaLine,20140201,5.538,5.538,5.538,5.538,null
CPR-JittaLine,20140301,5.5472,5.5472,5.5472,5.5472,null
CPR-JittaLine,20140401,5.5563,5.5563,5.5563,5.5563,null
CPR-JittaLine,20140501,5.5655,5.5655,5.5655,5.5655,null
CPR-JittaLine,20140601,5.5746,5.5746,5.5746,5.5746,null
CPR-JittaLine,20140701,5.5837,5.5837,5.5837,5.5837,null
CPR-JittaLine,20140801,5.5929,5.5929,5.5929,5.5929,null
CPR-JittaLine,20140901,5.602,5.602,5.602,5.602,null
CPR-JittaLine,20141001,5.6112,5.6112,5.6112,5.6112,null
CPR-JittaLine,20141101,5.6203,5.6203,5.6203,5.6203,null
CPR-JittaLine,20141201,5.6295,5.6295,5.6295,5.6295,null
CPR-JittaLine,20150101,5.61,5.61,5.61,5.61,null
CPR-JittaLine,20150201,5.5905,5.5905,5.5905,5.5905,null
CPR-JittaLine,20150301,5.571,5.571,5.571,5.571,null
CPR-JittaLine,20150401,5.5515,5.5515,5.5515,5.5515,null
CPR-JittaLine,20150501,5.532,5.532,5.532,5.532,null
CPR-JittaLine,20150601,5.5125,5.5125,5.5125,5.5125,null
CPR-JittaLine,20150701,5.493,5.493,5.493,5.493,null
CPR-JittaLine,20150801,5.4735,5.4735,5.4735,5.4735,null
CPR-JittaLine,20150901,5.454,5.454,5.454,5.454,null
CPR-JittaLine,20151001,5.4345,5.4345,5.4345,5.4345,null
CPR-JittaLine,20151101,5.415,5.415,5.415,5.415,null
CPR-JittaLine,20151201,5.3955,5.3955,5.3955,5.3955,null
