<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CSL,20061201,2.96420442,2.96420442,2.96420442,2.96420442,null
CSL,20070101,2.93145078,2.93145078,2.93145078,2.93145078,null
CSL,20070201,2.99695806,2.99695806,2.99695806,2.99695806,null
CSL,20070301,2.89869714,2.89869714,2.89869714,2.89869714,null
CSL,20070401,3.0297117,3.0297117,3.0297117,3.0297117,null
CSL,20070501,3.25898718,3.25898718,3.25898718,3.25898718,null
CSL,20070601,3.37362492,3.37362492,3.37362492,3.37362492,null
CSL,20070701,3.55376994,3.55376994,3.55376994,3.55376994,null
CSL,20070801,3.37362492,3.37362492,3.37362492,3.37362492,null
CSL,20070901,3.53739312,3.53739312,3.53739312,3.53739312,null
CSL,20071001,3.5210163,3.5210163,3.5210163,3.5210163,null
CSL,20071101,3.4391322,3.4391322,3.4391322,3.4391322,null
CSL,20071201,3.22623354,3.22623354,3.22623354,3.22623354,null
CSL,20080101,3.01333488,3.01333488,3.01333488,3.01333488,null
CSL,20080201,3.1934799,3.1934799,3.1934799,3.1934799,null
CSL,20080301,3.40637856,3.40637856,3.40637856,3.40637856,null
CSL,20080401,3.3572481,3.3572481,3.3572481,3.3572481,null
CSL,20080501,3.24261036,3.24261036,3.24261036,3.24261036,null
CSL,20080601,3.30,3.30,3.30,3.30,null
CSL,20080701,2.92,2.92,2.92,2.92,null
CSL,20080801,2.86,2.86,2.86,2.86,null
CSL,20080901,2.78,2.78,2.78,2.78,null
CSL,20081001,1.91,1.91,1.91,1.91,null
CSL,20081101,1.99,1.99,1.99,1.99,null
CSL,20081201,2.14,2.14,2.14,2.14,null
CSL,20090101,2.26,2.26,2.26,2.26,null
CSL,20090201,2.48,2.48,2.48,2.48,null
CSL,20090301,2.54,2.54,2.54,2.54,null
CSL,20090401,2.46,2.46,2.46,2.46,null
CSL,20090501,2.62,2.62,2.62,2.62,null
CSL,20090601,2.76,2.76,2.76,2.76,null
CSL,20090701,3.20,3.20,3.20,3.20,null
CSL,20090801,3.56,3.56,3.56,3.56,null
CSL,20090901,3.28,3.28,3.28,3.28,null
CSL,20091001,2.98,2.98,2.98,2.98,null
CSL,20091101,3.02,3.02,3.02,3.02,null
CSL,20091201,3.08,3.08,3.08,3.08,null
CSL,20100101,3.12,3.12,3.12,3.12,null
CSL,20100201,3.28,3.28,3.28,3.28,null
CSL,20100301,3.36,3.36,3.36,3.36,null
CSL,20100401,3.02,3.02,3.02,3.02,null
CSL,20100501,3.22,3.22,3.22,3.22,null
CSL,20100601,3.44,3.44,3.44,3.44,null
CSL,20100701,4.14,4.14,4.14,4.14,null
CSL,20100801,4.72,4.72,4.72,4.72,null
CSL,20100901,4.74,4.74,4.74,4.74,null
CSL,20101001,4.74,4.74,4.74,4.74,null
CSL,20101101,4.96,4.96,4.96,4.96,null
CSL,20101201,5.30,5.30,5.30,5.30,null
CSL,20110101,4.92,4.92,4.92,4.92,null
CSL,20110201,5.15,5.15,5.15,5.15,null
CSL,20110301,5.25,5.25,5.25,5.25,null
CSL,20110401,5.10,5.10,5.10,5.10,null
CSL,20110501,5.75,5.75,5.75,5.75,null
CSL,20110601,5.70,5.70,5.70,5.70,null
CSL,20110701,6.60,6.60,6.60,6.60,null
CSL,20110801,5.95,5.95,5.95,5.95,null
CSL,20110901,4.98,4.98,4.98,4.98,null
CSL,20111001,5.25,5.25,5.25,5.25,null
CSL,20111101,5.25,5.25,5.25,5.25,null
CSL,20111201,5.60,5.60,5.60,5.60,null
CSL,20120101,6.05,6.05,6.05,6.05,null
CSL,20120201,6.10,6.10,6.10,6.10,null
CSL,20120301,6.35,6.35,6.35,6.35,null
CSL,20120401,6.25,6.25,6.25,6.25,null
CSL,20120501,6.75,6.75,6.75,6.75,null
CSL,20120601,7.35,7.35,7.35,7.35,null
CSL,20120701,8.15,8.15,8.15,8.15,null
CSL,20120801,7.65,7.65,7.65,7.65,null
CSL,20120901,8.70,8.70,8.70,8.70,null
CSL,20121001,9.20,9.20,9.20,9.20,null
CSL,20121101,8.95,8.95,8.95,8.95,null
CSL,20121201,9.80,9.80,9.80,9.80,null
CSL,20130101,10.00,10.00,10.00,10.00,null
CSL,20130201,11.40,11.40,11.40,11.40,null
CSL,20130301,12.90,12.90,12.90,12.90,null
CSL,20130401,13.10,13.10,13.10,13.10,null
CSL,20130501,13.20,13.20,13.20,13.20,null
CSL,20130601,12.00,12.00,12.00,12.00,null
CSL,20130701,12.00,12.00,12.00,12.00,null
CSL,20130801,10.00,10.00,10.00,10.00,null
CSL,20130901,10.90,10.90,10.90,10.90,null
CSL,20131001,11.10,11.10,11.10,11.10,null
CSL,20131101,10.30,10.30,10.30,10.30,null
CSL,20131201,10.10,10.10,10.10,10.10,null
CSL,20140101,9.90,9.90,9.90,9.90,null
CSL,20140201,10.40,10.40,10.40,10.40,null
CSL,20140301,10.60,10.60,10.60,10.60,null
CSL,20140401,10.30,10.30,10.30,10.30,null
CSL,20140501,10.20,10.20,10.20,10.20,null
CSL,20140601,10.40,10.40,10.40,10.40,null
CSL,20140701,10.20,10.20,10.20,10.20,null
CSL,20140801,10.10,10.10,10.10,10.10,null
CSL,20140901,10.10,10.10,10.10,10.10,null
CSL,20141001,10.00,10.00,10.00,10.00,null
CSL,20141101,8.00,8.00,8.00,8.00,null
CSL,20141201,7.70,7.70,7.70,7.70,null
CSL,20150101,7.75,7.75,7.75,7.75,null
