<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CTW,20061201,9.15,9.15,9.15,9.15,149176.84210526
CTW,20070101,9.00,9.00,9.00,9.00,119228.57142857
CTW,20070201,9.50,9.50,9.50,9.50,230340
CTW,20070301,8.05,8.05,8.05,8.05,319352.38095238
CTW,20070401,8.65,8.65,8.65,8.65,136511.11111111
CTW,20070501,7.85,7.85,7.85,7.85,336520
CTW,20070601,7.95,7.95,7.95,7.95,47857.14285714
CTW,20070701,7.65,7.65,7.65,7.65,106214.28571429
CTW,20070801,7.60,7.60,7.60,7.60,137663.63636364
CTW,20070901,7.30,7.30,7.30,7.30,17836.84210526
CTW,20071001,7.20,7.20,7.20,7.20,35571.42857143
CTW,20071101,7.30,7.30,7.30,7.30,65550
CTW,20071201,7.45,7.45,7.45,7.45,54470.58823529
CTW,20080101,7.45,7.45,7.45,7.45,83745
CTW,20080201,7.45,7.45,7.45,7.45,59440
CTW,20080301,7.60,7.60,7.60,7.60,27188.88888889
CTW,20080401,7.00,7.00,7.00,7.00,19857.14285714
CTW,20080501,6.90,6.90,6.90,6.90,27043.75
CTW,20080601,6.40,6.40,6.40,6.40,11937.5
CTW,20080701,5.90,5.90,5.90,5.90,23000
CTW,20080801,5.70,5.70,5.70,5.70,12427.27272727
CTW,20080901,5.20,5.20,5.20,5.20,7733.33333333
CTW,20081001,3.50,3.50,3.50,3.50,11507.69230769
CTW,20081101,3.70,3.70,3.70,3.70,3711.11111111
CTW,20081201,4.50,4.50,4.50,4.50,27563.63636364
CTW,20090101,3.72,3.72,3.72,3.72,6600
CTW,20090201,3.10,3.10,3.10,3.10,12900
CTW,20090301,2.70,2.70,2.70,2.70,4657.14285714
CTW,20090401,3.10,3.10,3.10,3.10,200
CTW,20090501,3.14,3.14,3.14,3.14,165446.66666667
CTW,20090601,3.00,3.00,3.00,3.00,115276.19047619
CTW,20090701,3.00,3.00,3.00,3.00,32843.75
CTW,20090801,3.62,3.62,3.62,3.62,120794.73684211
CTW,20090901,4.26,4.26,4.26,4.26,118972.72727273
CTW,20091001,4.14,4.14,4.14,4.14,54275
CTW,20091101,4.46,4.46,4.46,4.46,69728.57142857
CTW,20091201,5.45,5.45,5.45,5.45,48500
CTW,20100101,5.40,5.40,5.40,5.40,1010775
CTW,20100201,5.55,5.55,5.55,5.55,243165
CTW,20100301,4.94,4.94,4.94,4.94,111754.54545455
CTW,20100401,5.25,5.25,5.25,5.25,73450
CTW,20100501,5.60,5.60,5.60,5.60,284943.75
CTW,20100601,6.80,6.80,6.80,6.80,582481.81818182
CTW,20100701,7.15,7.15,7.15,7.15,1391380
CTW,20100801,8.10,8.10,8.10,8.10,1325925
CTW,20100901,8.05,8.05,8.05,8.05,838431.81818182
CTW,20101001,8.65,8.65,8.65,8.65,859520
CTW,20101101,11.60,11.60,11.60,11.60,10438931.8181818
CTW,20101201,13.10,13.10,13.10,13.10,7387610
CTW,20110101,12.00,12.00,12.00,12.00,3926985
CTW,20110201,10.40,10.40,10.40,10.40,1617842.10526316
CTW,20110301,10.60,10.60,10.60,10.60,1567273.91304348
