<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DCC-JittaScore,20061201,5.80,5.80,5.80,5.80,null
DCC-JittaScore,20070101,4.45,4.45,4.45,4.45,null
DCC-JittaScore,20070201,4.45,4.45,4.45,4.45,null
DCC-JittaScore,20070301,4.45,4.45,4.45,4.45,null
DCC-JittaScore,20070401,4.70,4.70,4.70,4.70,null
DCC-JittaScore,20070501,4.70,4.70,4.70,4.70,null
DCC-JittaScore,20070601,4.70,4.70,4.70,4.70,null
DCC-JittaScore,20070701,4.20,4.20,4.20,4.20,null
DCC-JittaScore,20070801,4.20,4.20,4.20,4.20,null
DCC-JittaScore,20070901,4.20,4.20,4.20,4.20,null
DCC-JittaScore,20071001,3.88,3.88,3.88,3.88,null
DCC-JittaScore,20071101,3.88,3.88,3.88,3.88,null
DCC-JittaScore,20071201,3.88,3.88,3.88,3.88,null
DCC-JittaScore,20080101,3.63,3.63,3.63,3.63,null
DCC-JittaScore,20080201,3.63,3.63,3.63,3.63,null
DCC-JittaScore,20080301,3.63,3.63,3.63,3.63,null
DCC-JittaScore,20080401,3.33,3.33,3.33,3.33,null
DCC-JittaScore,20080501,3.33,3.33,3.33,3.33,null
DCC-JittaScore,20080601,3.33,3.33,3.33,3.33,null
DCC-JittaScore,20080701,3.33,3.33,3.33,3.33,null
DCC-JittaScore,20080801,3.33,3.33,3.33,3.33,null
DCC-JittaScore,20080901,3.33,3.33,3.33,3.33,null
DCC-JittaScore,20081001,4.20,4.20,4.20,4.20,null
DCC-JittaScore,20081101,4.20,4.20,4.20,4.20,null
DCC-JittaScore,20081201,4.20,4.20,4.20,4.20,null
DCC-JittaScore,20090101,5.20,5.20,5.20,5.20,null
DCC-JittaScore,20090201,5.20,5.20,5.20,5.20,null
DCC-JittaScore,20090301,5.20,5.20,5.20,5.20,null
DCC-JittaScore,20090401,5.45,5.45,5.45,5.45,null
DCC-JittaScore,20090501,5.45,5.45,5.45,5.45,null
DCC-JittaScore,20090601,5.45,5.45,5.45,5.45,null
DCC-JittaScore,20090701,5.45,5.45,5.45,5.45,null
DCC-JittaScore,20090801,5.45,5.45,5.45,5.45,null
DCC-JittaScore,20090901,5.45,5.45,5.45,5.45,null
DCC-JittaScore,20091001,6.30,6.30,6.30,6.30,null
DCC-JittaScore,20091101,6.30,6.30,6.30,6.30,null
DCC-JittaScore,20091201,6.30,6.30,6.30,6.30,null
DCC-JittaScore,20100101,6.20,6.20,6.20,6.20,null
DCC-JittaScore,20100201,6.20,6.20,6.20,6.20,null
DCC-JittaScore,20100301,6.20,6.20,6.20,6.20,null
DCC-JittaScore,20100401,6.40,6.40,6.40,6.40,null
DCC-JittaScore,20100501,6.40,6.40,6.40,6.40,null
DCC-JittaScore,20100601,6.40,6.40,6.40,6.40,null
DCC-JittaScore,20100701,6.40,6.40,6.40,6.40,null
DCC-JittaScore,20100801,6.40,6.40,6.40,6.40,null
DCC-JittaScore,20100901,6.40,6.40,6.40,6.40,null
DCC-JittaScore,20101001,8.00,8.00,8.00,8.00,null
DCC-JittaScore,20101101,8.00,8.00,8.00,8.00,null
DCC-JittaScore,20101201,8.00,8.00,8.00,8.00,null
DCC-JittaScore,20110101,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110201,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110301,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110401,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110501,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110601,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110701,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110801,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20110901,7.90,7.90,7.90,7.90,null
DCC-JittaScore,20111001,7.85,7.85,7.85,7.85,null
DCC-JittaScore,20111101,7.85,7.85,7.85,7.85,null
DCC-JittaScore,20111201,7.85,7.85,7.85,7.85,null
DCC-JittaScore,20120101,7.85,7.85,7.85,7.85,null
DCC-JittaScore,20120201,7.85,7.85,7.85,7.85,null
DCC-JittaScore,20120301,7.85,7.85,7.85,7.85,null
DCC-JittaScore,20120401,7.50,7.50,7.50,7.50,null
DCC-JittaScore,20120501,7.50,7.50,7.50,7.50,null
DCC-JittaScore,20120601,7.50,7.50,7.50,7.50,null
DCC-JittaScore,20120701,7.50,7.50,7.50,7.50,null
DCC-JittaScore,20120801,7.50,7.50,7.50,7.50,null
DCC-JittaScore,20120901,7.50,7.50,7.50,7.50,null
DCC-JittaScore,20121001,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20121101,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20121201,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20130101,7.20,7.20,7.20,7.20,null
DCC-JittaScore,20130201,7.20,7.20,7.20,7.20,null
DCC-JittaScore,20130301,7.20,7.20,7.20,7.20,null
DCC-JittaScore,20130401,7.25,7.25,7.25,7.25,null
DCC-JittaScore,20130501,7.25,7.25,7.25,7.25,null
DCC-JittaScore,20130601,7.25,7.25,7.25,7.25,null
DCC-JittaScore,20130701,7.20,7.20,7.20,7.20,null
DCC-JittaScore,20130801,7.20,7.20,7.20,7.20,null
DCC-JittaScore,20130901,7.20,7.20,7.20,7.20,null
DCC-JittaScore,20131001,7.25,7.25,7.25,7.25,null
DCC-JittaScore,20131101,7.25,7.25,7.25,7.25,null
DCC-JittaScore,20131201,7.25,7.25,7.25,7.25,null
DCC-JittaScore,20140101,7.00,7.00,7.00,7.00,null
DCC-JittaScore,20140201,7.00,7.00,7.00,7.00,null
DCC-JittaScore,20140301,7.00,7.00,7.00,7.00,null
DCC-JittaScore,20140401,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20140501,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20140601,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20140701,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20140801,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20140901,6.45,6.45,6.45,6.45,null
DCC-JittaScore,20141001,3.90,3.90,3.90,3.90,null
DCC-JittaScore,20141101,3.90,3.90,3.90,3.90,null
DCC-JittaScore,20141201,3.90,3.90,3.90,3.90,null
DCC-JittaScore,20150101,3.90,3.90,3.90,3.90,null
DCC-JittaScore,20150201,3.90,3.90,3.90,3.90,null
DCC-JittaScore,20150301,3.90,3.90,3.90,3.90,null
DCC-JittaScore,20150401,3.35,3.35,3.35,3.35,null
DCC-JittaScore,20150501,3.35,3.35,3.35,3.35,null
DCC-JittaScore,20150601,3.35,3.35,3.35,3.35,null
DCC-JittaScore,20150701,3.35,3.35,3.35,3.35,null
DCC-JittaScore,20150801,3.35,3.35,3.35,3.35,null
DCC-JittaScore,20150901,3.35,3.35,3.35,3.35,null
DCC-JittaScore,20151001,4.05,4.05,4.05,4.05,null
DCC-JittaScore,20151101,4.05,4.05,4.05,4.05,null
DCC-JittaScore,20151201,4.05,4.05,4.05,4.05,null
DCC-JittaScore,20160101,6.65,6.65,6.65,6.65,null
DCC-JittaScore,20160201,6.65,6.65,6.65,6.65,null
DCC-JittaScore,20160301,6.65,6.65,6.65,6.65,null
DCC-JittaScore,20160401,6.78,6.78,6.78,6.78,null
DCC-JittaScore,20160501,6.78,6.78,6.78,6.78,null
DCC-JittaScore,20160601,6.78,6.78,6.78,6.78,null
