<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DELTA,20061201,17.30,17.30,17.30,17.30,1393335.15789474
DELTA,20070101,17.50,17.50,17.50,17.50,1009995.23809524
DELTA,20070201,17.50,17.50,17.50,17.50,1827120
DELTA,20070301,15.30,15.30,15.30,15.30,1208414.28571429
DELTA,20070401,15.50,15.50,15.50,15.50,758783.33333333
DELTA,20070501,18.70,18.70,18.70,18.70,4646260
DELTA,20070601,22.90,22.90,22.90,22.90,3191771.42857143
DELTA,20070701,24.90,24.90,24.90,24.90,1498852.38095238
DELTA,20070801,21.30,21.30,21.30,21.30,1209800
DELTA,20070901,21.00,21.00,21.00,21.00,677350
DELTA,20071001,21.60,21.60,21.60,21.60,662140.90909091
DELTA,20071101,21.80,21.80,21.80,21.80,1026590.90909091
DELTA,20071201,21.80,21.80,21.80,21.80,718911.76470588
DELTA,20080101,21.60,21.60,21.60,21.60,1375300
DELTA,20080201,23.20,23.20,23.20,23.20,1602015
DELTA,20080301,21.10,21.10,21.10,21.10,769776.19047619
DELTA,20080401,21.20,21.20,21.20,21.20,415536.84210526
DELTA,20080501,21.00,21.00,21.00,21.00,728315.78947368
DELTA,20080601,20.50,20.50,20.50,20.50,501295.23809524
DELTA,20080701,18.60,18.60,18.60,18.60,266076.19047619
DELTA,20080801,17.50,17.50,17.50,17.50,505225
DELTA,20080901,15.90,15.90,15.90,15.90,404500
DELTA,20081001,10.40,10.40,10.40,10.40,358709.09090909
DELTA,20081101,10.40,10.40,10.40,10.40,375210
DELTA,20081201,12.20,12.20,12.20,12.20,366870
DELTA,20090101,9.55,9.55,9.55,9.55,797995
DELTA,20090201,10.60,10.60,10.60,10.60,630189.47368421
DELTA,20090301,9.20,9.20,9.20,9.20,459845.45454546
DELTA,20090401,11.90,11.90,11.90,11.90,769738.88888889
DELTA,20090501,14.60,14.60,14.60,14.60,1148050
DELTA,20090601,12.80,12.80,12.80,12.80,759718.18181818
DELTA,20090701,15.60,15.60,15.60,15.60,1509130
DELTA,20090801,17.50,17.50,17.50,17.50,2316195
DELTA,20090901,17.70,17.70,17.70,17.70,1140581.81818182
DELTA,20091001,17.30,17.30,17.30,17.30,1358195.23809524
DELTA,20091101,17.70,17.70,17.70,17.70,738319.04761905
DELTA,20091201,18.60,18.60,18.60,18.60,621020
DELTA,20100101,17.50,17.50,17.50,17.50,723190
DELTA,20100201,18.70,18.70,18.70,18.70,1289600
DELTA,20100301,18.80,18.80,18.80,18.80,1931804.54545455
DELTA,20100401,21.60,21.60,21.60,21.60,1986755.55555556
DELTA,20100501,20.40,20.40,20.40,20.40,1584150
DELTA,20100601,23.10,23.10,23.10,23.10,1726081.81818182
DELTA,20100701,26.25,26.25,26.25,26.25,1979985
DELTA,20100801,28.75,28.75,28.75,28.75,2004270
DELTA,20100901,27.25,27.25,27.25,27.25,2362931.81818182
DELTA,20101001,31.75,31.75,31.75,31.75,4288060
DELTA,20101101,32.75,32.75,32.75,32.75,3017281.81818182
DELTA,20101201,35.00,35.00,35.00,35.00,3751195
DELTA,20110101,28.50,28.50,28.50,28.50,3545805
DELTA,20110201,27.50,27.50,27.50,27.50,1384173.68421053
DELTA,20110301,26.75,26.75,26.75,26.75,1363391.30434783
DELTA,20110401,26.25,26.25,26.25,26.25,1637752.94117647
DELTA,20110501,24.70,24.70,24.70,24.70,2263577.77777778
DELTA,20110601,24.80,24.80,24.80,24.80,806218.18181818
DELTA,20110701,27.25,27.25,27.25,27.25,783852.63157895
DELTA,20110801,21.90,21.90,21.90,21.90,1642086.36363636
DELTA,20110901,19.50,19.50,19.50,19.50,1024977.27272727
DELTA,20111001,18.60,18.60,18.60,18.60,560400
DELTA,20111101,19.80,19.80,19.80,19.80,674095.45454546
DELTA,20111201,21.70,21.70,21.70,21.70,615125
DELTA,20120101,21.40,21.40,21.40,21.40,899815
DELTA,20120201,23.00,23.00,23.00,23.00,1808033.33333333
DELTA,20120301,26.00,26.00,26.00,26.00,1031033.33333333
DELTA,20120401,24.70,24.70,24.70,24.70,725423.52941177
DELTA,20120501,21.60,21.60,21.60,21.60,1045542.85714286
DELTA,20120601,21.40,21.40,21.40,21.40,684135
DELTA,20120701,23.80,23.80,23.80,23.80,1158554.54545455
DELTA,20120801,24.70,24.70,24.70,24.70,778414.28571429
DELTA,20120901,25.75,25.75,25.75,25.75,893000
DELTA,20121001,29.25,29.25,29.25,29.25,1291581.81818182
DELTA,20121101,30.50,30.50,30.50,30.50,1474404.54545455
DELTA,20121201,32.00,32.00,32.00,32.00,1020394.44444444
DELTA,20130101,35.50,35.50,35.50,35.50,1438559.09090909
DELTA,20130201,38.00,38.00,38.00,38.00,2425168.42105263
DELTA,20130301,37.75,37.75,37.75,37.75,1390138.0952381
DELTA,20130401,38.00,38.00,38.00,38.00,1628052.63157895
DELTA,20130501,36.50,36.50,36.50,36.50,2046480
DELTA,20130601,40.00,40.00,40.00,40.00,2625700
DELTA,20130701,44.75,44.75,44.75,44.75,2364457.14285714
DELTA,20130801,43.75,43.75,43.75,43.75,2154452.38095238
