<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DRACO-JittaLine,20061201,1.9051,1.9051,1.9051,1.9051,null
DRACO-JittaLine,20070101,2.6732,2.6732,2.6732,2.6732,null
DRACO-JittaLine,20070201,3.4414,3.4414,3.4414,3.4414,null
DRACO-JittaLine,20070301,4.2095,4.2095,4.2095,4.2095,null
DRACO-JittaLine,20070401,4.9777,4.9777,4.9777,4.9777,null
DRACO-JittaLine,20070501,5.7458,5.7458,5.7458,5.7458,null
DRACO-JittaLine,20070601,6.514,6.514,6.514,6.514,null
DRACO-JittaLine,20070701,7.2821,7.2821,7.2821,7.2821,null
DRACO-JittaLine,20070801,8.0503,8.0503,8.0503,8.0503,null
DRACO-JittaLine,20070901,8.8184,8.8184,8.8184,8.8184,null
DRACO-JittaLine,20071001,9.5866,9.5866,9.5866,9.5866,null
DRACO-JittaLine,20071101,10.3547,10.3547,10.3547,10.3547,null
DRACO-JittaLine,20071201,11.1229,11.1229,11.1229,11.1229,null
DRACO-JittaLine,20080101,11.0462,11.0462,11.0462,11.0462,null
DRACO-JittaLine,20080201,10.9694,10.9694,10.9694,10.9694,null
DRACO-JittaLine,20080301,10.8927,10.8927,10.8927,10.8927,null
DRACO-JittaLine,20080401,10.816,10.816,10.816,10.816,null
DRACO-JittaLine,20080501,10.7393,10.7393,10.7393,10.7393,null
DRACO-JittaLine,20080601,10.6626,10.6626,10.6626,10.6626,null
DRACO-JittaLine,20080701,10.5859,10.5859,10.5859,10.5859,null
DRACO-JittaLine,20080801,10.5092,10.5092,10.5092,10.5092,null
DRACO-JittaLine,20080901,10.4325,10.4325,10.4325,10.4325,null
DRACO-JittaLine,20081001,10.3557,10.3557,10.3557,10.3557,null
DRACO-JittaLine,20081101,10.279,10.279,10.279,10.279,null
DRACO-JittaLine,20081201,10.2023,10.2023,10.2023,10.2023,null
DRACO-JittaLine,20090101,9.9123,9.9123,9.9123,9.9123,null
DRACO-JittaLine,20090201,9.6222,9.6222,9.6222,9.6222,null
DRACO-JittaLine,20090301,9.3322,9.3322,9.3322,9.3322,null
DRACO-JittaLine,20090401,9.0421,9.0421,9.0421,9.0421,null
