<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSGT,20061201,1.19047726,1.19047726,1.19047726,1.19047726,null
DSGT,20070101,1.16190581,1.16190581,1.16190581,1.16190581,null
DSGT,20070201,1.16666772,1.16666772,1.16666772,1.16666772,null
DSGT,20070301,1.08095335,1.08095335,1.08095335,1.08095335,null
DSGT,20070401,1.17142963,1.17142963,1.17142963,1.17142963,null
DSGT,20070501,1.46428703,1.46428703,1.46428703,1.46428703,null
DSGT,20070601,1.8690493,1.8690493,1.8690493,1.8690493,null
DSGT,20070701,1.79762067,1.79762067,1.79762067,1.79762067,null
DSGT,20070801,1.78571589,1.78571589,1.78571589,1.78571589,null
DSGT,20070901,1.70238248,1.70238248,1.70238248,1.70238248,null
DSGT,20071001,1.66666817,1.66666817,1.66666817,1.66666817,null
DSGT,20071101,1.46428703,1.46428703,1.46428703,1.46428703,null
DSGT,20071201,1.54762044,1.54762044,1.54762044,1.54762044,null
DSGT,20080101,1.32142976,1.32142976,1.32142976,1.32142976,null
DSGT,20080201,1.33333453,1.33333453,1.33333453,1.33333453,null
DSGT,20080301,1.38095362,1.38095362,1.38095362,1.38095362,null
DSGT,20080401,1.25000113,1.25000113,1.25000113,1.25000113,null
DSGT,20080501,1.01428663,1.01428663,1.01428663,1.01428663,null
DSGT,20080601,1.00476281,1.00476281,1.00476281,1.00476281,null
DSGT,20080701,0.92857226,0.92857226,0.92857226,0.92857226,null
DSGT,20080801,0.85238172,0.85238172,0.85238172,0.85238172,null
DSGT,20080901,0.72857208,0.72857208,0.72857208,0.72857208,null
DSGT,20081001,0.70476254,0.70476254,0.70476254,0.70476254,null
DSGT,20081101,0.68095299,0.68095299,0.68095299,0.68095299,null
DSGT,20081201,0.6857149,0.6857149,0.6857149,0.6857149,null
DSGT,20090101,0.7380959,0.7380959,0.7380959,0.7380959,null
DSGT,20090201,0.70000063,0.70000063,0.70000063,0.70000063,null
DSGT,20090301,0.81428645,0.81428645,0.81428645,0.81428645,null
DSGT,20090401,0.87142936,0.87142936,0.87142936,0.87142936,null
