<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DTAC-JittaLine,20061201,78.6106,78.6106,78.6106,78.6106,null
DTAC-JittaLine,20070101,79.5868,79.5868,79.5868,79.5868,null
DTAC-JittaLine,20070201,80.5629,80.5629,80.5629,80.5629,null
DTAC-JittaLine,20070301,81.539,81.539,81.539,81.539,null
DTAC-JittaLine,20070401,82.5152,82.5152,82.5152,82.5152,null
DTAC-JittaLine,20070501,83.4913,83.4913,83.4913,83.4913,null
DTAC-JittaLine,20070601,84.4675,84.4675,84.4675,84.4675,null
DTAC-JittaLine,20070701,85.4436,85.4436,85.4436,85.4436,null
DTAC-JittaLine,20070801,86.4197,86.4197,86.4197,86.4197,null
DTAC-JittaLine,20070901,87.3959,87.3959,87.3959,87.3959,null
DTAC-JittaLine,20071001,88.372,88.372,88.372,88.372,null
DTAC-JittaLine,20071101,89.3481,89.3481,89.3481,89.3481,null
DTAC-JittaLine,20071201,90.3243,90.3243,90.3243,90.3243,null
DTAC-JittaLine,20080101,90.6458,90.6458,90.6458,90.6458,null
DTAC-JittaLine,20080201,90.9674,90.9674,90.9674,90.9674,null
DTAC-JittaLine,20080301,91.2889,91.2889,91.2889,91.2889,null
DTAC-JittaLine,20080401,91.6105,91.6105,91.6105,91.6105,null
DTAC-JittaLine,20080501,91.932,91.932,91.932,91.932,null
DTAC-JittaLine,20080601,92.2536,92.2536,92.2536,92.2536,null
DTAC-JittaLine,20080701,92.5751,92.5751,92.5751,92.5751,null
DTAC-JittaLine,20080801,92.8967,92.8967,92.8967,92.8967,null
DTAC-JittaLine,20080901,93.2182,93.2182,93.2182,93.2182,null
DTAC-JittaLine,20081001,93.5398,93.5398,93.5398,93.5398,null
DTAC-JittaLine,20081101,93.8613,93.8613,93.8613,93.8613,null
DTAC-JittaLine,20081201,94.1829,94.1829,94.1829,94.1829,null
DTAC-JittaLine,20090101,92.2225,92.2225,92.2225,92.2225,null
DTAC-JittaLine,20090201,90.2621,90.2621,90.2621,90.2621,null
DTAC-JittaLine,20090301,88.3017,88.3017,88.3017,88.3017,null
DTAC-JittaLine,20090401,86.3413,86.3413,86.3413,86.3413,null
DTAC-JittaLine,20090501,84.3809,84.3809,84.3809,84.3809,null
DTAC-JittaLine,20090601,82.4205,82.4205,82.4205,82.4205,null
DTAC-JittaLine,20090701,80.4601,80.4601,80.4601,80.4601,null
DTAC-JittaLine,20090801,78.4997,78.4997,78.4997,78.4997,null
DTAC-JittaLine,20090901,76.5394,76.5394,76.5394,76.5394,null
