<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
E-JittaLine,20100401,0.0036,0.0036,0.0036,0.0036,null
E-JittaLine,20100501,0.057,0.057,0.057,0.057,null
E-JittaLine,20100601,0.1104,0.1104,0.1104,0.1104,null
E-JittaLine,20100701,0.1639,0.1639,0.1639,0.1639,null
E-JittaLine,20100801,0.2173,0.2173,0.2173,0.2173,null
E-JittaLine,20100901,0.2707,0.2707,0.2707,0.2707,null
E-JittaLine,20101001,0.3241,0.3241,0.3241,0.3241,null
E-JittaLine,20101101,0.3775,0.3775,0.3775,0.3775,null
E-JittaLine,20101201,0.431,0.431,0.431,0.431,null
E-JittaLine,20110101,0.3235,0.3235,0.3235,0.3235,null
E-JittaLine,20110201,0.216,0.216,0.216,0.216,null
E-JittaLine,20110301,0.1085,0.1085,0.1085,0.1085,null
E-JittaLine,20110401,0.0011,0.0011,0.0011,0.0011,null
E-JittaLine,20121201,0.0115,0.0115,0.0115,0.0115,null
