<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EASTW,20061201,5.50,5.50,5.50,5.50,685421.05263158
EASTW,20070101,5.25,5.25,5.25,5.25,768661.90476191
EASTW,20070201,5.05,5.05,5.05,5.05,524330
EASTW,20070301,5.20,5.20,5.20,5.20,295723.80952381
EASTW,20070401,5.35,5.35,5.35,5.35,377850
EASTW,20070501,5.35,5.35,5.35,5.35,388395
EASTW,20070601,5.20,5.20,5.20,5.20,419695.23809524
EASTW,20070701,5.25,5.25,5.25,5.25,550771.42857143
EASTW,20070801,5.10,5.10,5.10,5.10,1091018.18181818
EASTW,20070901,5.00,5.00,5.00,5.00,668560
EASTW,20071001,5.10,5.10,5.10,5.10,1223522.72727273
EASTW,20071101,4.90,4.90,4.90,4.90,580727.27272727
EASTW,20071201,4.74,4.74,4.74,4.74,465558.82352941
EASTW,20080101,4.82,4.82,4.82,4.82,702854.54545455
EASTW,20080201,4.46,4.46,4.46,4.46,573875
EASTW,20080301,4.48,4.48,4.48,4.48,305519.04761905
EASTW,20080401,4.66,4.66,4.66,4.66,591642.10526316
EASTW,20080501,4.52,4.52,4.52,4.52,562784.21052632
EASTW,20080601,4.40,4.40,4.40,4.40,50950
EASTW,20080701,4.08,4.08,4.08,4.08,48094.73684211
EASTW,20080801,3.90,3.90,3.90,3.90,157342.10526316
EASTW,20080901,3.78,3.78,3.78,3.78,67545.45454545
EASTW,20081001,2.60,2.60,2.60,2.60,262157.14285714
EASTW,20081101,2.60,2.60,2.60,2.60,205957.89473684
EASTW,20081201,2.88,2.88,2.88,2.88,783015
EASTW,20090101,3.04,3.04,3.04,3.04,524855
EASTW,20090201,2.70,2.70,2.70,2.70,522063.15789474
EASTW,20090301,2.66,2.66,2.66,2.66,170181.81818182
EASTW,20090401,2.84,2.84,2.84,2.84,294916.66666667
EASTW,20090501,3.54,3.54,3.54,3.54,925411.11111111
EASTW,20090601,3.48,3.48,3.48,3.48,277804.54545455
EASTW,20090701,3.66,3.66,3.66,3.66,193915
EASTW,20090801,3.82,3.82,3.82,3.82,454870
EASTW,20090901,3.78,3.78,3.78,3.78,1582377.27272727
EASTW,20091001,3.78,3.78,3.78,3.78,1172338.0952381
EASTW,20091101,4.32,4.32,4.32,4.32,778376.19047619
EASTW,20091201,4.52,4.52,4.52,4.52,473440
EASTW,20100101,4.26,4.26,4.26,4.26,549415
EASTW,20100201,4.52,4.52,4.52,4.52,398495
EASTW,20100301,4.50,4.50,4.50,4.50,486900
EASTW,20100401,4.54,4.54,4.54,4.54,445850
EASTW,20100501,4.60,4.60,4.60,4.60,516662.5
EASTW,20100601,5.05,5.05,5.05,5.05,585940.90909091
EASTW,20100701,5.15,5.15,5.15,5.15,691575
EASTW,20100801,5.50,5.50,5.50,5.50,1193475
EASTW,20100901,5.70,5.70,5.70,5.70,701713.63636364
EASTW,20101001,6.85,6.85,6.85,6.85,1929130
EASTW,20101101,6.75,6.75,6.75,6.75,1023909.09090909
EASTW,20101201,6.65,6.65,6.65,6.65,353275
EASTW,20110101,6.40,6.40,6.40,6.40,650180
EASTW,20110201,6.15,6.15,6.15,6.15,515231.57894737
EASTW,20110301,5.90,5.90,5.90,5.90,964100
EASTW,20110401,6.25,6.25,6.25,6.25,570600
EASTW,20110501,6.10,6.10,6.10,6.10,734155.55555556
EASTW,20110601,6.05,6.05,6.05,6.05,504031.81818182
EASTW,20110701,6.30,6.30,6.30,6.30,425984.21052632
EASTW,20110801,6.15,6.15,6.15,6.15,546400
EASTW,20110901,5.55,5.55,5.55,5.55,274127.27272727
EASTW,20111001,5.60,5.60,5.60,5.60,234800
EASTW,20111101,6.10,6.10,6.10,6.10,80272.72727273
EASTW,20111201,6.20,6.20,6.20,6.20,254095
EASTW,20120101,6.50,6.50,6.50,6.50,385105
EASTW,20120201,7.05,7.05,7.05,7.05,559933.33333333
EASTW,20120301,7.50,7.50,7.50,7.50,646461.90476191
EASTW,20120401,8.40,8.40,8.40,8.40,725400
EASTW,20120501,10.20,10.20,10.20,10.20,1281676.19047619
EASTW,20120601,10.60,10.60,10.60,10.60,918695
EASTW,20120701,9.95,9.95,9.95,9.95,361945.45454546
EASTW,20120801,11.10,11.10,11.10,11.10,503385.71428571
EASTW,20120901,13.40,13.40,13.40,13.40,1039460
EASTW,20121001,12.70,12.70,12.70,12.70,621709.09090909
EASTW,20121101,12.90,12.90,12.90,12.90,395731.81818182
EASTW,20121201,12.90,12.90,12.90,12.90,769038.88888889
EASTW,20130101,13.30,13.30,13.30,13.30,692445.45454546
EASTW,20130201,15.20,15.20,15.20,15.20,732884.21052632
EASTW,20130301,15.10,15.10,15.10,15.10,715161.90476191
EASTW,20130401,14.20,14.20,14.20,14.20,515747.36842105
EASTW,20130501,13.80,13.80,13.80,13.80,1071045
EASTW,20130601,12.30,12.30,12.30,12.30,800760
EASTW,20130701,12.90,12.90,12.90,12.90,378876.19047619
EASTW,20130801,12.90,12.90,12.90,12.90,273671.42857143
EASTW,20130901,12.80,12.80,12.80,12.80,106038.0952381
EASTW,20131001,12.70,12.70,12.70,12.70,112090.90909091
EASTW,20131101,12.40,12.40,12.40,12.40,134457.14285714
EASTW,20131201,12.20,12.20,12.20,12.20,248472.22222222
EASTW,20140101,12.00,12.00,12.00,12.00,150122.72727273
EASTW,20140201,11.90,11.90,11.90,11.90,121226.31578947
EASTW,20140301,11.40,11.40,11.40,11.40,469319.04761905
EASTW,20140401,11.00,11.00,11.00,11.00,525747.36842105
EASTW,20140501,10.90,10.90,10.90,10.90,1095236.84210526
EASTW,20140601,11.20,11.20,11.20,11.20,930471.42857143
EASTW,20140701,11.00,11.00,11.00,11.00,751080.95238095
EASTW,20140801,11.20,11.20,11.20,11.20,451568.42105263
EASTW,20140901,10.90,10.90,10.90,10.90,538659.09090909
EASTW,20141001,10.90,10.90,10.90,10.90,382581.81818182
EASTW,20141101,10.70,10.70,10.70,10.70,527515
EASTW,20141201,10.80,10.80,10.80,10.80,304955
EASTW,20150101,11.00,11.00,11.00,11.00,300730
EASTW,20150201,11.00,11.00,11.00,11.00,507755
EASTW,20150301,10.90,10.90,10.90,10.90,302219.04761905
EASTW,20150401,11.10,11.10,11.10,11.10,457972.22222222
EASTW,20150501,11.90,11.90,11.90,11.90,569311.11111111
EASTW,20150601,11.70,11.70,11.70,11.70,302819.04761905
EASTW,20150701,11.50,11.50,11.50,11.50,202223.80952381
EASTW,20150801,11.50,11.50,11.50,11.50,501045
EASTW,20150901,11.20,11.20,11.20,11.20,216245.45454546
EASTW,20151001,11.30,11.30,11.30,11.30,227266.66666667
EASTW,20151101,11.90,11.90,11.90,11.90,515585.71428571
EASTW,20151201,11.60,11.60,11.60,11.60,440845
EASTW,20160101,11.80,11.80,11.80,11.80,null
EASTW,20160201,12.10,12.10,12.10,12.10,null
EASTW,20160301,12.90,12.90,12.90,12.90,null
EASTW,20160401,12.60,12.60,12.60,12.60,null
EASTW,20160501,12.40,12.40,12.40,12.40,null
