<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EFORL-JittaScore,20090101,2.85,2.85,2.85,2.85,null
EFORL-JittaScore,20090201,2.85,2.85,2.85,2.85,null
EFORL-JittaScore,20090301,2.85,2.85,2.85,2.85,null
EFORL-JittaScore,20090401,3.10,3.10,3.10,3.10,null
EFORL-JittaScore,20090501,3.10,3.10,3.10,3.10,null
EFORL-JittaScore,20090601,3.10,3.10,3.10,3.10,null
EFORL-JittaScore,20090701,2.92,2.92,2.92,2.92,null
EFORL-JittaScore,20090801,2.92,2.92,2.92,2.92,null
EFORL-JittaScore,20090901,2.92,2.92,2.92,2.92,null
EFORL-JittaScore,20091001,1.85,1.85,1.85,1.85,null
EFORL-JittaScore,20091101,1.85,1.85,1.85,1.85,null
EFORL-JittaScore,20091201,1.85,1.85,1.85,1.85,null
EFORL-JittaScore,20100101,1.10,1.10,1.10,1.10,null
EFORL-JittaScore,20100201,1.10,1.10,1.10,1.10,null
EFORL-JittaScore,20100301,1.10,1.10,1.10,1.10,null
EFORL-JittaScore,20100401,1.10,1.10,1.10,1.10,null
EFORL-JittaScore,20100501,1.10,1.10,1.10,1.10,null
EFORL-JittaScore,20100601,1.10,1.10,1.10,1.10,null
EFORL-JittaScore,20100701,0.85,0.85,0.85,0.85,null
EFORL-JittaScore,20100801,0.85,0.85,0.85,0.85,null
EFORL-JittaScore,20100901,0.85,0.85,0.85,0.85,null
EFORL-JittaScore,20101001,0.01,0.01,0.01,0.01,null
EFORL-JittaScore,20101101,0.01,0.01,0.01,0.01,null
EFORL-JittaScore,20101201,0.01,0.01,0.01,0.01,null
EFORL-JittaScore,20110101,0.03,0.03,0.03,0.03,null
EFORL-JittaScore,20110201,0.03,0.03,0.03,0.03,null
EFORL-JittaScore,20110301,0.03,0.03,0.03,0.03,null
EFORL-JittaScore,20110401,0.92,0.92,0.92,0.92,null
EFORL-JittaScore,20110501,0.92,0.92,0.92,0.92,null
EFORL-JittaScore,20110601,0.92,0.92,0.92,0.92,null
EFORL-JittaScore,20110701,1.04,1.04,1.04,1.04,null
EFORL-JittaScore,20110801,1.04,1.04,1.04,1.04,null
EFORL-JittaScore,20110901,1.04,1.04,1.04,1.04,null
EFORL-JittaScore,20111001,0.25,0.25,0.25,0.25,null
EFORL-JittaScore,20111101,0.25,0.25,0.25,0.25,null
EFORL-JittaScore,20111201,0.25,0.25,0.25,0.25,null
EFORL-JittaScore,20120101,0.78,0.78,0.78,0.78,null
EFORL-JittaScore,20120201,0.78,0.78,0.78,0.78,null
EFORL-JittaScore,20120301,0.78,0.78,0.78,0.78,null
EFORL-JittaScore,20120401,0.78,0.78,0.78,0.78,null
EFORL-JittaScore,20120501,0.78,0.78,0.78,0.78,null
EFORL-JittaScore,20120601,0.78,0.78,0.78,0.78,null
EFORL-JittaScore,20120701,0.53,0.53,0.53,0.53,null
EFORL-JittaScore,20120801,0.53,0.53,0.53,0.53,null
EFORL-JittaScore,20120901,0.53,0.53,0.53,0.53,null
EFORL-JittaScore,20121001,1.39,1.39,1.39,1.39,null
EFORL-JittaScore,20121101,1.39,1.39,1.39,1.39,null
EFORL-JittaScore,20121201,1.39,1.39,1.39,1.39,null
EFORL-JittaScore,20130101,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130201,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130301,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130401,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130501,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130601,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130701,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130801,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20130901,0.19,0.19,0.19,0.19,null
EFORL-JittaScore,20131001,0.15,0.15,0.15,0.15,null
EFORL-JittaScore,20131101,0.15,0.15,0.15,0.15,null
EFORL-JittaScore,20131201,0.15,0.15,0.15,0.15,null
EFORL-JittaScore,20140101,1.44,1.44,1.44,1.44,null
EFORL-JittaScore,20140201,1.44,1.44,1.44,1.44,null
EFORL-JittaScore,20140301,1.44,1.44,1.44,1.44,null
EFORL-JittaScore,20140401,1.69,1.69,1.69,1.69,null
EFORL-JittaScore,20140501,1.69,1.69,1.69,1.69,null
