<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EIC,20061201,1.73626195,1.73626195,1.73626195,1.73626195,null
EIC,20070101,1.8117516,1.8117516,1.8117516,1.8117516,null
EIC,20070201,2.15900399,2.15900399,2.15900399,2.15900399,null
EIC,20070301,2.1137102,2.1137102,2.1137102,2.1137102,null
EIC,20070401,2.18919985,2.18919985,2.18919985,2.18919985,null
EIC,20070501,2.46096259,2.46096259,2.46096259,2.46096259,null
EIC,20070601,2.97429221,2.97429221,2.97429221,2.97429221,null
EIC,20070701,3.06487979,3.06487979,3.06487979,3.06487979,null
EIC,20070801,3.29134874,3.29134874,3.29134874,3.29134874,null
EIC,20070901,3.51781769,3.51781769,3.51781769,3.51781769,null
EIC,20071001,3.54801355,3.54801355,3.54801355,3.54801355,null
EIC,20071101,3.66879699,3.66879699,3.66879699,3.66879699,null
EIC,20071201,3.63860113,3.63860113,3.63860113,3.63860113,null
EIC,20080101,3.48762183,3.48762183,3.48762183,3.48762183,null
EIC,20080201,3.56311148,3.56311148,3.56311148,3.56311148,null
EIC,20080301,3.45742597,3.45742597,3.45742597,3.45742597,null
EIC,20080401,3.59330734,3.59330734,3.59330734,3.59330734,null
EIC,20080501,3.56311148,3.56311148,3.56311148,3.56311148,null
EIC,20080601,3.4725239,3.4725239,3.4725239,3.4725239,null
EIC,20080701,3.42723011,3.42723011,3.42723011,3.42723011,null
EIC,20080801,3.41213218,3.41213218,3.41213218,3.41213218,null
EIC,20080901,3.36683839,3.36683839,3.36683839,3.36683839,null
EIC,20081001,3.15546737,3.15546737,3.15546737,3.15546737,null
EIC,20081101,3.12527151,3.12527151,3.12527151,3.12527151,null
EIC,20081201,3.12527151,3.12527151,3.12527151,3.12527151,null
EIC,20090101,3.09507565,3.09507565,3.09507565,3.09507565,null
EIC,20090201,3.06487979,3.06487979,3.06487979,3.06487979,null
EIC,20090301,3.03468393,3.03468393,3.03468393,3.03468393,null
EIC,20090401,3.019586,3.019586,3.019586,3.019586,null
EIC,20090501,3.06487979,3.06487979,3.06487979,3.06487979,null
EIC,20090601,2.95919428,2.95919428,2.95919428,2.95919428,null
EIC,20090701,2.7176274,2.7176274,2.7176274,2.7176274,null
EIC,20090801,2.55155017,2.55155017,2.55155017,2.55155017,null
EIC,20090901,2.43076673,2.43076673,2.43076673,2.43076673,null
EIC,20091001,2.37037501,2.37037501,2.37037501,2.37037501,null
EIC,20091101,2.24959157,2.24959157,2.24959157,2.24959157,null
EIC,20091201,2.35527708,2.35527708,2.35527708,2.35527708,null
EIC,20100301,2.2646895,2.2646895,2.2646895,2.2646895,null
