<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FANCY,20061201,2.18,2.18,2.18,2.18,245463.15789474
FANCY,20070101,2.30,2.30,2.30,2.30,80015.78947368
FANCY,20070201,2.30,2.30,2.30,2.30,200515.78947368
FANCY,20070301,1.97,1.97,1.97,1.97,1897885.71428571
FANCY,20070401,1.89,1.89,1.89,1.89,930566.66666667
FANCY,20070501,1.71,1.71,1.71,1.71,143210
FANCY,20070601,1.85,1.85,1.85,1.85,611119.04761905
FANCY,20070701,1.81,1.81,1.81,1.81,747261.90476191
FANCY,20070801,2.08,2.08,2.08,2.08,1351600
FANCY,20070901,2.08,2.08,2.08,2.08,1175225
FANCY,20071001,2.08,2.08,2.08,2.08,478472.72727273
FANCY,20071101,1.97,1.97,1.97,1.97,221909.09090909
FANCY,20071201,1.96,1.96,1.96,1.96,79675
FANCY,20080101,1.94,1.94,1.94,1.94,33731.57894737
FANCY,20080201,1.99,1.99,1.99,1.99,63861.11111111
FANCY,20080301,1.94,1.94,1.94,1.94,51270
FANCY,20080401,1.94,1.94,1.94,1.94,24316.66666667
FANCY,20080501,1.92,1.92,1.92,1.92,81382.35294118
FANCY,20080601,1.90,1.90,1.90,1.90,26458.82352941
FANCY,20080701,1.84,1.84,1.84,1.84,13984.21052632
FANCY,20080801,1.63,1.63,1.63,1.63,14937.5
FANCY,20080901,1.60,1.60,1.60,1.60,7860
FANCY,20081001,1.00,1.00,1.00,1.00,66336.84210526
FANCY,20081101,1.18,1.18,1.18,1.18,134944.44444444
FANCY,20081201,1.24,1.24,1.24,1.24,13547.05882353
FANCY,20090101,1.07,1.07,1.07,1.07,7330
FANCY,20090201,1.15,1.15,1.15,1.15,29533.33333333
FANCY,20090301,1.16,1.16,1.16,1.16,48120
FANCY,20090401,1.16,1.16,1.16,1.16,18441.66666667
FANCY,20090501,1.49,1.49,1.49,1.49,39584.61538462
FANCY,20090601,1.55,1.55,1.55,1.55,17333.33333333
FANCY,20090701,1.50,1.50,1.50,1.50,45766.66666667
FANCY,20090801,1.90,1.90,1.90,1.90,43200
FANCY,20090901,2.16,2.16,2.16,2.16,73128.57142857
FANCY,20091001,2.18,2.18,2.18,2.18,43200
FANCY,20091101,2.26,2.26,2.26,2.26,41356.25
FANCY,20091201,2.26,2.26,2.26,2.26,19713.33333333
FANCY,20100101,2.34,2.34,2.34,2.34,96450
FANCY,20100201,2.40,2.40,2.40,2.40,20641.17647059
FANCY,20100301,2.54,2.54,2.54,2.54,109450
FANCY,20100401,2.58,2.58,2.58,2.58,39140
FANCY,20100501,2.66,2.66,2.66,2.66,18554.54545455
FANCY,20100601,2.80,2.80,2.80,2.80,37315.78947368
FANCY,20100701,2.88,2.88,2.88,2.88,45241.66666667
FANCY,20100801,3.58,3.58,3.58,3.58,23546.66666667
FANCY,20100901,3.10,3.10,3.10,3.10,112652.94117647
FANCY,20101001,2.98,2.98,2.98,2.98,51075
FANCY,20101101,2.02,2.02,2.02,2.02,291950
FANCY,20101201,2.04,2.04,2.04,2.04,861680
FANCY,20110101,2.26,2.26,2.26,2.26,2716935
FANCY,20110201,2.10,2.10,2.10,2.10,647147.36842105
FANCY,20110301,2.00,2.00,2.00,2.00,817178.26086957
FANCY,20110401,2.10,2.10,2.10,2.10,180435.29411765
FANCY,20110501,2.04,2.04,2.04,2.04,300361.11111111
FANCY,20110601,1.98,1.98,1.98,1.98,142381.81818182
FANCY,20110701,2.04,2.04,2.04,2.04,162989.47368421
FANCY,20110801,2.06,2.06,2.06,2.06,77531.81818182
FANCY,20110901,2.04,2.04,2.04,2.04,126986.36363636
FANCY,20111001,1.93,1.93,1.93,1.93,36295
FANCY,20111101,1.90,1.90,1.90,1.90,12747.61904762
FANCY,20111201,1.89,1.89,1.89,1.89,14147.36842105
FANCY,20120101,1.85,1.85,1.85,1.85,264158.82352941
FANCY,20120201,1.70,1.70,1.70,1.70,585228.57142857
FANCY,20120301,1.65,1.65,1.65,1.65,138947.61904762
FANCY,20120401,1.68,1.68,1.68,1.68,231882.35294118
