<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FMT,20061201,31.00,31.00,31.00,31.00,21000
FMT,20070201,30.00,30.00,30.00,30.00,300
FMT,20070301,26.00,26.00,26.00,26.00,1425
FMT,20070401,26.00,26.00,26.00,26.00,2860
FMT,20070501,33.00,33.00,33.00,33.00,1250
FMT,20070601,30.75,30.75,30.75,30.75,2244.44444444
FMT,20070701,33.00,33.00,33.00,33.00,3650
FMT,20070801,27.50,27.50,27.50,27.50,1660
FMT,20070901,29.00,29.00,29.00,29.00,1280
FMT,20071001,26.00,26.00,26.00,26.00,13866.66666667
FMT,20071101,23.00,23.00,23.00,23.00,6553.84615385
FMT,20071201,24.00,24.00,24.00,24.00,2016.66666667
FMT,20080101,23.00,23.00,23.00,23.00,1975
FMT,20080201,23.00,23.00,23.00,23.00,10650
FMT,20080301,23.00,23.00,23.00,23.00,5440
FMT,20080401,23.00,23.00,23.00,23.00,40970
FMT,20080501,22.50,22.50,22.50,22.50,8864.28571429
FMT,20080601,23.00,23.00,23.00,23.00,3550
FMT,20080701,21.40,21.40,21.40,21.40,883.33333333
FMT,20080801,22.50,22.50,22.50,22.50,2425
FMT,20080901,16.70,16.70,16.70,16.70,15016.66666667
FMT,20081001,10.30,10.30,10.30,10.30,4717.64705882
FMT,20081101,11.00,11.00,11.00,11.00,166.66666667
FMT,20081201,13.90,13.90,13.90,13.90,425
FMT,20090101,12.00,12.00,12.00,12.00,400
FMT,20090201,9.50,9.50,9.50,9.50,100
FMT,20090301,12.30,12.30,12.30,12.30,150
FMT,20090401,13.00,13.00,13.00,13.00,1133.33333333
FMT,20090501,15.80,15.80,15.80,15.80,250
FMT,20090601,14.00,14.00,14.00,14.00,4125
FMT,20090801,12.90,12.90,12.90,12.90,3887.5
FMT,20090901,13.50,13.50,13.50,13.50,9270
FMT,20091001,15.00,15.00,15.00,15.00,4566.66666667
FMT,20091101,12.50,12.50,12.50,12.50,9180
FMT,20091201,16.20,16.20,16.20,16.20,11828.57142857
FMT,20100101,12.80,12.80,12.80,12.80,2050
FMT,20100301,12.50,12.50,12.50,12.50,1966.66666667
FMT,20100401,12.50,12.50,12.50,12.50,500
FMT,20100501,14.00,14.00,14.00,14.00,3325
FMT,20100601,14.70,14.70,14.70,14.70,5900
FMT,20100701,14.50,14.50,14.50,14.50,25335.71428571
FMT,20100801,18.90,18.90,18.90,18.90,57585
FMT,20100901,19.10,19.10,19.10,19.10,6152.94117647
FMT,20101001,18.90,18.90,18.90,18.90,7000
FMT,20101101,16.30,16.30,16.30,16.30,9105.55555556
FMT,20101201,17.00,17.00,17.00,17.00,5064.28571429
FMT,20110101,16.50,16.50,16.50,16.50,2100
FMT,20110201,16.20,16.20,16.20,16.20,1660
FMT,20110301,16.90,16.90,16.90,16.90,5400
FMT,20110401,17.70,17.70,17.70,17.70,7582.35294118
FMT,20110501,18.50,18.50,18.50,18.50,13323.52941176
FMT,20110601,18.70,18.70,18.70,18.70,3614.28571429
FMT,20110701,19.60,19.60,19.60,19.60,20644.44444444
FMT,20110801,19.00,19.00,19.00,19.00,5072.72727273
FMT,20110901,17.10,17.10,17.10,17.10,6333.33333333
FMT,20111001,17.80,17.80,17.80,17.80,12866.66666667
FMT,20111101,17.00,17.00,17.00,17.00,1050
FMT,20111201,17.20,17.20,17.20,17.20,2200
FMT,20120101,17.00,17.00,17.00,17.00,5333.33333333
FMT,20120201,16.00,16.00,16.00,16.00,4300
FMT,20120301,17.00,17.00,17.00,17.00,1761.53846154
FMT,20120401,17.00,17.00,17.00,17.00,800
FMT,20120501,14.00,14.00,14.00,14.00,4473.33333333
FMT,20120601,14.00,14.00,14.00,14.00,28484.61538462
FMT,20120701,13.50,13.50,13.50,13.50,3742.85714286
FMT,20120801,14.50,14.50,14.50,14.50,13526.31578947
FMT,20120901,14.50,14.50,14.50,14.50,8960
FMT,20121001,15.00,15.00,15.00,15.00,8991.66666667
FMT,20121101,15.50,15.50,15.50,15.50,2038.46153846
FMT,20121201,15.50,15.50,15.50,15.50,2900
FMT,20130101,15.50,15.50,15.50,15.50,6650
FMT,20130201,15.00,15.00,15.00,15.00,8128.57142857
FMT,20130301,14.50,14.50,14.50,14.50,5072.72727273
FMT,20130401,14.20,14.20,14.20,14.20,4511.11111111
FMT,20130501,14.90,14.90,14.90,14.90,12283.33333333
FMT,20130601,14.70,14.70,14.70,14.70,3050
