<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FPI-JittaScore,20120101,4.00,4.00,4.00,4.00,null
FPI-JittaScore,20120201,4.00,4.00,4.00,4.00,null
FPI-JittaScore,20120301,4.00,4.00,4.00,4.00,null
FPI-JittaScore,20120401,4.20,4.20,4.20,4.20,null
FPI-JittaScore,20120501,4.20,4.20,4.20,4.20,null
FPI-JittaScore,20120601,4.20,4.20,4.20,4.20,null
FPI-JittaScore,20120701,4.05,4.05,4.05,4.05,null
FPI-JittaScore,20120801,4.05,4.05,4.05,4.05,null
FPI-JittaScore,20120901,4.05,4.05,4.05,4.05,null
FPI-JittaScore,20121001,3.75,3.75,3.75,3.75,null
FPI-JittaScore,20121101,3.75,3.75,3.75,3.75,null
FPI-JittaScore,20121201,3.75,3.75,3.75,3.75,null
FPI-JittaScore,20130101,4.50,4.50,4.50,4.50,null
FPI-JittaScore,20130201,4.50,4.50,4.50,4.50,null
FPI-JittaScore,20130301,4.50,4.50,4.50,4.50,null
FPI-JittaScore,20130401,4.63,4.63,4.63,4.63,null
FPI-JittaScore,20130501,4.63,4.63,4.63,4.63,null
FPI-JittaScore,20130601,4.63,4.63,4.63,4.63,null
FPI-JittaScore,20130701,4.67,4.67,4.67,4.67,null
FPI-JittaScore,20130801,4.67,4.67,4.67,4.67,null
FPI-JittaScore,20130901,4.67,4.67,4.67,4.67,null
FPI-JittaScore,20131001,4.85,4.85,4.85,4.85,null
FPI-JittaScore,20131101,4.85,4.85,4.85,4.85,null
FPI-JittaScore,20131201,4.85,4.85,4.85,4.85,null
FPI-JittaScore,20140101,4.60,4.60,4.60,4.60,null
FPI-JittaScore,20140201,4.60,4.60,4.60,4.60,null
FPI-JittaScore,20140301,4.60,4.60,4.60,4.60,null
FPI-JittaScore,20140401,3.95,3.95,3.95,3.95,null
FPI-JittaScore,20140501,3.95,3.95,3.95,3.95,null
FPI-JittaScore,20140601,3.95,3.95,3.95,3.95,null
FPI-JittaScore,20140701,4.60,4.60,4.60,4.60,null
FPI-JittaScore,20140801,4.60,4.60,4.60,4.60,null
FPI-JittaScore,20140901,4.60,4.60,4.60,4.60,null
FPI-JittaScore,20141001,4.65,4.65,4.65,4.65,null
FPI-JittaScore,20141101,4.65,4.65,4.65,4.65,null
FPI-JittaScore,20141201,4.65,4.65,4.65,4.65,null
FPI-JittaScore,20150101,5.50,5.50,5.50,5.50,null
FPI-JittaScore,20150201,5.50,5.50,5.50,5.50,null
FPI-JittaScore,20150301,5.50,5.50,5.50,5.50,null
FPI-JittaScore,20150401,5.15,5.15,5.15,5.15,null
FPI-JittaScore,20150501,5.15,5.15,5.15,5.15,null
FPI-JittaScore,20150601,5.15,5.15,5.15,5.15,null
FPI-JittaScore,20150701,5.05,5.05,5.05,5.05,null
FPI-JittaScore,20150801,5.05,5.05,5.05,5.05,null
FPI-JittaScore,20150901,5.05,5.05,5.05,5.05,null
FPI-JittaScore,20151001,4.90,4.90,4.90,4.90,null
FPI-JittaScore,20151101,4.90,4.90,4.90,4.90,null
FPI-JittaScore,20151201,4.90,4.90,4.90,4.90,null
FPI-JittaScore,20160101,4.65,4.65,4.65,4.65,null
FPI-JittaScore,20160201,4.65,4.65,4.65,4.65,null
FPI-JittaScore,20160301,4.65,4.65,4.65,4.65,null
FPI-JittaScore,20160401,4.78,4.78,4.78,4.78,null
FPI-JittaScore,20160501,4.78,4.78,4.78,4.78,null
FPI-JittaScore,20160601,4.78,4.78,4.78,4.78,null
