<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GCAP,20131201,2.00,2.00,2.00,2.00,56741044.4444444
GCAP,20140101,2.00,2.00,2.00,2.00,3860663.63636364
GCAP,20140201,2.08,2.08,2.08,2.08,2197157.89473684
GCAP,20140301,2.22,2.22,2.22,2.22,2927161.9047619
GCAP,20140401,2.42,2.42,2.42,2.42,3235789.47368421
GCAP,20140501,3.54,3.54,3.54,3.54,17166489.4736842
GCAP,20140601,3.54,3.54,3.54,3.54,5370042.85714286
GCAP,20140701,3.72,3.72,3.72,3.72,12525747.6190476
GCAP,20140801,3.76,3.76,3.76,3.76,3716694.73684211
GCAP,20140901,5.10,5.10,5.10,5.10,40847759.0909091
GCAP,20141001,4.66,4.66,4.66,4.66,3360313.63636364
GCAP,20141101,3.74,3.74,3.74,3.74,901600
GCAP,20141201,3.76,3.76,3.76,3.76,3023915
GCAP,20150101,4.34,4.34,4.34,4.34,11554225
GCAP,20150201,4.54,4.54,4.54,4.54,12007065
GCAP,20150301,3.88,3.88,3.88,3.88,4180323.80952381
GCAP,20150401,3.74,3.74,3.74,3.74,3812661.11111111
GCAP,20150501,3.82,3.82,3.82,3.82,2455077.77777778
GCAP,20150601,3.62,3.62,3.62,3.62,5824833.33333333
GCAP,20150701,3.10,3.10,3.10,3.10,1039661.9047619
GCAP,20150801,3.26,3.26,3.26,3.26,1257005
GCAP,20150901,3.12,3.12,3.12,3.12,3458818.18181818
GCAP,20151001,3.26,3.26,3.26,3.26,1953819.04761905
GCAP,20151101,2.98,2.98,2.98,2.98,4204785.71428571
GCAP,20151201,2.84,2.84,2.84,2.84,478865
GCAP,20160101,2.52,2.52,2.52,2.52,null
GCAP,20160201,2.64,2.64,2.64,2.64,null
GCAP,20160301,2.68,2.68,2.68,2.68,null
GCAP,20160401,2.68,2.68,2.68,2.68,null
GCAP,20160501,2.66,2.66,2.66,2.66,null
