<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GEL-JittaScore,20061201,2.25,2.25,2.25,2.25,null
GEL-JittaScore,20070101,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20070201,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20070301,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20070401,2.08,2.08,2.08,2.08,null
GEL-JittaScore,20070501,2.08,2.08,2.08,2.08,null
GEL-JittaScore,20070601,2.08,2.08,2.08,2.08,null
GEL-JittaScore,20070701,2.08,2.08,2.08,2.08,null
GEL-JittaScore,20070801,2.08,2.08,2.08,2.08,null
GEL-JittaScore,20070901,2.08,2.08,2.08,2.08,null
GEL-JittaScore,20071001,1.70,1.70,1.70,1.70,null
GEL-JittaScore,20071101,1.70,1.70,1.70,1.70,null
GEL-JittaScore,20071201,1.70,1.70,1.70,1.70,null
GEL-JittaScore,20080101,2.55,2.55,2.55,2.55,null
GEL-JittaScore,20080201,2.55,2.55,2.55,2.55,null
GEL-JittaScore,20080301,2.55,2.55,2.55,2.55,null
GEL-JittaScore,20080401,2.38,2.38,2.38,2.38,null
GEL-JittaScore,20080501,2.38,2.38,2.38,2.38,null
GEL-JittaScore,20080601,2.38,2.38,2.38,2.38,null
GEL-JittaScore,20080701,2.38,2.38,2.38,2.38,null
GEL-JittaScore,20080801,2.38,2.38,2.38,2.38,null
GEL-JittaScore,20080901,2.38,2.38,2.38,2.38,null
GEL-JittaScore,20081001,1.30,1.30,1.30,1.30,null
GEL-JittaScore,20081101,1.30,1.30,1.30,1.30,null
GEL-JittaScore,20081201,1.30,1.30,1.30,1.30,null
GEL-JittaScore,20090101,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090201,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090301,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090401,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090501,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090601,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090701,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090801,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20090901,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20091001,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20091101,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20091201,0.50,0.50,0.50,0.50,null
GEL-JittaScore,20100101,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100201,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100301,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100401,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100501,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100601,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100701,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100801,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20100901,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20101001,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20101101,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20101201,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20110101,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110201,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110301,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110401,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110501,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110601,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110701,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110801,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20110901,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20111001,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20111101,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20111201,1.40,1.40,1.40,1.40,null
GEL-JittaScore,20120101,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120201,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120301,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120401,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120501,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120601,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120701,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120801,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20120901,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20121001,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20121101,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20121201,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20130101,1.30,1.30,1.30,1.30,null
GEL-JittaScore,20130201,1.30,1.30,1.30,1.30,null
GEL-JittaScore,20130301,1.30,1.30,1.30,1.30,null
GEL-JittaScore,20130401,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20130501,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20130601,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20130701,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20130801,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20130901,0.75,0.75,0.75,0.75,null
GEL-JittaScore,20131001,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20131101,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20131201,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20140101,2.00,2.00,2.00,2.00,null
GEL-JittaScore,20140201,2.00,2.00,2.00,2.00,null
GEL-JittaScore,20140301,2.00,2.00,2.00,2.00,null
GEL-JittaScore,20140401,1.82,1.82,1.82,1.82,null
GEL-JittaScore,20140501,1.82,1.82,1.82,1.82,null
GEL-JittaScore,20140601,1.82,1.82,1.82,1.82,null
GEL-JittaScore,20140701,1.82,1.82,1.82,1.82,null
GEL-JittaScore,20140801,1.82,1.82,1.82,1.82,null
GEL-JittaScore,20140901,1.82,1.82,1.82,1.82,null
GEL-JittaScore,20141001,2.55,2.55,2.55,2.55,null
GEL-JittaScore,20141101,2.55,2.55,2.55,2.55,null
GEL-JittaScore,20141201,2.55,2.55,2.55,2.55,null
GEL-JittaScore,20150101,2.75,2.75,2.75,2.75,null
GEL-JittaScore,20150201,2.75,2.75,2.75,2.75,null
GEL-JittaScore,20150301,2.75,2.75,2.75,2.75,null
GEL-JittaScore,20150401,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20150501,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20150601,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20150701,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20150801,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20150901,2.20,2.20,2.20,2.20,null
GEL-JittaScore,20151001,1.25,1.25,1.25,1.25,null
GEL-JittaScore,20151101,1.25,1.25,1.25,1.25,null
GEL-JittaScore,20151201,1.25,1.25,1.25,1.25,null
GEL-JittaScore,20160101,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20160201,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20160301,1.00,1.00,1.00,1.00,null
GEL-JittaScore,20160401,0.88,0.88,0.88,0.88,null
GEL-JittaScore,20160501,0.88,0.88,0.88,0.88,null
GEL-JittaScore,20160601,0.88,0.88,0.88,0.88,null
