<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GL-JittaLine,20061201,1.5858,1.5858,1.5858,1.5858,null
GL-JittaLine,20070101,1.6634,1.6634,1.6634,1.6634,null
GL-JittaLine,20070201,1.741,1.741,1.741,1.741,null
GL-JittaLine,20070301,1.8187,1.8187,1.8187,1.8187,null
GL-JittaLine,20070401,1.8963,1.8963,1.8963,1.8963,null
GL-JittaLine,20070501,1.974,1.974,1.974,1.974,null
GL-JittaLine,20070601,2.0516,2.0516,2.0516,2.0516,null
GL-JittaLine,20070701,2.1293,2.1293,2.1293,2.1293,null
GL-JittaLine,20070801,2.2069,2.2069,2.2069,2.2069,null
GL-JittaLine,20070901,2.2845,2.2845,2.2845,2.2845,null
GL-JittaLine,20071001,2.3622,2.3622,2.3622,2.3622,null
GL-JittaLine,20071101,2.4398,2.4398,2.4398,2.4398,null
GL-JittaLine,20071201,2.5175,2.5175,2.5175,2.5175,null
GL-JittaLine,20080101,2.6792,2.6792,2.6792,2.6792,null
GL-JittaLine,20080201,2.841,2.841,2.841,2.841,null
GL-JittaLine,20080301,3.0028,3.0028,3.0028,3.0028,null
GL-JittaLine,20080401,3.1645,3.1645,3.1645,3.1645,null
GL-JittaLine,20080501,3.3263,3.3263,3.3263,3.3263,null
GL-JittaLine,20080601,3.488,3.488,3.488,3.488,null
GL-JittaLine,20080701,3.6498,3.6498,3.6498,3.6498,null
GL-JittaLine,20080801,3.8116,3.8116,3.8116,3.8116,null
GL-JittaLine,20080901,3.9733,3.9733,3.9733,3.9733,null
GL-JittaLine,20081001,4.1351,4.1351,4.1351,4.1351,null
GL-JittaLine,20081101,4.2969,4.2969,4.2969,4.2969,null
GL-JittaLine,20081201,4.4586,4.4586,4.4586,4.4586,null
GL-JittaLine,20090101,4.4409,4.4409,4.4409,4.4409,null
GL-JittaLine,20090201,4.4232,4.4232,4.4232,4.4232,null
GL-JittaLine,20090301,4.4055,4.4055,4.4055,4.4055,null
GL-JittaLine,20090401,4.3879,4.3879,4.3879,4.3879,null
GL-JittaLine,20090501,4.3702,4.3702,4.3702,4.3702,null
GL-JittaLine,20090601,4.3525,4.3525,4.3525,4.3525,null
GL-JittaLine,20090701,4.3348,4.3348,4.3348,4.3348,null
GL-JittaLine,20090801,4.3171,4.3171,4.3171,4.3171,null
GL-JittaLine,20090901,4.2994,4.2994,4.2994,4.2994,null
GL-JittaLine,20091001,4.2817,4.2817,4.2817,4.2817,null
GL-JittaLine,20091101,4.264,4.264,4.264,4.264,null
GL-JittaLine,20091201,4.2463,4.2463,4.2463,4.2463,null
GL-JittaLine,20100101,4.3999,4.3999,4.3999,4.3999,null
GL-JittaLine,20100201,4.5535,4.5535,4.5535,4.5535,null
GL-JittaLine,20100301,4.7071,4.7071,4.7071,4.7071,null
GL-JittaLine,20100401,4.8607,4.8607,4.8607,4.8607,null
GL-JittaLine,20100501,5.0144,5.0144,5.0144,5.0144,null
GL-JittaLine,20100601,5.168,5.168,5.168,5.168,null
GL-JittaLine,20100701,5.3216,5.3216,5.3216,5.3216,null
GL-JittaLine,20100801,5.4752,5.4752,5.4752,5.4752,null
GL-JittaLine,20100901,5.6288,5.6288,5.6288,5.6288,null
GL-JittaLine,20101001,5.7824,5.7824,5.7824,5.7824,null
GL-JittaLine,20101101,5.936,5.936,5.936,5.936,null
GL-JittaLine,20101201,6.0896,6.0896,6.0896,6.0896,null
GL-JittaLine,20110101,5.8844,5.8844,5.8844,5.8844,null
GL-JittaLine,20110201,5.6792,5.6792,5.6792,5.6792,null
GL-JittaLine,20110301,5.4741,5.4741,5.4741,5.4741,null
