<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GL-JittaScore,20061201,5.00,5.00,5.00,5.00,null
GL-JittaScore,20070101,4.25,4.25,4.25,4.25,null
GL-JittaScore,20070201,4.25,4.25,4.25,4.25,null
GL-JittaScore,20070301,4.25,4.25,4.25,4.25,null
GL-JittaScore,20070401,4.33,4.33,4.33,4.33,null
GL-JittaScore,20070501,4.33,4.33,4.33,4.33,null
GL-JittaScore,20070601,4.33,4.33,4.33,4.33,null
GL-JittaScore,20070701,3.95,3.95,3.95,3.95,null
GL-JittaScore,20070801,3.95,3.95,3.95,3.95,null
GL-JittaScore,20070901,3.95,3.95,3.95,3.95,null
GL-JittaScore,20071001,5.00,5.00,5.00,5.00,null
GL-JittaScore,20071101,5.00,5.00,5.00,5.00,null
GL-JittaScore,20071201,5.00,5.00,5.00,5.00,null
GL-JittaScore,20080101,5.00,5.00,5.00,5.00,null
GL-JittaScore,20080201,5.00,5.00,5.00,5.00,null
GL-JittaScore,20080301,5.00,5.00,5.00,5.00,null
GL-JittaScore,20080401,5.13,5.13,5.13,5.13,null
GL-JittaScore,20080501,5.13,5.13,5.13,5.13,null
GL-JittaScore,20080601,5.13,5.13,5.13,5.13,null
GL-JittaScore,20080701,5.13,5.13,5.13,5.13,null
GL-JittaScore,20080801,5.13,5.13,5.13,5.13,null
GL-JittaScore,20080901,5.13,5.13,5.13,5.13,null
GL-JittaScore,20081001,5.92,5.92,5.92,5.92,null
GL-JittaScore,20081101,5.92,5.92,5.92,5.92,null
GL-JittaScore,20081201,5.92,5.92,5.92,5.92,null
GL-JittaScore,20090101,5.70,5.70,5.70,5.70,null
GL-JittaScore,20090201,5.70,5.70,5.70,5.70,null
GL-JittaScore,20090301,5.70,5.70,5.70,5.70,null
GL-JittaScore,20090401,5.20,5.20,5.20,5.20,null
GL-JittaScore,20090501,5.20,5.20,5.20,5.20,null
GL-JittaScore,20090601,5.20,5.20,5.20,5.20,null
GL-JittaScore,20090701,5.20,5.20,5.20,5.20,null
GL-JittaScore,20090801,5.20,5.20,5.20,5.20,null
GL-JittaScore,20090901,5.20,5.20,5.20,5.20,null
GL-JittaScore,20091001,5.09,5.09,5.09,5.09,null
GL-JittaScore,20091101,5.09,5.09,5.09,5.09,null
GL-JittaScore,20091201,5.09,5.09,5.09,5.09,null
GL-JittaScore,20100101,5.75,5.75,5.75,5.75,null
GL-JittaScore,20100201,5.75,5.75,5.75,5.75,null
GL-JittaScore,20100301,5.75,5.75,5.75,5.75,null
GL-JittaScore,20100401,5.88,5.88,5.88,5.88,null
GL-JittaScore,20100501,5.88,5.88,5.88,5.88,null
GL-JittaScore,20100601,5.88,5.88,5.88,5.88,null
GL-JittaScore,20100701,5.88,5.88,5.88,5.88,null
GL-JittaScore,20100801,5.88,5.88,5.88,5.88,null
GL-JittaScore,20100901,5.88,5.88,5.88,5.88,null
GL-JittaScore,20101001,6.14,6.14,6.14,6.14,null
GL-JittaScore,20101101,6.14,6.14,6.14,6.14,null
GL-JittaScore,20101201,6.14,6.14,6.14,6.14,null
GL-JittaScore,20110101,6.70,6.70,6.70,6.70,null
GL-JittaScore,20110201,6.70,6.70,6.70,6.70,null
GL-JittaScore,20110301,6.70,6.70,6.70,6.70,null
GL-JittaScore,20110401,6.65,6.65,6.65,6.65,null
GL-JittaScore,20110501,6.65,6.65,6.65,6.65,null
GL-JittaScore,20110601,6.65,6.65,6.65,6.65,null
GL-JittaScore,20110701,6.65,6.65,6.65,6.65,null
GL-JittaScore,20110801,6.65,6.65,6.65,6.65,null
GL-JittaScore,20110901,6.65,6.65,6.65,6.65,null
GL-JittaScore,20111001,7.45,7.45,7.45,7.45,null
GL-JittaScore,20111101,7.45,7.45,7.45,7.45,null
GL-JittaScore,20111201,7.45,7.45,7.45,7.45,null
GL-JittaScore,20120101,6.20,6.20,6.20,6.20,null
GL-JittaScore,20120201,6.20,6.20,6.20,6.20,null
GL-JittaScore,20120301,6.20,6.20,6.20,6.20,null
GL-JittaScore,20120401,5.90,5.90,5.90,5.90,null
GL-JittaScore,20120501,5.90,5.90,5.90,5.90,null
GL-JittaScore,20120601,5.90,5.90,5.90,5.90,null
GL-JittaScore,20120701,5.90,5.90,5.90,5.90,null
GL-JittaScore,20120801,5.90,5.90,5.90,5.90,null
GL-JittaScore,20120901,5.90,5.90,5.90,5.90,null
GL-JittaScore,20121001,5.70,5.70,5.70,5.70,null
GL-JittaScore,20121101,5.70,5.70,5.70,5.70,null
GL-JittaScore,20121201,5.70,5.70,5.70,5.70,null
GL-JittaScore,20130101,6.65,6.65,6.65,6.65,null
GL-JittaScore,20130201,6.65,6.65,6.65,6.65,null
GL-JittaScore,20130301,6.65,6.65,6.65,6.65,null
GL-JittaScore,20130401,6.70,6.70,6.70,6.70,null
GL-JittaScore,20130501,6.70,6.70,6.70,6.70,null
GL-JittaScore,20130601,6.70,6.70,6.70,6.70,null
GL-JittaScore,20130701,6.65,6.65,6.65,6.65,null
GL-JittaScore,20130801,6.65,6.65,6.65,6.65,null
GL-JittaScore,20130901,6.65,6.65,6.65,6.65,null
GL-JittaScore,20131001,5.70,5.70,5.70,5.70,null
GL-JittaScore,20131101,5.70,5.70,5.70,5.70,null
GL-JittaScore,20131201,5.70,5.70,5.70,5.70,null
GL-JittaScore,20140101,6.20,6.20,6.20,6.20,null
GL-JittaScore,20140201,6.20,6.20,6.20,6.20,null
GL-JittaScore,20140301,6.20,6.20,6.20,6.20,null
GL-JittaScore,20140401,5.90,5.90,5.90,5.90,null
GL-JittaScore,20140501,5.90,5.90,5.90,5.90,null
GL-JittaScore,20140601,5.90,5.90,5.90,5.90,null
GL-JittaScore,20140701,5.90,5.90,5.90,5.90,null
GL-JittaScore,20140801,5.90,5.90,5.90,5.90,null
GL-JittaScore,20140901,5.90,5.90,5.90,5.90,null
GL-JittaScore,20141001,4.65,4.65,4.65,4.65,null
GL-JittaScore,20141101,4.65,4.65,4.65,4.65,null
GL-JittaScore,20141201,4.65,4.65,4.65,4.65,null
GL-JittaScore,20150101,5.10,5.10,5.10,5.10,null
GL-JittaScore,20150201,5.10,5.10,5.10,5.10,null
GL-JittaScore,20150301,5.10,5.10,5.10,5.10,null
GL-JittaScore,20150401,5.22,5.22,5.22,5.22,null
GL-JittaScore,20150501,5.22,5.22,5.22,5.22,null
GL-JittaScore,20150601,5.22,5.22,5.22,5.22,null
GL-JittaScore,20150701,5.22,5.22,5.22,5.22,null
GL-JittaScore,20150801,5.22,5.22,5.22,5.22,null
GL-JittaScore,20150901,5.22,5.22,5.22,5.22,null
GL-JittaScore,20151001,5.65,5.65,5.65,5.65,null
GL-JittaScore,20151101,5.65,5.65,5.65,5.65,null
GL-JittaScore,20151201,5.65,5.65,5.65,5.65,null
GL-JittaScore,20160101,5.95,5.95,5.95,5.95,null
GL-JittaScore,20160201,5.95,5.95,5.95,5.95,null
GL-JittaScore,20160301,5.95,5.95,5.95,5.95,null
GL-JittaScore,20160401,6.08,6.08,6.08,6.08,null
GL-JittaScore,20160501,6.08,6.08,6.08,6.08,null
GL-JittaScore,20160601,6.08,6.08,6.08,6.08,null
