<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GL,20061201,0.85114086,0.85114086,0.85114086,0.85114086,null
GL,20070101,0.85114086,0.85114086,0.85114086,0.85114086,null
GL,20070201,0.88484941,0.88484941,0.88484941,0.88484941,null
GL,20070301,0.94383938,0.94383938,0.94383938,0.94383938,null
GL,20070401,0.9269851,0.9269851,0.9269851,0.9269851,null
GL,20070501,0.9269851,0.9269851,0.9269851,0.9269851,null
GL,20070701,0.80057804,0.80057804,0.80057804,0.80057804,null
GL,20070801,0.75844235,0.75844235,0.75844235,0.75844235,null
GL,20070901,0.76686949,0.76686949,0.76686949,0.76686949,null
GL,20071001,1.22193491,1.22193491,1.22193491,1.22193491,null
GL,20071101,1.09552785,1.09552785,1.09552785,1.09552785,null
GL,20071201,1.22193491,1.22193491,1.22193491,1.22193491,null
GL,20080101,1.0645488,1.0645488,1.0645488,1.0645488,null
GL,20080201,1.394052,1.394052,1.394052,1.394052,null
GL,20080301,1.4025008,1.4025008,1.4025008,1.4025008,null
GL,20080401,1.563028,1.563028,1.563028,1.563028,null
GL,20080501,2.027712,2.027712,2.027712,2.027712,null
GL,20080601,2.196688,2.196688,2.196688,2.196688,null
GL,20080701,2.238932,2.238932,2.238932,2.238932,null
GL,20080801,2.365664,2.365664,2.365664,2.365664,null
GL,20080901,2.619128,2.619128,2.619128,2.619128,null
GL,20081001,1.7573504,1.7573504,1.7573504,1.7573504,null
GL,20081101,1.26732,1.26732,1.26732,1.26732,null
GL,20081201,2.407908,2.407908,2.407908,2.407908,null
GL,20090101,1.90098,1.90098,1.90098,1.90098,null
GL,20090201,2.0192632,2.0192632,2.0192632,2.0192632,null
GL,20090301,1.605272,1.605272,1.605272,1.605272,null
GL,20090401,1.943224,1.943224,1.943224,1.943224,null
GL,20090801,2.027712,2.027712,2.027712,2.027712,null
GL,20090901,2.365664,2.365664,2.365664,2.365664,null
GL,20091001,2.027712,2.027712,2.027712,2.027712,null
GL,20091101,2.1122,2.1122,2.1122,2.1122,null
GL,20091201,2.1122,2.1122,2.1122,2.1122,null
GL,20100101,2.344542,2.344542,2.344542,2.344542,null
GL,20100201,1.943224,1.943224,1.943224,1.943224,null
GL,20100301,2.281176,2.281176,2.281176,2.281176,null
