<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GLAND,20061201,1.5581872,1.5581872,1.5581872,1.5581872,null
GLAND,20070101,1.4056374,1.4056374,1.4056374,1.4056374,null
GLAND,20070201,1.42743023,1.42743023,1.42743023,1.42743023,null
GLAND,20070301,1.5581872,1.5581872,1.5581872,1.5581872,null
GLAND,20070401,1.4819123,1.4819123,1.4819123,1.4819123,null
GLAND,20070501,1.43832664,1.43832664,1.43832664,1.43832664,null
GLAND,20070601,1.39474099,1.39474099,1.39474099,1.39474099,null
GLAND,20070701,1.35115533,1.35115533,1.35115533,1.35115533,null
GLAND,20070801,1.3293625,1.3293625,1.3293625,1.3293625,null
GLAND,20070901,1.31846609,1.31846609,1.31846609,1.31846609,null
GLAND,20071001,1.30756968,1.30756968,1.30756968,1.30756968,null
GLAND,20071101,1.30756968,1.30756968,1.30756968,1.30756968,null
GLAND,20071201,1.30756968,1.30756968,1.30756968,1.30756968,null
GLAND,20080101,1.27488043,1.27488043,1.27488043,1.27488043,null
GLAND,20080201,1.3293625,1.3293625,1.3293625,1.3293625,null
GLAND,20080301,1.30756968,1.30756968,1.30756968,1.30756968,null
GLAND,20080401,1.4056374,1.4056374,1.4056374,1.4056374,null
GLAND,20080501,1.30756968,1.30756968,1.30756968,1.30756968,null
GLAND,20080601,1.11143422,1.11143422,1.11143422,1.11143422,null
GLAND,20080701,1.0896414,1.0896414,1.0896414,1.0896414,null
GLAND,20080801,1.10053781,1.10053781,1.10053781,1.10053781,null
GLAND,20080901,1.0896414,1.0896414,1.0896414,1.0896414,null
GLAND,20081001,1.30756968,1.30756968,1.30756968,1.30756968,null
GLAND,20081101,0.74095615,0.74095615,0.74095615,0.74095615,null
GLAND,20081201,1.06349,1.06349,1.06349,1.06349,null
GLAND,20090101,0.95888443,0.95888443,0.95888443,0.95888443,null
GLAND,20090201,0.89786451,0.89786451,0.89786451,0.89786451,null
GLAND,20090301,0.91529877,0.91529877,0.91529877,0.91529877,null
