<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRAMMY,20061201,6.63463716,6.63463716,6.63463716,6.63463716,null
GRAMMY,20070101,6.16740919,6.16740919,6.16740919,6.16740919,null
GRAMMY,20070201,6.35430038,6.35430038,6.35430038,6.35430038,null
GRAMMY,20070301,6.40102317,6.40102317,6.40102317,6.40102317,null
GRAMMY,20070401,6.91497394,6.91497394,6.91497394,6.91497394,null
GRAMMY,20070501,7.00841953,7.00841953,7.00841953,7.00841953,null
GRAMMY,20070601,7.4756475,7.4756475,7.4756475,7.4756475,null
GRAMMY,20070701,8.22321225,8.22321225,8.22321225,8.22321225,null
GRAMMY,20070801,8.08304386,8.08304386,8.08304386,8.08304386,null
GRAMMY,20070901,8.26993505,8.26993505,8.26993505,8.26993505,null
GRAMMY,20071001,9.25111378,9.25111378,9.25111378,9.25111378,null
GRAMMY,20071101,9.99867853,9.99867853,9.99867853,9.99867853,null
GRAMMY,20071201,9.20439098,9.20439098,9.20439098,9.20439098,null
GRAMMY,20080101,9.43800497,9.43800497,9.43800497,9.43800497,null
GRAMMY,20080201,9.34455938,9.34455938,9.34455938,9.34455938,null
GRAMMY,20080301,13.08238313,13.08238313,13.08238313,13.08238313,null
GRAMMY,20080401,11.86759041,11.86759041,11.86759041,11.86759041,null
GRAMMY,20080501,12.14792719,12.14792719,12.14792719,12.14792719,null
GRAMMY,20080601,12.14792719,12.14792719,12.14792719,12.14792719,null
GRAMMY,20080701,11.86759041,11.86759041,11.86759041,11.86759041,null
GRAMMY,20080801,12.61515516,12.61515516,12.61515516,12.61515516,null
GRAMMY,20080901,12.14792719,12.14792719,12.14792719,12.14792719,null
GRAMMY,20081001,9.34455938,9.34455938,9.34455938,9.34455938,null
GRAMMY,20081101,9.06422259,9.06422259,9.06422259,9.06422259,null
GRAMMY,20081201,8.83060861,8.83060861,8.83060861,8.83060861,null
GRAMMY,20090101,9.0174998,9.0174998,9.0174998,9.0174998,null
GRAMMY,20090201,9.15766819,9.15766819,9.15766819,9.15766819,null
GRAMMY,20090301,10.18556972,10.18556972,10.18556972,10.18556972,null
GRAMMY,20090401,11.68069922,11.68069922,11.68069922,11.68069922,null
GRAMMY,20090501,12.14792719,12.14792719,12.14792719,12.14792719,null
GRAMMY,20090601,13.08238313,13.08238313,13.08238313,13.08238313,null
GRAMMY,20090701,12.80204634,12.80204634,12.80204634,12.80204634,null
GRAMMY,20090801,13.08238313,13.08238313,13.08238313,13.08238313,null
GRAMMY,20090901,14.11028466,14.11028466,14.11028466,14.11028466,null
GRAMMY,20091001,13.82994788,13.82994788,13.82994788,13.82994788,null
GRAMMY,20091101,13.73650228,13.73650228,13.73650228,13.73650228,null
GRAMMY,20091201,13.4561655,13.4561655,13.4561655,13.4561655,null
GRAMMY,20100101,12.70860075,12.70860075,12.70860075,12.70860075,null
GRAMMY,20100201,12.24137278,12.24137278,12.24137278,12.24137278,null
GRAMMY,20100301,12.52170956,12.52170956,12.52170956,12.52170956,null
GRAMMY,20100401,12.61515516,12.61515516,12.61515516,12.61515516,null
GRAMMY,20100501,12.70860075,12.70860075,12.70860075,12.70860075,null
GRAMMY,20100601,13.17582872,13.17582872,13.17582872,13.17582872,null
GRAMMY,20100701,13.92339347,13.92339347,13.92339347,13.92339347,null
GRAMMY,20100801,14.01683906,14.01683906,14.01683906,14.01683906,null
GRAMMY,20100901,14.01683906,14.01683906,14.01683906,14.01683906,null
