<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HOTPOT-JittaLine,20081101,0.0067,0.0067,0.0067,0.0067,null
HOTPOT-JittaLine,20081201,0.0139,0.0139,0.0139,0.0139,null
HOTPOT-JittaLine,20090101,0.0205,0.0205,0.0205,0.0205,null
HOTPOT-JittaLine,20090201,0.027,0.027,0.027,0.027,null
HOTPOT-JittaLine,20090301,0.0335,0.0335,0.0335,0.0335,null
HOTPOT-JittaLine,20090401,0.04,0.04,0.04,0.04,null
HOTPOT-JittaLine,20090501,0.0465,0.0465,0.0465,0.0465,null
HOTPOT-JittaLine,20090601,0.053,0.053,0.053,0.053,null
HOTPOT-JittaLine,20090701,0.0595,0.0595,0.0595,0.0595,null
HOTPOT-JittaLine,20090801,0.066,0.066,0.066,0.066,null
HOTPOT-JittaLine,20090901,0.0725,0.0725,0.0725,0.0725,null
HOTPOT-JittaLine,20091001,0.079,0.079,0.079,0.079,null
HOTPOT-JittaLine,20091101,0.0855,0.0855,0.0855,0.0855,null
HOTPOT-JittaLine,20091201,0.092,0.092,0.092,0.092,null
HOTPOT-JittaLine,20100101,0.0979,0.0979,0.0979,0.0979,null
HOTPOT-JittaLine,20100201,0.1038,0.1038,0.1038,0.1038,null
HOTPOT-JittaLine,20100301,0.1097,0.1097,0.1097,0.1097,null
HOTPOT-JittaLine,20100401,0.1156,0.1156,0.1156,0.1156,null
HOTPOT-JittaLine,20100501,0.1215,0.1215,0.1215,0.1215,null
HOTPOT-JittaLine,20100601,0.1274,0.1274,0.1274,0.1274,null
HOTPOT-JittaLine,20100701,0.1333,0.1333,0.1333,0.1333,null
HOTPOT-JittaLine,20100801,0.1392,0.1392,0.1392,0.1392,null
HOTPOT-JittaLine,20100901,0.1451,0.1451,0.1451,0.1451,null
HOTPOT-JittaLine,20101001,0.151,0.151,0.151,0.151,null
HOTPOT-JittaLine,20101101,0.1569,0.1569,0.1569,0.1569,null
HOTPOT-JittaLine,20101201,0.1628,0.1628,0.1628,0.1628,null
HOTPOT-JittaLine,20110101,0.2541,0.2541,0.2541,0.2541,null
HOTPOT-JittaLine,20110201,0.3453,0.3453,0.3453,0.3453,null
HOTPOT-JittaLine,20110301,0.4365,0.4365,0.4365,0.4365,null
HOTPOT-JittaLine,20110401,0.5278,0.5278,0.5278,0.5278,null
HOTPOT-JittaLine,20110501,0.619,0.619,0.619,0.619,null
HOTPOT-JittaLine,20110601,0.7103,0.7103,0.7103,0.7103,null
HOTPOT-JittaLine,20110701,0.8015,0.8015,0.8015,0.8015,null
HOTPOT-JittaLine,20110801,0.8927,0.8927,0.8927,0.8927,null
HOTPOT-JittaLine,20110901,0.984,0.984,0.984,0.984,null
HOTPOT-JittaLine,20111001,1.0752,1.0752,1.0752,1.0752,null
HOTPOT-JittaLine,20111101,1.1665,1.1665,1.1665,1.1665,null
HOTPOT-JittaLine,20111201,1.2577,1.2577,1.2577,1.2577,null
HOTPOT-JittaLine,20120101,1.2995,1.2995,1.2995,1.2995,null
HOTPOT-JittaLine,20120201,1.3413,1.3413,1.3413,1.3413,null
HOTPOT-JittaLine,20120301,1.3831,1.3831,1.3831,1.3831,null
HOTPOT-JittaLine,20120401,1.4249,1.4249,1.4249,1.4249,null
HOTPOT-JittaLine,20120501,1.4667,1.4667,1.4667,1.4667,null
HOTPOT-JittaLine,20120601,1.5085,1.5085,1.5085,1.5085,null
HOTPOT-JittaLine,20120701,1.5503,1.5503,1.5503,1.5503,null
HOTPOT-JittaLine,20120801,1.5921,1.5921,1.5921,1.5921,null
HOTPOT-JittaLine,20120901,1.6339,1.6339,1.6339,1.6339,null
HOTPOT-JittaLine,20121001,1.6757,1.6757,1.6757,1.6757,null
HOTPOT-JittaLine,20121101,1.7175,1.7175,1.7175,1.7175,null
HOTPOT-JittaLine,20121201,1.7593,1.7593,1.7593,1.7593,null
HOTPOT-JittaLine,20130101,1.7479,1.7479,1.7479,1.7479,null
HOTPOT-JittaLine,20130201,1.7365,1.7365,1.7365,1.7365,null
HOTPOT-JittaLine,20130301,1.7252,1.7252,1.7252,1.7252,null
HOTPOT-JittaLine,20130401,1.7138,1.7138,1.7138,1.7138,null
HOTPOT-JittaLine,20130501,1.7024,1.7024,1.7024,1.7024,null
HOTPOT-JittaLine,20130601,1.691,1.691,1.691,1.691,null
HOTPOT-JittaLine,20130701,1.6797,1.6797,1.6797,1.6797,null
HOTPOT-JittaLine,20130801,1.6683,1.6683,1.6683,1.6683,null
HOTPOT-JittaLine,20130901,1.6569,1.6569,1.6569,1.6569,null
HOTPOT-JittaLine,20131001,1.6455,1.6455,1.6455,1.6455,null
HOTPOT-JittaLine,20131101,1.6341,1.6341,1.6341,1.6341,null
HOTPOT-JittaLine,20131201,1.6228,1.6228,1.6228,1.6228,null
HOTPOT-JittaLine,20140101,1.4953,1.4953,1.4953,1.4953,null
HOTPOT-JittaLine,20140201,1.3679,1.3679,1.3679,1.3679,null
HOTPOT-JittaLine,20140301,1.2404,1.2404,1.2404,1.2404,null
HOTPOT-JittaLine,20140401,1.1129,1.1129,1.1129,1.1129,null
HOTPOT-JittaLine,20140501,0.9855,0.9855,0.9855,0.9855,null
HOTPOT-JittaLine,20140601,0.858,0.858,0.858,0.858,null
HOTPOT-JittaLine,20140701,0.7306,0.7306,0.7306,0.7306,null
HOTPOT-JittaLine,20140801,0.6031,0.6031,0.6031,0.6031,null
HOTPOT-JittaLine,20140901,0.4757,0.4757,0.4757,0.4757,null
HOTPOT-JittaLine,20141001,0.3482,0.3482,0.3482,0.3482,null
HOTPOT-JittaLine,20141101,0.2207,0.2207,0.2207,0.2207,null
HOTPOT-JittaLine,20141201,0.0933,0.0933,0.0933,0.0933,null
HOTPOT-JittaLine,20150101,0.1209,0.1209,0.1209,0.1209,null
HOTPOT-JittaLine,20150201,0.1485,0.1485,0.1485,0.1485,null
HOTPOT-JittaLine,20150301,0.1762,0.1762,0.1762,0.1762,null
HOTPOT-JittaLine,20150401,0.2038,0.2038,0.2038,0.2038,null
HOTPOT-JittaLine,20150501,0.2314,0.2314,0.2314,0.2314,null
HOTPOT-JittaLine,20150601,0.259,0.259,0.259,0.259,null
HOTPOT-JittaLine,20150701,0.2867,0.2867,0.2867,0.2867,null
HOTPOT-JittaLine,20150801,0.3143,0.3143,0.3143,0.3143,null
HOTPOT-JittaLine,20150901,0.3419,0.3419,0.3419,0.3419,null
HOTPOT-JittaLine,20151001,0.3695,0.3695,0.3695,0.3695,null
HOTPOT-JittaLine,20151101,0.3972,0.3972,0.3972,0.3972,null
HOTPOT-JittaLine,20151201,0.4248,0.4248,0.4248,0.4248,null
