<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HPT-JittaLine,20120101,0.304,0.304,0.304,0.304,null
HPT-JittaLine,20120201,0.3179,0.3179,0.3179,0.3179,null
HPT-JittaLine,20120301,0.3319,0.3319,0.3319,0.3319,null
HPT-JittaLine,20120401,0.3458,0.3458,0.3458,0.3458,null
HPT-JittaLine,20120501,0.3598,0.3598,0.3598,0.3598,null
HPT-JittaLine,20120601,0.3737,0.3737,0.3737,0.3737,null
HPT-JittaLine,20120701,0.3877,0.3877,0.3877,0.3877,null
HPT-JittaLine,20120801,0.4017,0.4017,0.4017,0.4017,null
HPT-JittaLine,20120901,0.4156,0.4156,0.4156,0.4156,null
HPT-JittaLine,20121001,0.4296,0.4296,0.4296,0.4296,null
HPT-JittaLine,20121101,0.4435,0.4435,0.4435,0.4435,null
HPT-JittaLine,20121201,0.4575,0.4575,0.4575,0.4575,null
HPT-JittaLine,20130101,0.4617,0.4617,0.4617,0.4617,null
HPT-JittaLine,20130201,0.4659,0.4659,0.4659,0.4659,null
HPT-JittaLine,20130301,0.4701,0.4701,0.4701,0.4701,null
HPT-JittaLine,20130401,0.4743,0.4743,0.4743,0.4743,null
HPT-JittaLine,20130501,0.4786,0.4786,0.4786,0.4786,null
HPT-JittaLine,20130601,0.4828,0.4828,0.4828,0.4828,null
HPT-JittaLine,20130701,0.487,0.487,0.487,0.487,null
HPT-JittaLine,20130801,0.4912,0.4912,0.4912,0.4912,null
HPT-JittaLine,20130901,0.4954,0.4954,0.4954,0.4954,null
HPT-JittaLine,20131001,0.4997,0.4997,0.4997,0.4997,null
HPT-JittaLine,20131101,0.5039,0.5039,0.5039,0.5039,null
HPT-JittaLine,20131201,0.5081,0.5081,0.5081,0.5081,null
HPT-JittaLine,20140101,0.5033,0.5033,0.5033,0.5033,null
HPT-JittaLine,20140201,0.4985,0.4985,0.4985,0.4985,null
HPT-JittaLine,20140301,0.4937,0.4937,0.4937,0.4937,null
HPT-JittaLine,20140401,0.4889,0.4889,0.4889,0.4889,null
HPT-JittaLine,20140501,0.4841,0.4841,0.4841,0.4841,null
HPT-JittaLine,20140601,0.4793,0.4793,0.4793,0.4793,null
HPT-JittaLine,20140701,0.4745,0.4745,0.4745,0.4745,null
HPT-JittaLine,20140801,0.4697,0.4697,0.4697,0.4697,null
HPT-JittaLine,20140901,0.4649,0.4649,0.4649,0.4649,null
HPT-JittaLine,20141001,0.46,0.46,0.46,0.46,null
HPT-JittaLine,20141101,0.4552,0.4552,0.4552,0.4552,null
HPT-JittaLine,20141201,0.4504,0.4504,0.4504,0.4504,null
HPT-JittaLine,20150101,0.4393,0.4393,0.4393,0.4393,null
HPT-JittaLine,20150201,0.4282,0.4282,0.4282,0.4282,null
HPT-JittaLine,20150301,0.4172,0.4172,0.4172,0.4172,null
HPT-JittaLine,20150401,0.4061,0.4061,0.4061,0.4061,null
HPT-JittaLine,20150501,0.395,0.395,0.395,0.395,null
HPT-JittaLine,20150601,0.3839,0.3839,0.3839,0.3839,null
HPT-JittaLine,20150701,0.3728,0.3728,0.3728,0.3728,null
HPT-JittaLine,20150801,0.3617,0.3617,0.3617,0.3617,null
HPT-JittaLine,20150901,0.3506,0.3506,0.3506,0.3506,null
HPT-JittaLine,20151001,0.3395,0.3395,0.3395,0.3395,null
HPT-JittaLine,20151101,0.3284,0.3284,0.3284,0.3284,null
HPT-JittaLine,20151201,0.3173,0.3173,0.3173,0.3173,null
