<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IT-JittaLine,20061201,10.2344,10.2344,10.2344,10.2344,null
IT-JittaLine,20070101,10.2135,10.2135,10.2135,10.2135,null
IT-JittaLine,20070201,10.1925,10.1925,10.1925,10.1925,null
IT-JittaLine,20070301,10.1715,10.1715,10.1715,10.1715,null
IT-JittaLine,20070401,10.1505,10.1505,10.1505,10.1505,null
IT-JittaLine,20070501,10.1296,10.1296,10.1296,10.1296,null
IT-JittaLine,20070601,10.1086,10.1086,10.1086,10.1086,null
IT-JittaLine,20070701,10.0876,10.0876,10.0876,10.0876,null
IT-JittaLine,20070801,10.0666,10.0666,10.0666,10.0666,null
IT-JittaLine,20070901,10.0456,10.0456,10.0456,10.0456,null
IT-JittaLine,20071001,10.0247,10.0247,10.0247,10.0247,null
IT-JittaLine,20071101,10.0037,10.0037,10.0037,10.0037,null
IT-JittaLine,20071201,9.9827,9.9827,9.9827,9.9827,null
IT-JittaLine,20080101,9.8472,9.8472,9.8472,9.8472,null
IT-JittaLine,20080201,9.7118,9.7118,9.7118,9.7118,null
IT-JittaLine,20080301,9.5763,9.5763,9.5763,9.5763,null
IT-JittaLine,20080401,9.4409,9.4409,9.4409,9.4409,null
IT-JittaLine,20080501,9.3054,9.3054,9.3054,9.3054,null
IT-JittaLine,20080601,9.1699,9.1699,9.1699,9.1699,null
IT-JittaLine,20080701,9.0345,9.0345,9.0345,9.0345,null
IT-JittaLine,20080801,8.899,8.899,8.899,8.899,null
IT-JittaLine,20080901,8.7636,8.7636,8.7636,8.7636,null
IT-JittaLine,20081001,8.6281,8.6281,8.6281,8.6281,null
IT-JittaLine,20081101,8.4927,8.4927,8.4927,8.4927,null
IT-JittaLine,20081201,8.3572,8.3572,8.3572,8.3572,null
IT-JittaLine,20090101,8.2278,8.2278,8.2278,8.2278,null
IT-JittaLine,20090201,8.0985,8.0985,8.0985,8.0985,null
IT-JittaLine,20090301,7.9691,7.9691,7.9691,7.9691,null
IT-JittaLine,20090401,7.8398,7.8398,7.8398,7.8398,null
IT-JittaLine,20090501,7.7104,7.7104,7.7104,7.7104,null
IT-JittaLine,20090601,7.5811,7.5811,7.5811,7.5811,null
IT-JittaLine,20090701,7.4517,7.4517,7.4517,7.4517,null
IT-JittaLine,20090801,7.3223,7.3223,7.3223,7.3223,null
IT-JittaLine,20090901,7.193,7.193,7.193,7.193,null
IT-JittaLine,20091001,7.0636,7.0636,7.0636,7.0636,null
IT-JittaLine,20091101,6.9343,6.9343,6.9343,6.9343,null
IT-JittaLine,20091201,6.8049,6.8049,6.8049,6.8049,null
IT-JittaLine,20100101,6.8822,6.8822,6.8822,6.8822,null
IT-JittaLine,20100201,6.9594,6.9594,6.9594,6.9594,null
IT-JittaLine,20100301,7.0367,7.0367,7.0367,7.0367,null
IT-JittaLine,20100401,7.1139,7.1139,7.1139,7.1139,null
IT-JittaLine,20100501,7.1912,7.1912,7.1912,7.1912,null
IT-JittaLine,20100601,7.2685,7.2685,7.2685,7.2685,null
IT-JittaLine,20100701,7.3457,7.3457,7.3457,7.3457,null
IT-JittaLine,20100801,7.423,7.423,7.423,7.423,null
IT-JittaLine,20100901,7.5002,7.5002,7.5002,7.5002,null
IT-JittaLine,20101001,7.5775,7.5775,7.5775,7.5775,null
IT-JittaLine,20101101,7.6547,7.6547,7.6547,7.6547,null
IT-JittaLine,20101201,7.732,7.732,7.732,7.732,null
IT-JittaLine,20110101,7.751,7.751,7.751,7.751,null
IT-JittaLine,20110201,7.77,7.77,7.77,7.77,null
IT-JittaLine,20110301,7.789,7.789,7.789,7.789,null
IT-JittaLine,20110401,7.808,7.808,7.808,7.808,null
IT-JittaLine,20110501,7.827,7.827,7.827,7.827,null
IT-JittaLine,20110601,7.846,7.846,7.846,7.846,null
IT-JittaLine,20110701,7.865,7.865,7.865,7.865,null
IT-JittaLine,20110801,7.8841,7.8841,7.8841,7.8841,null
IT-JittaLine,20110901,7.9031,7.9031,7.9031,7.9031,null
IT-JittaLine,20111001,7.9221,7.9221,7.9221,7.9221,null
IT-JittaLine,20111101,7.9411,7.9411,7.9411,7.9411,null
IT-JittaLine,20111201,7.9601,7.9601,7.9601,7.9601,null
IT-JittaLine,20120101,7.5809,7.5809,7.5809,7.5809,null
IT-JittaLine,20120201,7.2016,7.2016,7.2016,7.2016,null
IT-JittaLine,20120301,6.8224,6.8224,6.8224,6.8224,null
IT-JittaLine,20120401,6.4432,6.4432,6.4432,6.4432,null
IT-JittaLine,20120501,6.064,6.064,6.064,6.064,null
IT-JittaLine,20120601,5.6847,5.6847,5.6847,5.6847,null
IT-JittaLine,20120701,5.3055,5.3055,5.3055,5.3055,null
IT-JittaLine,20120801,4.9263,4.9263,4.9263,4.9263,null
IT-JittaLine,20120901,4.5471,4.5471,4.5471,4.5471,null
IT-JittaLine,20121001,4.1679,4.1679,4.1679,4.1679,null
IT-JittaLine,20121101,3.7886,3.7886,3.7886,3.7886,null
IT-JittaLine,20121201,3.4094,3.4094,3.4094,3.4094,null
IT-JittaLine,20130101,3.2166,3.2166,3.2166,3.2166,null
IT-JittaLine,20130201,3.0239,3.0239,3.0239,3.0239,null
IT-JittaLine,20130301,2.8311,2.8311,2.8311,2.8311,null
IT-JittaLine,20130401,2.6383,2.6383,2.6383,2.6383,null
IT-JittaLine,20130501,2.4456,2.4456,2.4456,2.4456,null
IT-JittaLine,20130601,2.2528,2.2528,2.2528,2.2528,null
IT-JittaLine,20130701,2.06,2.06,2.06,2.06,null
IT-JittaLine,20130801,1.8672,1.8672,1.8672,1.8672,null
IT-JittaLine,20130901,1.6745,1.6745,1.6745,1.6745,null
IT-JittaLine,20131001,1.4817,1.4817,1.4817,1.4817,null
IT-JittaLine,20131101,1.2889,1.2889,1.2889,1.2889,null
IT-JittaLine,20131201,1.0961,1.0961,1.0961,1.0961,null
IT-JittaLine,20140101,1.0416,1.0416,1.0416,1.0416,null
IT-JittaLine,20140201,0.9871,0.9871,0.9871,0.9871,null
IT-JittaLine,20140301,0.9325,0.9325,0.9325,0.9325,null
IT-JittaLine,20140401,0.878,0.878,0.878,0.878,null
IT-JittaLine,20140501,0.8234,0.8234,0.8234,0.8234,null
IT-JittaLine,20140601,0.7689,0.7689,0.7689,0.7689,null
IT-JittaLine,20140701,0.7144,0.7144,0.7144,0.7144,null
IT-JittaLine,20140801,0.6598,0.6598,0.6598,0.6598,null
IT-JittaLine,20140901,0.6053,0.6053,0.6053,0.6053,null
IT-JittaLine,20141001,0.5507,0.5507,0.5507,0.5507,null
IT-JittaLine,20141101,0.4962,0.4962,0.4962,0.4962,null
IT-JittaLine,20141201,0.4417,0.4417,0.4417,0.4417,null
IT-JittaLine,20150101,0.4068,0.4068,0.4068,0.4068,null
IT-JittaLine,20150201,0.3719,0.3719,0.3719,0.3719,null
IT-JittaLine,20150301,0.3371,0.3371,0.3371,0.3371,null
IT-JittaLine,20150401,0.3022,0.3022,0.3022,0.3022,null
IT-JittaLine,20150501,0.2674,0.2674,0.2674,0.2674,null
IT-JittaLine,20150601,0.2325,0.2325,0.2325,0.2325,null
IT-JittaLine,20150701,0.1976,0.1976,0.1976,0.1976,null
IT-JittaLine,20150801,0.1628,0.1628,0.1628,0.1628,null
IT-JittaLine,20150901,0.1279,0.1279,0.1279,0.1279,null
IT-JittaLine,20151001,0.0931,0.0931,0.0931,0.0931,null
IT-JittaLine,20151101,0.0582,0.0582,0.0582,0.0582,null
IT-JittaLine,20151201,0.0234,0.0234,0.0234,0.0234,null
IT-JittaLine,20160101,0.0229,0.0229,0.0229,0.0229,null
IT-JittaLine,20160201,0.0224,0.0224,0.0224,0.0224,null
IT-JittaLine,20160301,0.0219,0.0219,0.0219,0.0219,null
IT-JittaLine,20160401,0.0214,0.0214,0.0214,0.0214,null
IT-JittaLine,20160501,0.021,0.021,0.021,0.021,null
IT-JittaLine,20160601,0.0205,0.0205,0.0205,0.0205,null
IT-JittaLine,20160701,0.02,0.02,0.02,0.02,null
IT-JittaLine,20160801,0.0195,0.0195,0.0195,0.0195,null
IT-JittaLine,20160901,0.019,0.019,0.019,0.019,null
IT-JittaLine,20161001,0.0186,0.0186,0.0186,0.0186,null
IT-JittaLine,20161101,0.0181,0.0181,0.0181,0.0181,null
IT-JittaLine,20161201,0.0176,0.0176,0.0176,0.0176,null
