<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IT,20061201,9.55,9.55,9.55,9.55,null
IT,20070101,8.80,8.80,8.80,8.80,null
IT,20070201,8.80,8.80,8.80,8.80,null
IT,20070301,8.40,8.40,8.40,8.40,null
IT,20070401,7.85,7.85,7.85,7.85,null
IT,20070501,7.70,7.70,7.70,7.70,null
IT,20070601,7.55,7.55,7.55,7.55,null
IT,20070701,7.00,7.00,7.00,7.00,null
IT,20070801,6.65,6.65,6.65,6.65,null
IT,20070901,6.40,6.40,6.40,6.40,null
IT,20071001,6.30,6.30,6.30,6.30,null
IT,20071101,6.35,6.35,6.35,6.35,null
IT,20071201,6.60,6.60,6.60,6.60,null
IT,20080101,6.30,6.30,6.30,6.30,null
IT,20080201,6.25,6.25,6.25,6.25,null
IT,20080301,6.20,6.20,6.20,6.20,null
IT,20080401,6.45,6.45,6.45,6.45,null
IT,20080501,6.45,6.45,6.45,6.45,null
IT,20080601,6.10,6.10,6.10,6.10,null
IT,20080701,6.00,6.00,6.00,6.00,null
IT,20080801,5.95,5.95,5.95,5.95,null
IT,20080901,5.35,5.35,5.35,5.35,null
IT,20081001,4.10,4.10,4.10,4.10,null
IT,20081101,4.10,4.10,4.10,4.10,null
IT,20081201,4.12,4.12,4.12,4.12,null
IT,20090101,3.80,3.80,3.80,3.80,null
IT,20090201,3.94,3.94,3.94,3.94,null
IT,20090301,3.70,3.70,3.70,3.70,null
IT,20090401,3.98,3.98,3.98,3.98,null
IT,20090501,3.96,3.96,3.96,3.96,null
IT,20090601,4.02,4.02,4.02,4.02,null
IT,20090701,4.54,4.54,4.54,4.54,null
IT,20090801,4.88,4.88,4.88,4.88,null
IT,20090901,5.50,5.50,5.50,5.50,null
IT,20091001,6.10,6.10,6.10,6.10,null
IT,20091101,6.05,6.05,6.05,6.05,null
IT,20091201,6.65,6.65,6.65,6.65,null
IT,20100101,6.75,6.75,6.75,6.75,null
IT,20100201,6.75,6.75,6.75,6.75,null
IT,20100301,6.85,6.85,6.85,6.85,null
IT,20100401,6.95,6.95,6.95,6.95,null
IT,20100501,6.90,6.90,6.90,6.90,null
IT,20100601,7.70,7.70,7.70,7.70,null
IT,20100701,8.10,8.10,8.10,8.10,null
IT,20100801,8.60,8.60,8.60,8.60,null
IT,20100901,8.55,8.55,8.55,8.55,null
IT,20101001,8.60,8.60,8.60,8.60,null
IT,20101101,8.40,8.40,8.40,8.40,null
IT,20101201,8.45,8.45,8.45,8.45,null
IT,20110101,8.35,8.35,8.35,8.35,null
IT,20110201,8.30,8.30,8.30,8.30,null
IT,20110301,8.20,8.20,8.20,8.20,null
IT,20110401,8.35,8.35,8.35,8.35,null
IT,20110501,8.65,8.65,8.65,8.65,null
IT,20110601,8.45,8.45,8.45,8.45,null
IT,20110701,9.50,9.50,9.50,9.50,null
IT,20110801,10.60,10.60,10.60,10.60,null
IT,20110901,9.95,9.95,9.95,9.95,null
IT,20111001,9.40,9.40,9.40,9.40,null
IT,20111101,10.00,10.00,10.00,10.00,null
IT,20111201,10.50,10.50,10.50,10.50,null
IT,20120101,11.70,11.70,11.70,11.70,null
IT,20120201,11.00,11.00,11.00,11.00,null
IT,20120301,11.50,11.50,11.50,11.50,null
IT,20120401,11.00,11.00,11.00,11.00,null
IT,20120501,9.60,9.60,9.60,9.60,null
